ETM_NAT;ETM_NAT_CB2;ETM_LIB;TOP_ETM;TEC_COL
0;;SANS OBJET;0;2
11;;ACCIDENT DU TRAVAIL (AT);0;0
12;;MALADIE PROFESSIONNELLE (MP);0;0
13;;INVALIDITE;0;0
20;;REGIMES;0;0
21;A115;PENSION MILITAIRE D'INVALIDITE (ART. 115);1;0
41;LIS;BENEFICIAIRE ATTEINT D UNE MALADIE LISTE AFFECTION;1;0
43;EXC;PATHOLOGIE HORS LISTE;1;0
45;EXP;POLYPATHOLOGIE;1;0
47;L324;ARTICLE L324 NON EXONERANT;1;0
55;MAT;6EME MOIS DE GROSSESSE;1;0
56;EDS;EDUCATION SPECIALISEE;1;0
62;;AUTRE CAS D EXONERATION;0;0
81;;EXO-PREVENTION;0;0
82;;PREVENTION SOINS DE SUITE BUCCO-DENTAIRE;0;0
99;;VALEUR INCONNUE;0;1
58;P01;PRESTATION SUPPLÉMENTAIRE 1;1;0
59;P11;PRESTATION SUPPLÉMENTAIRE 11;1;0
60;STE;STÉRILITÉ;1;0
