PRS_NAT;PRS_NAT_CB2;PRS_NAT_LIB
1150;RPT;REMUNERATION PRATICIENS TERRITORIAUX DE MEDECINE GENERALE
1157;TCP;Acte de téléconsultation
1158;TEP;Acte de télé expertise
1162;RCM;REMUNERATION DES PRATICIENS TERRITORIAUX DE MEDECINE AMBULATOIRE
1164;TLC;TÉLÉ CONSULTATION  - ALD ET / OU EHPAD
1165;TLE;TÉLÉ EXPERTISE - ALD ET/OU EHPAD
1166;TEC;FORFAIT COMPLÉMENTAIRE TÉLÉ EXPERTISE
1172;TSA;TELESURVEILLANCE : PS EFFECTUANT L'ACCOMPAGNEMENT
1174;TSM;TELESURVEILLANCE : MEDECIN TELESURVEILLANT
1910;PPS;Plan personnalisé de santé
1990;FIM;FORFAIT D'INTERVENTION PAR SORTIE SUR DEMANDE DE LA REGULATION
1991;REG;REMUNERATION REGULATION
1992;PRN;PERMANENCE REMUNERATION DE NUIT
1993;PRM;PERMANENCE REMUNERATION MILIEU DE NUIT
1994;PRD;PERMANENCE REMUNERATION DIMANCHE ET FERIE
1995;PRT;PERMANENCE REMUNERATION TOTAL
1996;RSA;PERMANENCE REMUNERATION SAMEDI MATIN
1997;RSP;PERMANENCE REMUNERATION SAMEDI APRES MIDI
1998;AJS;ASTREINTE DE JOUR CORRESPONDANT SAMU
1999;ANS;ASTREINTE DE NUIT CORRESPONDANT SAMU
2342;RGD;FORFAIT POUR GARDE DE DEBUT DE NUIT EN ETABLIS. PRIVE
2343;RGN;FORFAIT POUR GARDE DE NUIT OU SAMEDI APRES MIDI EN ETABLIS. PRIVE
2344;FPG;FORFAIT DE GARDE NUIT ET FERIE EN ETABLIS. PRIVE
2345;RAN;FORFAIT POUR ASTREINTE DE DEBUT DE NUIT EN ETABLIS. PRIVE
2346;RAG;FORFAIT POUR ASTREINTE DE NUIT OU SAMEDI APRES MIDI EN ETABLIS. PRIVE
2347;FPA;FORFAIT D'ASTREINTE NUIT ET FERIE EN ETABLIS. PRIVE
2501;FI1;FORFAIT FIR PDSES PUBLIQUE
2502;FI2;FORFAIT FIR CENTRE DEPISTAGE ANONYME ET GRATUIT
2503;FI3;FORFAIT FIR CENTRE PERINATAUX DE PROXIMITE
2504;FI4;FORFAIT FIR EDUCATION THERAPEUTIQUE
3395;PPH;Plan personnalisé de santé pharmacie
3593;TSF;TELESURVEILLANCE : FOURNISSEUR DE LA SOLUTION
4227;CAQ;CONTRAT D'AMELIORATION DE LA QUALITE ET DE LA COORDINATION DES SOINS
4228;CAC;CONTRAT D'AMELIORATION DE LA QUALITE ET DE LA COORDINATION DES SOINS COMPLEMENT
1190;TSP;TELESURVEILLANCE : PRIME VARIABLE
1652;RFC;PTMR  -  REMPLACEMENT
1653;RCR;PTMR  - MALADIE, MATERNITE, PATERNITE
6191;IDN;INDEMNITE DE NOURRITURE
1066;PDR;FORFAIT REGULATEUR SAS
1065;PDE;FORFAIT EFFECTEUR SAS
1064;RDA;CDE GARANTIE REVENU 1ERE ANNEE
1063;RDB;CDE CONGE MALADIE
1062;RDC;CDE CONGE PARENTAL
