FLX_DIS_DTD;FLX_EMT_TYP;FLX_EMT_NUM;FLX_ANN_MOI;FLX_DTE_ANN;FLX_DTE_MOI
01FEB2004:00:00:00;1;8;2004-01;2004;01
01FEB2004:00:00:00;1;10;2004-01;2004;01
01FEB2004:00:00:00;1;11;2004-01;2004;01
01FEB2004:00:00:00;1;13;2004-01;2004;01
01FEB2004:00:00:00;1;16;2004-01;2004;01
01FEB2004:00:00:00;1;17;2004-01;2004;01
01FEB2004:00:00:00;1;18;2004-01;2004;01
01FEB2004:00:00:00;1;19;2004-01;2004;01
01FEB2004:00:00:00;1;21;2004-01;2004;01
01FEB2004:00:00:00;1;23;2004-01;2004;01
01FEB2004:00:00:00;1;25;2004-01;2004;01
01FEB2004:00:00:00;1;26;2004-01;2004;01
01FEB2004:00:00:00;1;27;2004-01;2004;01
01FEB2004:00:00:00;1;36;2004-01;2004;01
01FEB2004:00:00:00;2;2;2004-01;2004;01
01FEB2004:00:00:00;3;3;2004-01;2004;01
01FEB2004:00:00:00;4;4;2004-01;2004;01
01FEB2004:00:00:00;7;7;2004-01;2004;01
01FEB2004:00:00:00;8;8;2004-01;2004;01
01MAR2004:00:00:00;1;1;2004-02;2004;02
01MAR2004:00:00:00;1;2;2004-02;2004;02
01MAR2004:00:00:00;1;3;2004-02;2004;02
01MAR2004:00:00:00;1;4;2004-02;2004;02
01MAR2004:00:00:00;1;5;2004-02;2004;02
01MAR2004:00:00:00;1;6;2004-02;2004;02
01MAR2004:00:00:00;1;8;2004-02;2004;02
01MAR2004:00:00:00;1;10;2004-02;2004;02
01MAR2004:00:00:00;1;11;2004-02;2004;02
01MAR2004:00:00:00;1;13;2004-02;2004;02
01MAR2004:00:00:00;1;16;2004-02;2004;02
01MAR2004:00:00:00;1;17;2004-02;2004;02
01MAR2004:00:00:00;1;18;2004-02;2004;02
01MAR2004:00:00:00;1;19;2004-02;2004;02
01MAR2004:00:00:00;1;21;2004-02;2004;02
01MAR2004:00:00:00;1;23;2004-02;2004;02
01MAR2004:00:00:00;1;25;2004-02;2004;02
01MAR2004:00:00:00;1;26;2004-02;2004;02
01MAR2004:00:00:00;1;27;2004-02;2004;02
01MAR2004:00:00:00;1;36;2004-02;2004;02
01MAR2004:00:00:00;2;2;2004-02;2004;02
01MAR2004:00:00:00;3;3;2004-02;2004;02
01MAR2004:00:00:00;4;4;2004-02;2004;02
01MAR2004:00:00:00;7;7;2004-02;2004;02
01MAR2004:00:00:00;8;8;2004-02;2004;02
01APR2004:00:00:00;1;1;2004-03;2004;03
01APR2004:00:00:00;1;2;2004-03;2004;03
01APR2004:00:00:00;1;3;2004-03;2004;03
01APR2004:00:00:00;1;4;2004-03;2004;03
01APR2004:00:00:00;1;5;2004-03;2004;03
01APR2004:00:00:00;1;6;2004-03;2004;03
01APR2004:00:00:00;1;8;2004-03;2004;03
01APR2004:00:00:00;1;10;2004-03;2004;03
01APR2004:00:00:00;1;11;2004-03;2004;03
01APR2004:00:00:00;1;13;2004-03;2004;03
01APR2004:00:00:00;1;16;2004-03;2004;03
01APR2004:00:00:00;1;17;2004-03;2004;03
