GHS_NUM;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EHB_FOR;EHB_PRI
0022;01C031;4;19;3753.62;116.20;0.00;324.05
0023;01C032;7;38;8426.88;87.53;4673.26;0.00
0024;01C033;7;79;12805.25;69.99;4378.37;0.00
0025;01C034;12;124;15954.70;241.16;3149.44;0.00
0026;01C041;3;19;5755.54;143.18;0.00;865.97
0027;01C042;7;39;10802.69;110.10;5047.15;0.00
0028;01C043;7;66;14580.69;89.45;3778.00;0.00
0029;01C044;12;105;18069.38;322.48;3488.68;0.00
0030;01C051;3;16;5127.03;145.72;0.00;1142.67
0031;01C052;5;30;8287.28;113.71;3160.25;0.00
0032;01C053;6;65;12267.27;205.63;3979.99;0.00
0033;01C054;14;84;16174.20;357.87;3906.92;0.00
0034;01C061;3;13;4933.61;150.23;0.00;984.32
0035;01C062;4;22;6911.42;138.20;1977.81;0.00
0036;01C063;5;41;10127.62;120.31;3216.20;0.00
0037;01C064;7;74;14097.75;355.18;3970.13;0.00
0038;01C081;0;6;2729.00;82.68;0.00;0.00
0039;01C082;5;40;7058.13;66.89;4329.13;0.00
0040;01C083;4;81;9800.82;67.40;2742.69;0.00
0041;01C084;14;138;13642.84;184.88;3842.02;0.00
0042;01C08J;0;0;1357.36;0.00;0.00;0.00
0043;01C091;3;22;8682.12;224.77;0.00;2368.24
0044;01C092;6;39;12503.15;590.06;3821.03;0.00
0045;01C093;0;0;18283.74;0.00;0.00;0.00
0046;01C094;0;0;23245.03;0.00;0.00;0.00
0047;01C101;2;7;2761.69;329.34;0.00;460.28
0048;01C102;0;17;6055.09;648.76;0.00;0.00
0049;01C103;0;0;8854.54;0.00;0.00;0.00
0050;01C104;0;0;11257.22;0.00;0.00;0.00
0051;01C111;4;19;8021.64;150.78;0.00;1491.40
0052;01C112;4;30;10053.63;138.33;2031.99;0.00
0053;01C113;0;32;11777.95;86.63;0.00;0.00
0054;01C114;6;60;14203.54;437.72;2425.59;0.00
0055;01C121;3;16;5391.59;112.99;0.00;1120.24
0056;01C122;0;31;8122.83;82.09;0.00;0.00
0057;01C123;5;45;9272.08;100.14;1149.26;0.00
0058;01C124;15;92;13978.86;283.31;4706.78;0.00
0059;01C131;0;4;785.00;111.97;0.00;0.00
0060;01C132;0;15;2646.17;329.09;0.00;0.00
0061;01C133;0;0;3869.58;0.00;0.00;0.00
0062;01C134;0;0;4919.59;0.00;0.00;0.00
0063;01C13J;0;0;785.00;0.00;0.00;0.00
