GHS_NUM;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EHB_FOR;EHB_PRI;GHS_COE_MED;GHS_COE_DMI
0022;01C031;4;19;3730.63;115.49;0.00;322.07;0.00456;0.01807
0023;01C032;7;38;8375.28;86.99;4644.65;0.00;0.00435;0.00541
0024;01C033;7;79;12726.84;69.56;4351.56;0.00;0.00802;0.00697
0025;01C034;12;124;15857.00;239.68;3130.16;0.00;0.02007;0.00392
0065;01C041;3;19;12504.53;142.31;0.00;1881.41;0.02388;0.02152
0026;01C041;3;19;5720.30;142.31;0.00;860.67;0.02388;0.02152
0066;01C042;7;39;17520.78;109.43;5016.25;0.00;0.01828;0.01985
0027;01C042;7;39;10736.56;109.43;5016.26;0.00;0.01828;0.01985
0028;01C043;7;66;14491.57;88.90;3755.01;0.00;0.01440;0.01933
0067;01C043;7;66;21275.80;88.90;3755.02;0.00;0.01440;0.01933
0029;01C044;12;105;17958.73;320.51;3467.16;0.00;0.00852;0.02609
0068;01C044;12;105;24742.96;441.58;3467.16;0.00;0.00852;0.02609
0030;01C051;3;16;5095.63;144.84;0.00;1135.67;0.01100;0.10949
0031;01C052;5;30;8236.53;113.04;3140.90;0.00;0.00634;0.07020
0032;01C053;6;65;12192.80;204.35;3956.27;0.00;0.01965;0.04873
0033;01C054;14;84;16075.46;355.68;3882.66;0.00;0.00745;0.02748
0034;01C061;3;13;4903.40;149.31;0.00;978.29;0.00052;0.01638
0035;01C062;4;22;6869.10;137.35;1965.70;0.00;0.00083;0.02079
0036;01C063;5;41;10065.60;119.57;3196.50;0.00;0.00085;0.01205
0037;01C064;7;74;14011.42;353.01;3945.82;0.00;0.00372;0.02422
0038;01C081;0;6;2628.93;79.65;0.00;0.00;0.00233;0.00415
0039;01C082;5;40;7014.91;66.49;4385.98;0.00;0.02483;0.00119
0040;01C083;4;81;9741.08;66.99;2726.17;0.00;0.01406;0.00118
0041;01C084;14;138;13559.29;183.75;3818.21;0.00;0.00690;0.00605
0042;01C08J;0;0;1447.26;0.00;0.00;0.00;0.00019;0.00080
0043;01C091;3;22;8628.96;223.39;0.00;2353.74;0.00114;1.22313
0044;01C092;6;39;12426.59;586.45;3797.63;0.00;0.00076;0.89349
0045;01C093;0;0;18171.78;0.00;0.00;0.00;0.00076;0.89349
0046;01C094;0;0;23102.69;0.00;0.00;0.00;0.00076;0.89349
0047;01C101;2;7;2315.41;276.12;0.00;242.78;0.00066;1.80450
0048;01C102;0;17;6018.01;644.79;0.00;0.00;0.00066;1.80450
0049;01C103;0;0;8800.32;0.00;0.00;0.00;0.00066;1.80450
0050;01C104;0;0;11188.29;0.00;0.00;0.00;0.00000;0.00000
0051;01C111;4;19;7972.52;149.86;0.00;1482.27;0.00328;0.02312
0052;01C112;4;30;9992.07;137.48;2019.55;0.00;0.00178;0.00316
0053;01C113;0;32;11705.83;86.10;0.00;0.00;0.00331;0.00115
0054;01C114;6;60;14116.57;435.04;2410.74;0.00;0.00745;0.00078
0069;01C121;3;16;12142.80;112.30;0.00;2522.98;0.00106;0.05151
0055;01C121;3;16;5358.57;112.30;0.00;1113.38;0.00106;0.05151
0070;01C122;0;31;14857.31;81.59;0.00;0.00;0.00016;0.00401
0056;01C122;0;31;8073.09;81.59;0.00;0.00;0.00016;0.00401
0071;01C123;5;45;15999.53;99.53;1142.22;0.00;0.01731;0.00497
0057;01C123;5;45;9215.30;99.53;1142.21;0.00;0.01731;0.00497
0072;01C124;15;92;20677.49;419.07;4677.96;0.00;0.01410;0.00265
0058;01C124;15;92;13893.26;281.58;4677.96;0.00;0.01410;0.00265
0059;01C131;0;4;787.30;169.69;0.00;0.00;0.01114;0.00471
0060;01C132;0;15;2629.97;327.07;0.00;0.00;0.01114;0.00471
0061;01C133;0;0;3845.89;0.00;0.00;0.00;0.01114;0.00471
0062;01C134;0;0;4889.47;0.00;0.00;0.00;0.01114;0.00471
0063;01C13J;0;0;787.30;0.00;0.00;0.00;0.00022;0.00044
0189;01K021;2;11;7793.63;1326.46;0.00;2548.08;0.00046;0.47381
0190;01K022;0;18;8399.02;157.57;0.00;0.00;0.00037;0.39184
0191;01K023;4;34;10281.36;559.95;1882.34;0.00;0.00052;0.27359
0192;01K024;0;0;16291.03;0.00;0.00;0.00;0.00052;0.27359
0193;01K031;3;11;4941.88;148.63;0.00;1028.31;0.00048;0.06816
0194;01K032;0;30;8548.19;120.70;0.00;0.00;0.00058;0.03456
0195;01K033;6;58;11927.64;178.77;3379.45;0.00;0.00088;0.01799
0196;01K034;16;97;18899.59;361.70;6971.95;0.00;0.00088;0.01799
0197;01K04J;0;0;379.22;0.00;0.00;0.00;0.00292;0.00004
0198;01K05J;0;0;265.21;0.00;0.00;0.00;0.00001;0.00000
0199;01K06J;0;0;920.43;0.00;0.00;0.00;0.00177;0.00332
0200;01K071;5;37;9615.18;63.61;0.00;1484.52;0.00072;0.37533
0201;01K072;7;40;9806.00;296.09;190.82;0.00;0.00043;0.26814
0202;01K073;9;53;16092.24;235.15;6286.24;0.00;0.00079;0.18749
0203;01K074;9;93;25498.48;511.57;9406.24;0.00;0.00546;0.13696
0204;01M041;0;9;1961.03;112.05;0.00;0.00;0.00200;0.00010
0205;01M042;0;21;4374.35;73.88;0.00;0.00;0.00473;0.00002
0206;01M043;5;49;6443.03;243.75;2068.68;0.00;0.02692;0.00016
0207;01M044;7;64;10667.32;308.98;4224.29;0.00;0.02692;0.00016
0333;01M04T;0;0;555.94;0.00;0.00;0.00;0.00109;0.00002
0208;01M051;2;15;2896.15;143.82;0.00;1128.83;0.23539;0.00016
0209;01M052;4;34;5628.83;156.69;2732.68;0.00;0.15757;0.00016
0210;01M053;6;51;8347.30;155.29;2718.47;0.00;0.09953;0.00014
0211;01M054;15;90;14403.72;300.04;6056.42;0.00;0.04940;0.00023
0212;01M05T;0;0;638.49;0.00;0.00;0.00;0.05256;0.00017
0213;01M071;2;18;2491.59;131.61;0.00;1012.47;0.00532;0.00007
0214;01M072;6;32;4334.16;148.79;1842.57;0.00;0.00226;0.00004
0215;01M073;7;39;5375.69;149.52;1041.53;0.00;0.00305;0.00062
0216;01M074;9;52;7319.40;263.69;1943.71;0.00;0.00020;0.00027
0217;01M07T;0;0;466.65;0.00;0.00;0.00;0.00048;0.00004
0218;01M081;3;11;1896.78;130.52;0.00;457.75;0.08287;0.00662
0219;01M082;0;30;4376.58;139.02;0.00;0.00;0.02249;0.00344
0220;01M083;5;44;6410.07;135.53;2033.49;0.00;0.01934;0.00113
0221;01M084;7;69;9798.35;264.82;3388.28;0.00;0.02839;0.00024
0222;01M08T;0;0;523.52;0.00;0.00;0.00;0.75312;0.00014
0223;01M091;0;7;1591.86;138.49;0.00;0.00;0.02170;0.00126
0224;01M092;0;31;5234.90;132.89;0.00;0.00;0.01426;0.00186
0225;01M093;5;49;7685.33;131.39;2450.43;0.00;0.01057;0.00057
