GHS_NUM;GHS_NUM_NUM;GHS_CMD;GHS_CMD_BIS;GHS_CMD_NUM;GHM_NUM;GHM_NUM_BIS;GHS_SEU_BA1;GHS_SEU_BA2;GHS_SEU_HA1;GHS_SEU_HA2;GHS_PR1;GHS_PR2;EXH_PR1;EXH_PR2;VER_10B;VER_10C;MED_SUS_TAU;DMI_SUS_TAU;MED_CMD_TAU;DMI_CMD_TAU;TAR_IND;TAR_COE
0001;;;;;01C01S;;4;4;67;67;11518.59;11518.59;321.19;321.19;;;;;;;;
0003;;;;;01C03V;;4;4;54;54;4670.07;4670.07;310.30;310.30;;;;;;;;
0004;;;;;01C03W;;7;7;67;67;10718.44;10718.44;298.14;298.14;;;;;;;;
0005;;;;;01C04V;;;;50;50;6843.91;6843.91;474.56;474.56;;;;;;;;
0006;;;;;01C04W;;7;7;63;63;11339.32;11339.32;332.95;332.95;;;;;;;;
0007;;;;;01C05V;;3;3;30;30;6096.57;6096.57;491.83;491.83;;;;;;;;
0008;;;;;01C05W;;6;6;38;38;9253.18;9253.18;452.02;452.02;;;;;;;;
0009;;;;;01C06V;;;;17;17;4172.72;4172.72;486.16;486.16;;;;;;;;
0010;;;;;01C06W;;3;3;21;21;5259.55;5259.55;465.77;465.77;;;;;;;;
0012;;;;;01C08V;;;;26;26;3545.01;3545.01;643.61;643.61;;;;;;;;
0013;;;;;01C08W;;;;32;32;6530.26;6530.26;376.43;376.43;;;;;;;;
0014;;;;;01C09Z;;3;3;33;33;9655.86;9655.86;538.47;538.47;;;;;;;;
0015;;;;;01C10Z;;;;15;15;3026.18;3026.18;415.23;415.23;;;;;;;;
0016;;;;;01C11Z;;5;5;37;37;9461.30;9461.30;476.04;476.04;;;;;;;;
0017;;;;;01C12Z;;5;5;31;31;6393.51;6393.51;377.56;377.56;;;;;;;;
0018;;;;;01K02Z;;3;3;21;21;5744.01;5744.01;499.37;499.37;;;;;;;;
0019;;;;;01K03Z;;;;17;17;4133.50;4133.50;446.11;446.11;;;;;;;;
0020;;;;;01C13Z;;;;11;11;813.73;813.73;232.90;232.90;;;;;;;;
0021;;;;;01C04V;;6;6;35;35;13129.38;13129.38;613.19;613.19;;;;;;;;
0021;;;;;01C04W;;6;6;35;35;13129.38;13129.38;613.19;613.19;;;;;;;;
0021;;;;;01C12Z;;6;6;35;35;13129.38;13129.38;613.19;613.19;;;;;;;;
0150;;;;;01M01S;;;;46;46;6822.53;6822.53;274.41;274.41;;;;;;;;
0154;;;;;01M04Z;;;;15;15;2580.49;2580.49;342.06;342.06;;;;;;;;
0155;;;;;01M05V;;;;32;32;4225.98;4225.98;345.29;345.29;;;;;;;;
0156;;;;;01M05W;;6;6;40;40;6353.87;6353.87;292.55;292.55;;;;;;;;
0157;;;;;01M06V;;;;30;30;3785.62;3785.62;274.18;274.18;;;;;;;;
0158;;;;;01M06W;;;;38;38;5694.82;5694.82;276.33;276.33;;;;;;;;
0159;;;;;01M07Z;;5;5;31;31;4219.37;4219.37;249.23;249.23;;;;;;;;
0160;;;;;01M08V;;;;27;27;3179.07;3179.07;274.30;274.30;;;;;;;;
0161;;;;;01M08W;;3;3;34;34;4988.06;4988.06;267.89;267.89;;;;;;;;
0162;;;;;01M09Z;;;;28;28;4245.01;4245.01;283.87;283.87;;;;;;;;
0163;;;;;01M10V;;;;29;29;3660.21;3660.21;308.07;308.07;;;;;;;;
0164;;;;;01M10W;;5;5;36;36;5598.18;5598.18;290.60;290.60;;;;;;;;
0165;;;;;01M11V;;;;19;19;2323.80;2323.80;313.19;313.19;;;;;;;;
0166;;;;;01M11W;;3;3;24;24;3702.98;3702.98;282.96;282.96;;;;;;;;
0167;;;;;01M12V;;;;22;22;2202.48;2202.48;355.38;355.38;;;;;;;;
0168;;;;;01M12W;;3;3;28;28;3865.89;3865.89;257.52;257.52;;;;;;;;
0169;;;;;01M13Z;;;;16;16;2590.07;2590.07;295.27;295.27;;;;;;;;
0170;;;;;01M14V;;;;30;30;3861.87;3861.87;255.78;255.78;;;;;;;;
0171;;;;;01M14W;;5;5;37;37;4987.23;4987.23;251.84;251.84;;;;;;;;
0172;;;;;01M15Z;;3;3;22;22;2964.46;2964.46;251.55;251.55;;;;;;;;
0173;;;;;01M16Z;;;;16;16;2566.69;2566.69;285.70;285.70;;;;;;;;
0174;;;;;01M17V;;;;22;22;2144.34;2144.34;320.41;320.41;;;;;;;;
0175;;;;;01M17W;;3;3;27;27;4083.28;4083.28;277.67;277.67;;;;;;;;
0176;;;;;01M18V;;;;25;25;3360.74;3360.74;339.69;339.69;;;;;;;;
0177;;;;;01M18W;;;;31;31;4605.97;4605.97;272.95;272.95;;;;;;;;
0178;;;;;01M19V;;;;23;23;2446.70;2446.70;307.10;307.10;;;;;;;;
0179;;;;;01M19W;;;;29;29;3857.82;3857.82;247.50;247.50;;;;;;;;
0180;;;;;01M20V;;;;14;14;1220.26;1220.26;354.73;354.73;;;;;;;;
0181;;;;;01M20W;;;;17;17;2470.64;2470.64;270.54;270.54;;;;;;;;
0182;;;;;01M21Z;;;;18;18;2983.91;2983.91;296.95;296.95;;;;;;;;
0183;;;;;01M22Z;;;;11;11;1876.66;1876.66;301.66;301.66;;;;;;;;
0184;;;;;01M23Z;;;;6;6;1525.97;1525.97;420.44;420.44;;;;;;;;
0185;;;;;01M24V;;;;14;14;2613.00;2613.00;537.96;537.96;;;;;;;;
0186;;;;;01M24W;;;;18;18;3919.50;3919.50;395.93;395.93;;;;;;;;
0187;;;;;01M25V;;;;10;10;1756.11;1756.11;313.99;313.99;;;;;;;;
0188;;;;;01M25W;;;;21;21;3040.19;3040.19;260.22;260.22;;;;;;;;
0400;;;;;02C02V;;;;15;15;3101.47;3101.47;702.47;702.47;;;;;;;;
0401;;;;;02C02W;;;;15;15;4235.06;4235.06;561.06;561.06;;;;;;;;
0402;;;;;02C03Z;;;;15;15;3410.04;3410.04;518.27;518.27;;;;;;;;
0403;;;;;02C04Z;;;;15;15;2888.32;2888.32;472.23;472.23;;;;;;;;
0404;;;;;02C05Z;;;;5;5;1637.35;1637.35;571.75;571.75;;;;;;;;
0405;;;;;02C06Z;;;;15;15;2537.58;2537.58;432.99;432.99;;;;;;;;
0406;;;;;02C07Z;;;;4;4;1657.03;1657.03;601.77;601.77;;;;;;;;
0407;;;;;02C08V;;;;13;13;1858.78;1858.78;574.79;574.79;;;;;;;;
0408;;;;;02C08W;;;;16;16;3765.58;3765.58;420.40;420.40;;;;;;;;
0409;;;;;02C09Z;;;;15;15;4455.20;4455.20;773.35;773.35;;;;;;;;
0500;;;;;02M02Z;;;;15;15;1759.72;1759.72;311.40;311.40;;;;;;;;
0501;;;;;02M03Z;;;;17;17;3135.85;3135.85;341.27;341.27;;;;;;;;
0502;;;;;02M04Z;;;;15;15;2184.73;2184.73;311.97;311.97;;;;;;;;
0503;;;;;02M05Z;;;;15;15;1961.05;1961.05;411.93;411.93;;;;;;;;
0504;;;;;02M06V;;;;17;17;2020.33;2020.33;315.72;315.72;;;;;;;;
0505;;;;;02M06W;;3;3;21;21;3487.69;3487.69;304.36;304.36;;;;;;;;
0600;;;;;03C02V;;;;50;50;8223.63;8223.63;418.74;418.74;;;;;;;;
0601;;;;;03C02W;;7;7;62;62;13497.20;13497.20;404.99;404.99;;;;;;;;
0602;;;;;03C03Z;;;;12;12;3049.70;3049.70;566.31;566.31;;;;;;;;
0603;;;;;03C04Z;;;;15;15;3118.99;3118.99;486.20;486.20;;;;;;;;
0604;;;;;03C05Z;;;;15;15;3465.43;3465.43;537.04;537.04;;;;;;;;
0605;;;;;03C06Z;;;;15;15;3532.27;3532.27;551.08;551.08;;;;;;;;
0606;;;;;03C07V;;;;13;13;2706.25;2706.25;667.66;667.66;;;;;;;;
0607;;;;;03C07W;;;;16;16;4278.29;4278.29;499.86;499.86;;;;;;;;
0610;;;;;03C09Z;;;;6;6;2117.66;2117.66;577.52;577.52;;;;;;;;
0611;;;;;03C10Z;;;;5;5;879.80;879.80;294.00;294.00;;;;;;;;
0612;;;;;03C11Z;;;;6;6;1604.69;1604.69;419.97;419.97;;;;;;;;
0613;;;;;03C12Z;;;;11;11;2029.69;2029.69;546.79;546.79;;;;;;;;
0614;;;;;03C13Z;;;;15;15;2099.00;2099.00;414.86;414.86;;;;;;;;
0615;;;;;03C14Z;;;;15;15;2115.68;2115.68;471.41;471.41;;;;;;;;
0616;;;;;03C15Z;;;;15;15;2122.95;2122.95;395.15;395.15;;;;;;;;
0617;;;;;03C16V;;;;23;23;2982.81;2982.81;540.82;540.82;;;;;;;;
0618;;;;;03C16W;;;;29;29;5968.46;5968.46;384.90;384.90;;;;;;;;
0619;;;;;03C17Z;;;;15;15;2758.03;2758.03;515.34;515.34;;;;;;;;
0620;;;;;03C18Z;;;;11;11;3160.55;3160.55;592.83;592.83;;;;;;;;
0621;;;;;03C19Z;;;;15;15;4197.50;4197.50;632.78;632.78;;;;;;;;
0622;;;;;03C20Z;;;;6;6;2212.68;2212.68;597.38;597.38;;;;;;;;
0623;;;;;03C21Z;;;;5;5;1725.72;1725.72;548.66;548.66;;;;;;;;
0800;;;;;03K02Z;;;;6;6;1033.52;1033.52;351.27;351.27;;;;;;;;
0801;;;;;03M02Z;;;;15;15;1629.59;1629.59;367.32;367.32;;;;;;;;
0802;;;;;03M03Z;;;;10;10;1647.69;1647.69;400.21;400.21;;;;;;;;
0803;;;;;03M04V;;;;16;16;1478.73;1478.73;328.03;328.03;;;;;;;;
0804;;;;;03M04W;;;;20;20;3160.52;3160.52;292.20;292.20;;;;;;;;
