GHS_NUM;GHS_CMD;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EXB_FOR;EXB_PRI;MED_SUS_TAU;DMI_SUS_TAU;MED_CMD_TAU;DMI_CMD_TAU;TAR_IND;TAR_COE
0022;;01C031;4;23;3853.77;365.52;;963.44;;;;;;
0023;;01C032;6;107;8128.16;430.69;4274.39;;;;;;;
0024;;01C033;12;113;13468.44;337.67;5340.28;;;;;;;
0025;;01C034;20;120;15597.78;242.99;2129.34;;;;;;;
0026;;01C041;4;19;6151.91;129.35;;1537.98;;;;;;
0027;;01C042;7;38;10924.58;97.19;4772.67;;;;;;;
0028;;01C043;10;62;14698.41;67.17;3773.83;;;;;;;
0029;;01C044;18;110;17922.51;303.34;3224.11;;;;;;;
0030;;01C051;3;25;5184.42;56.86;;1728.14;;;;;;
0031;;01C052;6;81;8368.41;501.00;3184.00;;;;;;;
0032;;01C053;10;91;14550.75;410.24;6182.34;;;;;;;
0033;;01C054;16;94;15781.47;311.85;1230.72;;;;;;;
0034;;01C061;3;14;4997.66;147.56;;1665.89;;;;;;
0035;;01C062;4;23;6599.56;141.61;1601.90;;;;;;;
0036;;01C063;7;42;10928.90;80.91;4329.34;;;;;;;
0037;;01C064;12;69;13113.47;355.78;2184.57;;;;;;;
0038;;01C081;2;133;2972.73;829.45;1369.65;;;;;;;
0039;;01C082;5;133;7694.27;481.73;4721.54;;;;;;;
0040;;01C083;9;136;11591.51;386.17;3897.24;;;;;;;
0041;;01C084;23;142;13908.54;182.52;2317.03;;;;;;;
0042;;01C08J;;;1603.08;;;;;;;;;
0043;;01C091;4;23;8698.54;326.80;;2174.64;;;;;;
0044;;01C092;7;37;13273.74;658.87;4575.20;;;;;;;
0045;;01C093;;;19996.09;;;;;;;;;
0046;;01C094;;;23993.10;;;;;;;;;
0047;;01C101;2;7;2923.07;242.30;;1461.54;;;;;;
0048;;01C102;4;20;6072.99;545.94;3149.92;;;;;;;
0049;;01C103;;;9148.59;;;;;;;;;
0050;;01C104;;;10977.30;;;;;;;;;
0051;;01C111;4;20;7809.02;146.37;;1952.26;;;;;;
0052;;01C112;5;30;10690.64;105.85;2881.62;;;;;;;
0053;;01C113;6;34;11997.35;77.36;1306.71;;;;;;;
0054;;01C114;11;65;14395.51;411.84;2398.16;;;;;;;
0055;;01C121;3;42;5213.80;576.48;;1737.93;;;;;;
0056;;01C122;5;46;8464.85;528.10;3251.05;;;;;;;
0057;;01C123;8;80;9042.18;346.22;577.32;;;;;;;
0058;;01C124;15;91;12648.77;259.91;3606.59;;;;;;;
