GHS_GRP_TYP;GHS_NUM;GHS_NUM_SEC;GHS_LIB;GHS_CRE_DTE;GHS_FER_DTE;GHS_NAT_ASS;GHS_AGE_MIN;GHS_AGE_MAX;GHS_SEX;GHS_CMD;GHS_ARR_DTE;GHS_PJO_DTE;GHS_MAJ_DTE;GHS_DDP_MCO;GHS_EO1_DTE;GHS_DUR_SJ1;GHS_SEU_HT1;GHS_SEU_BA1;GHS_PRU_OC1;GHS_EXH_OC1;GHS_PRU_EX1;GHS_COE_OC1;GHS_COF_OC1;GHS_F01_OC1;GHS_F02_OC1;GHS_F03_OC1;GHS_F04_OC1;GHS_F05_OC1;GHS_F06_OC1;GHS_F07_OC1;GHS_F08_OC1;GHS_F09_OC1;GHS_F10_OC1;GHS_F11_OC1;GHS_F12_OC1;GHS_F13_OC1;GHS_F14_OC1;GHS_F15_OC1;GHS_F16_OC1;GHS_F17_OC1;GHS_F18_OC1;GHS_F19_OC1;GHS_F20_OC1;GHS_F21_OC1;GHS_F22_OC1;GHS_F23_OC1;GHS_F24_OC1;GHS_F25_OC1;GHS_F26_OC1;GHS_F27_OC1;GHS_F28_OC1;GHS_F29_OC1;GHS_F30_OC1;GHS_F31_OC1;GHS_F32_OC1;GHS_F33_OC1;GHS_MAJ_OC1;GHS_EO2_DTE;GHS_DUR_SJ2;GHS_SEU_HT2;GHS_SEU_BA2;GHS_PRU_OC2;GHS_EXH_OC2;GHS_PRU_EX2;GHS_COE_OC2;GHS_COF_OC2;GHS_F01_OC2;GHS_F02_OC2;GHS_F03_OC2;GHS_F04_OC2;GHS_F05_OC2;GHS_F06_OC2;GHS_F07_OC2;GHS_F08_OC2;GHS_F09_OC2;GHS_F10_OC2;GHS_F11_OC2;GHS_F12_OC2;GHS_F13_OC2;GHS_F14_OC2;GHS_F15_OC2;GHS_F16_OC2;GHS_F17_OC2;GHS_F18_OC2;GHS_F19_OC2;GHS_F20_OC2;GHS_F21_OC2;GHS_F22_OC2;GHS_F23_OC2;GHS_F24_OC2;GHS_F25_OC2;GHS_F26_OC2;GHS_F27_OC2;GHS_F28_OC2;GHS_F29_OC2;GHS_F30_OC2;GHS_F31_OC2;GHS_F32_OC2;GHS_F33_OC2;GHS_MAJ_OC2;GHS_EO3_DTE;GHS_DUR_SJ3;GHS_SEU_HT3;GHS_SEU_BA3;GHS_PRU_OC3;GHS_EXH_OC3;GHS_PRU_EX3;GHS_COE_OC3;GHS_COF_OC3;GHS_F01_OC3;GHS_F02_OC3;GHS_F03_OC3;GHS_F04_OC3;GHS_F05_OC3;GHS_F06_OC3;GHS_F07_OC3;GHS_F08_OC3;GHS_F09_OC3;GHS_F10_OC3;GHS_F11_OC3;GHS_F12_OC3;GHS_F13_OC3;GHS_F14_OC3;GHS_F15_OC3;GHS_F16_OC3;GHS_F17_OC3;GHS_F18_OC3;GHS_F19_OC3;GHS_F20_OC3;GHS_F21_OC3;GHS_F22_OC3;GHS_F23_OC3;GHS_F24_OC3;GHS_F25_OC3;GHS_F26_OC3;GHS_F27_OC3;GHS_F28_OC3;GHS_F29_OC3;GHS_F30_OC3;GHS_F31_OC3;GHS_F32_OC3;GHS_F33_OC3;GHS_MAJ_OC3;TEC_COL
T;0;9;SANS OBJET;;;;;;;99;;;;Z;;;;;;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;;;;;;;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;;;;;;;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;;2
T;9999;9;VALEUR INCONNUE;;;;;;;99;;;;Z;;;;;;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;;;;;;;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;;;;;;;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;;1
T;1;1;GHT1;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2022:00:00:00;01MAR2022:00:00:00;01MAR2022:00:00:00;D;01MAR2022:00:00:00;;;;6155.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2022:00:00:00;01MAR2021:00:00:00;;;;6041.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2021:00:00:00;01MAR2020:00:00:00;;;;5677.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2020:00:00:00;0
T;1;2;GHT1;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2022:00:00:00;01MAR2022:00:00:00;01MAR2022:00:00:00;D;01MAR2022:00:00:00;;;;6097.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2022:00:00:00;01MAR2021:00:00:00;;;;5984.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2021:00:00:00;01MAR2020:00:00:00;;;;5624.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2020:00:00:00;0
T;2;1;GHT2;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2022:00:00:00;01MAR2022:00:00:00;01MAR2022:00:00:00;D;01MAR2022:00:00:00;;;;7971.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2022:00:00:00;01MAR2021:00:00:00;;;;7823.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2021:00:00:00;01MAR2020:00:00:00;;;;7351.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2020:00:00:00;0
T;2;2;GHT2;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2022:00:00:00;01MAR2022:00:00:00;01MAR2022:00:00:00;D;01MAR2022:00:00:00;;;;7919.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2022:00:00:00;01MAR2021:00:00:00;;;;7772.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2021:00:00:00;01MAR2020:00:00:00;;;;7304.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2020:00:00:00;0
T;3;1;GHT3;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2022:00:00:00;01MAR2022:00:00:00;01MAR2022:00:00:00;D;01MAR2022:00:00:00;;;;9817.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2022:00:00:00;01MAR2021:00:00:00;;;;9635.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2021:00:00:00;01MAR2020:00:00:00;;;;9054.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2020:00:00:00;0
T;3;2;GHT3;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2022:00:00:00;01MAR2022:00:00:00;01MAR2022:00:00:00;D;01MAR2022:00:00:00;;;;9739.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2022:00:00:00;01MAR2021:00:00:00;;;;9558.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2021:00:00:00;01MAR2020:00:00:00;;;;8983.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2020:00:00:00;0
T;4;1;GHT4;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2022:00:00:00;01MAR2022:00:00:00;01MAR2022:00:00:00;D;01MAR2022:00:00:00;;;;11639.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2022:00:00:00;01MAR2021:00:00:00;;;;11423.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2021:00:00:00;01MAR2020:00:00:00;;;;10734.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2020:00:00:00;0
T;4;2;GHT4;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2022:00:00:00;01MAR2022:00:00:00;01MAR2022:00:00:00;D;01MAR2022:00:00:00;;;;11560.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2022:00:00:00;01MAR2021:00:00:00;;;;11345.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2021:00:00:00;01MAR2020:00:00:00;;;;10662.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2020:00:00:00;0
