AMC_ECL_TOP;AMC_ECL_LIB;TEC_COL
E;ECLATEMENT D'UN FLUX SESAM VITALE PAR LE PS AVEC UNE GENERATION D'UN DRE;0
F;ECLATEMENT DES FLUX PAR L'OCT AVEC GENERATION D'UN FLUX AMC;0
A;ECLATEMENT DES FLUX PAR L'OCT;0
0;L'ADHERENT/ASSURE N'A PRESENTE AUCUNE PIECE JUSTIFICATIVE;0
1;LE PROFESSIONNEL DE SANTE A CONSULTE UN SERVEUR DE DROITS;0
2;L'ADHERENT/ASSURE A PRESENTE UN SUPPORT DE DROITS AMC AUTRE QUE LA CARTE VITALE;0
3;PRISE EN CHARGE AMC;0
4;L'ADHERENT/ASSURE A PRESENTE SA CARTE VITALE COMME SUPPORT DE DROITS;0
5;LE PARTENAIRE A UTILISE LE TELE-SERVICE AMO DE REFERENCE (ADRI OU CDRI);0
6;LE PROFESSIONNEL DE SANTE A CONSULTE UN TELE-SERVICE DE DROIT AMC;0
Z;SANS OBJET (RECYCLAGE QF/TP SM / FLUX NX303 < v55.00);0
AE;PAS ECLATEMENT PAR L'OCT;2
I;VALEUR INCONNUE;1
