LPP_COD;VAL_DTD;LPP_TAR;LPP_PRU
3298862;21MAY2005:00:00:00;102.45;102.45
3298951;21MAY2005:00:00:00;2655.66;2655.66
3299241;30JUN2005:00:00:00;264.00;264.00
3299525;22SEP2009:00:00:00;365.88;365.88
3299531;21MAY2005:00:00:00;1311.06;1311.06
3299940;08SEP2003:00:00:00;33.69;33.69
3300470;21MAY2005:00:00:00;1170.81;1170.81
3301328;21MAY2005:00:00:00;681.45;681.45
3301529;21MAY2005:00:00:00;1170.81;1170.81
3301908;21MAY2005:00:00:00;1170.81;1170.81
3302492;23SEP2009:00:00:00;1077.16;1077.16
3302925;21MAY2005:00:00:00;609.80;609.80
3303445;21MAY2005:00:00:00;960.43;960.43
3304137;21MAY2005:00:00:00;335.39;335.39
3304440;21MAY2005:00:00:00;1859.88;1859.88
3304870;05JAN2009:00:00:00;1077.16;1077.16
3304924;21MAY2005:00:00:00;681.45;681.45
3305125;05JAN2009:00:00:00;1475.95;1475.95
3305390;21MAY2005:00:00:00;1082.39;1082.39
3305817;21MAY2005:00:00:00;681.45;681.45
3306047;21MAY2005:00:00:00;1170.81;1170.81
3306231;21MAY2005:00:00:00;681.45;681.45
3306320;05JAN2009:00:00:00;1077.16;1077.16
3306372;05JAN2009:00:00:00;1475.95;1475.95
3306515;21MAY2005:00:00:00;960.43;960.43
3306538;05JAN2009:00:00:00;1077.16;1077.16
3306923;05JAN2009:00:00:00;1077.16;1077.16
3307182;05JAN2009:00:00:00;1077.16;1077.16
3307621;21MAY2005:00:00:00;335.39;335.39
3309809;13OCT2011:00:00:00;1008.45;1008.45
3310178;23SEP2009:00:00:00;1077.16;1077.16
3310698;21MAY2005:00:00:00;335.39;335.39
3310899;13OCT2011:00:00:00;352.16;352.16
3310907;21MAY2005:00:00:00;1170.81;1170.81
3311083;05JAN2009:00:00:00;1559.29;1559.29
3312355;21MAY2005:00:00:00;681.45;681.45
3312504;05JAN2009:00:00:00;1475.95;1475.95
3312697;21MAY2005:00:00:00;457.35;457.35
3314839;21MAY2005:00:00:00;681.45;681.45
3315738;21MAY2005:00:00:00;1170.81;1170.81
3315833;21MAY2005:00:00:00;1082.39;1082.39
3315980;21MAY2005:00:00:00;960.43;960.43
3316554;21MAY2005:00:00:00;335.39;335.39
3316583;21MAY2005:00:00:00;457.35;457.35
3316784;05JAN2009:00:00:00;1475.95;1475.95
3317559;21MAY2005:00:00:00;1170.81;1170.81
3317890;21MAY2005:00:00:00;681.45;681.45
3317980;26NOV2009:00:00:00;1077.16;1077.16
3318091;13OCT2011:00:00:00;1136.51;1136.51
3318151;06JUL2011:00:00:00;1559.29;1559.29
3318286;21MAY2005:00:00:00;960.43;960.43
3318688;05JAN2009:00:00:00;1077.16;1077.16
3319535;05JAN2009:00:00:00;1077.16;1077.16
3319630;21MAY2005:00:00:00;960.43;960.43
3319950;05JAN2009:00:00:00;1077.16;1077.16
3320544;21MAY2005:00:00:00;1082.39;1082.39
3320840;21MAY2005:00:00:00;960.43;960.43
3321070;05JAN2009:00:00:00;1475.95;1475.95
3321124;21MAY2005:00:00:00;960.43;960.43
3321526;21MAY2005:00:00:00;960.43;960.43
3322402;21MAY2005:00:00:00;960.43;960.43
3322454;21MAY2005:00:00:00;681.45;681.45
3322827;21MAY2005:00:00:00;960.43;960.43
3323347;05JAN2009:00:00:00;1077.16;1077.16
3323502;21MAY2005:00:00:00;457.35;457.35
3324358;21MAY2005:00:00:00;1170.81;1170.81
3324625;05JAN2009:00:00:00;1077.16;1077.16
3324631;21MAY2005:00:00:00;335.39;335.39
3324766;13OCT2011:00:00:00;640.29;640.29
3325056;26NOV2009:00:00:00;1077.16;1077.16
3325085;05JAN2009:00:00:00;1077.16;1077.16
3325620;10OCT2011:00:00:00;1082.39;1082.39
3326044;05JAN2009:00:00:00;1077.16;1077.16
3326340;21MAY2005:00:00:00;1082.39;1082.39
3326498;21MAY2005:00:00:00;681.45;681.45
3326802;03JAN2011:00:00:00;792.74;792.74
3326937;21MAY2005:00:00:00;457.35;457.35
3327530;21MAY2005:00:00:00;1082.39;1082.39
3327569;21MAY2005:00:00:00;457.35;457.35
3327730;21MAY2005:00:00:00;1170.81;1170.81
3328149;21MAY2005:00:00:00;609.80;609.80
3328818;21MAY2005:00:00:00;960.43;960.43
3329433;05JAN2009:00:00:00;1077.16;1077.16
3330005;21MAY2005:00:00:00;701.27;701.27
3330821;21MAY2005:00:00:00;609.80;609.80
3331163;03JAN2011:00:00:00;1248.56;1248.56
3331358;21MAY2005:00:00:00;335.39;335.39
3331884;21MAY2005:00:00:00;1170.81;1170.81
3332464;21MAY2005:00:00:00;609.80;609.80
3332576;21MAY2005:00:00:00;1170.81;1170.81
3332808;05JAN2009:00:00:00;1475.95;1475.95
3333073;06JUL2011:00:00:00;1951.75;1951.75
3333883;21MAY2005:00:00:00;960.43;960.43
3334144;05JAN2009:00:00:00;1077.16;1077.16
3334210;21MAY2005:00:00:00;960.43;960.43
3334871;05JAN2009:00:00:00;1077.16;1077.16
3335273;21MAY2005:00:00:00;1170.81;1170.81
3336574;21MAY2005:00:00:00;1170.81;1170.81
3337705;21MAY2005:00:00:00;1170.81;1170.81
3337852;21MAY2005:00:00:00;457.35;457.35
3338521;21MAY2005:00:00:00;1082.39;1082.39
3338774;05JAN2009:00:00:00;1559.29;1559.29
3338797;05JAN2009:00:00:00;1077.16;1077.16
3338857;05JAN2009:00:00:00;1475.95;1475.95
3339070;26NOV2009:00:00:00;1077.16;1077.16
3340417;21MAY2005:00:00:00;457.35;457.35
3340469;03JAN2011:00:00:00;594.56;594.56
3340877;21MAY2005:00:00:00;457.35;457.35
3340890;05JAN2009:00:00:00;1077.16;1077.16
3341256;16FEB2006:00:00:00;1170.81;1170.81
3341428;21MAY2005:00:00:00;960.43;960.43
3341865;21MAY2005:00:00:00;681.45;681.45
3342161;21MAY2005:00:00:00;335.39;335.39
3342534;21MAY2005:00:00:00;960.43;960.43
3342669;21MAY2005:00:00:00;457.35;457.35
3343232;21MAY2005:00:00:00;681.45;681.45
