MDT_COD;MDT_LIB;MDT_HOS_COD;MDT_HOS_LIB;MDT_TYP_COD;MDT_TYP_LIB;TEC_COL
0;SANS OBJET;0;SANS OBJET;9;SANS OBJET;2
3;HOSPITALISATION COMPLETE (NON COMPRISE L HOSPITALISATION DE LA SEMAINE);2;AVEC HOSPITALISATION;1;SEJOURNE;0
4;HOSPITALISATION DE JOUR;2;AVEC HOSPITALISATION;2;EXTERNE;0
5;HOSPITALISATION DE NUIT;2;AVEC HOSPITALISATION;1;SEJOURNE;0
6;HOSPITALISATION A DOMICILE;2;AVEC HOSPITALISATION;3;DOMICILE;0
7;CONSULTATIONS ET SOINS EXTERNES;1;SANS HOSPITALISATION;2;EXTERNE;0
10;URGENCE;1;SANS HOSPITALISATION;2;EXTERNE;0
11;HEBERGEMENT COMPLET OU INTERNAT (NON COMPRIS L INTERNAT DE SEMAINE);2;AVEC HOSPITALISATION;1;SEJOURNE;0
12;HEBERGEMENT DE NUIT;2;AVEC HOSPITALISATION;1;SEJOURNE;0
13;SEMI-INTERNAT;2;AVEC HOSPITALISATION;2;EXTERNE;0
14;EXTERNAT;1;SANS HOSPITALISATION;2;EXTERNE;0
15;PLACEMENT EN FAMILLE D ACCUEIL;2;AVEC HOSPITALISATION;3;DOMICILE;0
16;PRESTATIONS A DOMICILE OU EN MILIEU OUVERT;1;SANS HOSPITALISATION;3;DOMICILE;0
17;INTERNAT DE SEMAINE;2;AVEC HOSPITALISATION;1;SEJOURNE;0
19;TRAITEMENTS ET CURES AMBULATOIRES;1;SANS HOSPITALISATION;2;EXTERNE;0
20;HOSPITALISATION DE SEMAINE;2;AVEC HOSPITALISATION;1;SEJOURNE;0
21;ACCUEIL DE JOUR (DOMAINE SANITAIRE ET SOCIAL);1;SANS HOSPITALISATION;2;EXTERNE;0
22;HOSPITALISATION A TEMPS PARTIEL;2;AVEC HOSPITALISATION;2;EXTERNE;0
23;CHIRURGIE AMBULATOIRE;1;SANS HOSPITALISATION;2;EXTERNE;0
24;ACCUEIL ET PRISE EN CHARGE EN SERVICE D ACCUEIL FAMILIAL THERAPEUTIQUE;2;AVEC HOSPITALISATION;3;DOMICILE;0
35;TRAITEMENT CURES THERMALES;1;SANS HOSPITALISATION;2;EXTERNE;0
37;ACCUEIL ET PRISE EN CHARGE EN APPARTEMENT THERAPEUTIQUE PSYCHIATRIQUE;2;AVEC HOSPITALISATION;2;EXTERNE;0
38;ACCUEIL ET PRISE EN CHARGE EN CENTRE DE POST CURE PSYCHIATRIQUE;2;AVEC HOSPITALISATION;2;EXTERNE;0
39;ACCUEIL ET PRISE EN CHARGE EN CENTRE DE CRISE PSYCHIATRIQUE;2;AVEC HOSPITALISATION;2;EXTERNE;0
99;VALEUR INCONNUE;9;VALEUR INCONNUE;9;SANS OBJET;1
