MED_NCL_IDT;MED_MTF_COD;MED_MTF_LIB;TEC_COL
ISO3950;00;Pas de dent;0
ISO3950;01;maxillaire supérieur;0
ISO3950;02;mandibule (maxillaire inférieur);0
ISO3950;03;Sextant supérieur droit;0
ISO3950;04;Sextant antéro-supérieur;0
ISO3950;05;Sextant supérieur gauche;0
ISO3950;06;Sextant inférieur gauche;0
ISO3950;07;Sextant antéro-inférieur;0
ISO3950;08;Sextant inférieur droit;0
ISO3950;11;1er quadrant dent 1 définitive;0
ISO3950;12;1er quadrant dent 2 définitive;0
ISO3950;13;1er quadrant dent 3 définitive;0
ISO3950;14;1er quadrant dent 4 définitive;0
ISO3950;15;1er quadrant dent 5 définitive;0
ISO3950;16;1er quadrant dent 6 définitive;0
ISO3950;17;1er quadrant dent 7 définitive;0
ISO3950;18;1er quadrant dent 8 définitive;0
ISO3950;21;2e quadrant dent 1 définitive;0
ISO3950;22;2e quadrant dent 2 définitive;0
ISO3950;23;2e quadrant dent 3 définitive;0
ISO3950;24;2e quadrant dent 4 définitive;0
ISO3950;25;2e quadrant dent 5 définitive;0
ISO3950;26;2e quadrant dent 6 définitive;0
ISO3950;27;2e quadrant dent 7 définitive;0
ISO3950;28;2e quadrant dent 8 définitive;0
ISO3950;31;3e quadrant dent 1 définitive;0
ISO3950;32;3e quadrant dent 2 définitive;0
ISO3950;33;3e quadrant dent 3 définitive;0
ISO3950;34;3e quadrant dent 4 définitive;0
ISO3950;35;3e quadrant dent 5 définitive;0
ISO3950;36;3e quadrant dent 6 définitive;0
ISO3950;37;3e quadrant dent 7 définitive;0
ISO3950;38;3e quadrant dent 8 définitive;0
ISO3950;41;4e quadrant dent 1 définitive;0
ISO3950;42;4e quadrant dent 2 définitive;0
ISO3950;43;4e quadrant dent 3définitive;0
ISO3950;44;4e quadrant dent 4 définitive;0
ISO3950;45;4e quadrant dent 5 définitive;0
ISO3950;46;4e quadrant dent 6 définitive;0
ISO3950;47;4e quadrant dent 7 définitive;0
ISO3950;48;4e quadrant dent 8 définitive;0
ISO3950;51;1er quadrant dent 1 dent de lait;0
ISO3950;52;1er quadrant dent 2 dent de lait;0
ISO3950;53;1er quadrant dent 3 dent de lait;0
ISO3950;54;1er quadrant dent 4 dent de lait;0
ISO3950;55;1er quadrant dent 5 dent de lait;0
ISO3950;56;1er quadrant dent 6 dent de lait;0
ISO3950;57;1er quadrant dent 7 dent de lait;0
ISO3950;61;2er quadrant dent 1 dent de lait;0
ISO3950;62;2er quadrant dent 2 dent de lait;0
ISO3950;63;2er quadrant dent 3 dent de lait;0
ISO3950;64;2er quadrant dent 4 dent de lait;0
ISO3950;65;2er quadrant dent 5 dent de lait;0
ISO3950;66;2er quadrant dent 6 dent de lait;0
ISO3950;67;2er quadrant dent 7 dent de lait;0
ISO3950;71;3er quadrant dent 1 dent de lait;0
ISO3950;72;3er quadrant dent 2 dent de lait;0
ISO3950;73;3er quadrant dent 3 dent de lait;0
ISO3950;74;3er quadrant dent 4 dent de lait;0
ISO3950;75;3er quadrant dent 5 dent de lait;0
ISO3950;76;3er quadrant dent 6 dent de lait;0
ISO3950;77;3er quadrant dent 7 dent de lait;0
ISO3950;81;4er quadrant dent 1 dent de lait;0
ISO3950;82;4er quadrant dent 2 dent de lait;0
ISO3950;83;4er quadrant dent 3 dent de lait;0
ISO3950;84;4er quadrant dent 4 dent de lait;0
ISO3950;85;4er quadrant dent 5 dent de lait;0
ISO3950;86;4er quadrant dent 6 dent de lait;0
ISO3950;87;4er quadrant dent 7 dent de lait;0
9999999;99;VALEUR INCONNUE;1
CIM10;A00;A COMPLETER;0
CIM10;A01;A COMPLETER;0
CIM10;A02;A COMPLETER;0
CIM10;A03;A COMPLETER;0
CIM10;A04;A COMPLETER;0
CIM10;A05;A COMPLETER;0
CIM10;A06;A COMPLETER;0
CIM10;A07;A COMPLETER;0
CIM10;A08;A COMPLETER;0
CIM10;A09;A COMPLETER;0
CIM10;A15;TUBERC. APP. RESP.;0
