CPT_MIR_NUM;CPT_COP_NUM;CPT_CMU_COD;CPT_MIR_LIB;TEC_COL
4573659;4573659;;Sortants CMUC OC -Prestations à recycler - B;0
457365;457365;;Organismes Complémentaires - Sortants CMUC OC - Procédure B - Prélévement;0
45736;45736;;Organismes Complémentaires - Sortants CMU;0
4582111;4582111;;C.S.G. précomptée s/ pension d'invalidité à 6,2%;0
4582112;4582112;;C.S.G. précomptée s/ pension d'invalidité à 3,80% (code C.G.I.);0
4582121;4582121;;C.S.G. précomptée sur IJ - part organisme;0
4582122;4582122;;C.S.G. précomptée sur IJ - part mutuelles;0
4582123;4582123;;C.S.G. précomptée sur IJ - autres organismes;0
458221;458221;;R.D.S. sur pension d'invalidité;0
4582221;4582221;;R.D.S. sur IJ - part organisme;0
4582222;4582222;;R.D.S. sur IJ - part mutuelles;0
4582223;4582223;;R.D.S. sur IJ - autres organismes;0
47511;47511;;Prestations PRESTIJ - CPAM à ventiler;0
47513500;47513500;;Prest. à ventiler Prestij Mutuelle Générale des Affaires Sociales;0
47513501;47513501;;Prest. à ventiler Prestij M.G.E.N. - Sect. extra-métropole;0
47513503;47513503;;Prest. à ventiler Prestij Mutuelle Générale de la Police - Sect. Paris;0
47513504;47513504;;Prest. à ventiler Prestij Mutuelle Agents des Impôts;0
47513505;47513505;;Prest. à ventiler Prestij Mutuelle Autonome Générale de l'Education;0
47513506;47513506;;Prest. à ventiler Prestij M.G.E.N.;0
47513507;47513507;;Prest. à ventiler Prestij Mutuelle du Ministère de l'Agriculture;0
47513508;47513508;;Prest. à ventiler Prestij Mutuelle Générale de l'Equipement & des Transports;0
47513509;47513509;;Prest. à ventiler Prestij Mutuelle du Ministère de l'Industrie;0
47513511;47513511;;Prest. à ventiler Prestij Mutuelle du Trésor;0
47513512;47513512;;Prest. à ventiler Prestij Mutuelle Générale des P.T.T.;0
47513513;47513513;;Prest. à ventiler Prestij Mutuelle des Douanes;0
47513514;47513514;;Prest. à ventiler Prestij Mutuelle des agents des C.A.N.S.S.M.;0
47513515;47513515;;Prest. à ventiler Prestij Sté Mutualiste de l'I.N.S.E.E.;0
47513516;47513516;;Prest. à ventiler Prestij Mutuelle de la Marine;0
47513518;47513518;;Prest. à ventiler Prestij Mutuelle de la C.D.C.;0
47513519;47513519;;Prest. à ventiler Prestij Mutuelle des Personnels Civils de l'Aviation;0
47513520;47513520;;Prest. à ventiler Prestij Union des Stés Mutualistes Fonct. Région Parisienne;0
47513523;47513523;;Prest. à ventiler Prestij Mutuelle Centrale des Finances;0
