DTE_ANN_MOI;DTE_ANT_MOI;DTE_MOI;DTE_MOI_LIB;DTE_ANT_MLI;DTE_MOI_JOV;DTE_TRI_EST;DTE_ANT_TRI;DTE_QUA_EST;DTE_ANT_QUA;DTE_SEM_EST;DTE_ANT_SEM;DTE_ANN;TEC_COL
194709;1947-09;9;septembre;1947-septembre;0.0;3;1947-T3;3;1947-Q3;2;1947-S2;1947;0
194710;1947-10;10;octobre;1947-octobre;0.0;4;1947-T4;3;1947-Q3;2;1947-S2;1947;0
194711;1947-11;11;novembre;1947-novembre;0.0;4;1947-T4;3;1947-Q3;2;1947-S2;1947;0
194712;1947-12;12;décembre;1947-décembre;0.0;4;1947-T4;3;1947-Q3;2;1947-S2;1947;0
194801;1948-01;1;janvier;1948-janvier;0.0;1;1948-T1;1;1948-Q1;1;1948-S1;1948;0
194802;1948-02;2;février;1948-février;0.0;1;1948-T1;1;1948-Q1;1;1948-S1;1948;0
194803;1948-03;3;mars;1948-mars;0.0;1;1948-T1;1;1948-Q1;1;1948-S1;1948;0
194804;1948-04;4;avril;1948-avril;0.0;2;1948-T2;1;1948-Q1;1;1948-S1;1948;0
194805;1948-05;5;mai;1948-mai;0.0;2;1948-T2;2;1948-Q2;1;1948-S1;1948;0
194806;1948-06;6;juin;1948-juin;0.0;2;1948-T2;2;1948-Q2;1;1948-S1;1948;0
194807;1948-07;7;juillet;1948-juillet;0.0;3;1948-T3;2;1948-Q2;2;1948-S2;1948;0
194808;1948-08;8;août;1948-août;0.0;3;1948-T3;2;1948-Q2;2;1948-S2;1948;0
194809;1948-09;9;septembre;1948-septembre;0.0;3;1948-T3;3;1948-Q3;2;1948-S2;1948;0
194810;1948-10;10;octobre;1948-octobre;0.0;4;1948-T4;3;1948-Q3;2;1948-S2;1948;0
194811;1948-11;11;novembre;1948-novembre;0.0;4;1948-T4;3;1948-Q3;2;1948-S2;1948;0
194812;1948-12;12;décembre;1948-décembre;0.0;4;1948-T4;3;1948-Q3;2;1948-S2;1948;0
194901;1949-01;1;janvier;1949-janvier;0.0;1;1949-T1;1;1949-Q1;1;1949-S1;1949;0
