TRS_TRS_MTF;TRS_MTF_CH1;TRS_MTF_LB1;TRS_MTF_CH2;TRS_MTF_LB2;TRS_MTF_CH3;TRS_MTF_LB3;TEC_COL
0;0;TRANSPORT NON EN SERIE;0;NON LIE A UNE HOSPITALISATION;0;TRANSPORT <= 150 KM;0
1;0;TRANSPORT NON EN SERIE;0;NON LIE A UNE HOSPITALISATION;1;TRANSPORT LONGUE DISTANCE > 150 KM;0
9;0;TRANSPORT NON EN SERIE;0;NON LIE A UNE HOSPITALISATION;9;SANS OBJET;0
10;0;TRANSPORT NON EN SERIE;1;ENTREE-SORTIE HOSPITALISATION;0;TRANSPORT <= 150 KM;0
11;0;TRANSPORT NON EN SERIE;1;ENTREE-SORTIE HOSPITALISATION;1;TRANSPORT LONGUE DISTANCE > 150 KM;0
19;0;TRANSPORT NON EN SERIE;1;ENTREE-SORTIE HOSPITALISATION;9;SANS OBJET;0
20;0;TRANSPORT NON EN SERIE;2;TRANSFERT;0;TRANSPORT <= 150 KM;0
21;0;TRANSPORT NON EN SERIE;2;TRANSFERT;1;TRANSPORT LONGUE DISTANCE > 150 KM;0
29;0;TRANSPORT NON EN SERIE;2;TRANSFERT;9;SANS OBJET;0
90;0;TRANSPORT NON EN SERIE;9;SANS OBJET;0;TRANSPORT <= 150 KM;0
91;0;TRANSPORT NON EN SERIE;9;SANS OBJET;1;TRANSPORT LONGUE DISTANCE > 150 KM;0
99;0;TRANSPORT NON EN SERIE;9;SANS OBJET;9;SANS OBJET;0
100;1;TRANSPORT EN SERIE;0;NON LIE A UNE HOSPITALISATION;0;TRANSPORT <= 150 KM;0
101;1;TRANSPORT EN SERIE;0;NON LIE A UNE HOSPITALISATION;1;TRANSPORT LONGUE DISTANCE > 150 KM;0
109;1;TRANSPORT EN SERIE;0;NON LIE A UNE HOSPITALISATION;9;SANS OBJET;0
110;1;TRANSPORT EN SERIE;1;ENTREE-SORTIE HOSPITALISATION;0;TRANSPORT <= 150 KM;0
111;1;TRANSPORT EN SERIE;1;ENTREE-SORTIE HOSPITALISATION;1;TRANSPORT LONGUE DISTANCE > 150 KM;0
119;1;TRANSPORT EN SERIE;1;ENTREE-SORTIE HOSPITALISATION;9;SANS OBJET;0
120;1;TRANSPORT EN SERIE;2;TRANSFERT;0;TRANSPORT <= 150 KM;0
121;1;TRANSPORT EN SERIE;2;TRANSFERT;1;TRANSPORT LONGUE DISTANCE > 150 KM;0
129;1;TRANSPORT EN SERIE;2;TRANSFERT;9;SANS OBJET;0
190;1;TRANSPORT EN SERIE;9;SANS OBJET;0;TRANSPORT <= 150 KM;0
191;1;TRANSPORT EN SERIE;9;SANS OBJET;1;TRANSPORT LONGUE DISTANCE > 150 KM;0
199;1;TRANSPORT EN SERIE;9;SANS OBJET;9;SANS OBJET;0
900;9;SANS OBJET;0;NON LIE A UNE HOSPITALISATION;0;TRANSPORT <= 150 KM;0
901;9;SANS OBJET;0;NON LIE A UNE HOSPITALISATION;1;TRANSPORT LONGUE DISTANCE > 150 KM;0
909;9;SANS OBJET;0;NON LIE A UNE HOSPITALISATION;9;SANS OBJET;0
910;9;SANS OBJET;1;ENTREE-SORTIE HOSPITALISATION;0;TRANSPORT <= 150 KM;0
911;9;SANS OBJET;1;ENTREE-SORTIE HOSPITALISATION;1;TRANSPORT LONGUE DISTANCE > 150 KM;0
919;9;SANS OBJET;1;ENTREE-SORTIE HOSPITALISATION;9;SANS OBJET;0
920;9;SANS OBJET;2;TRANSFERT;0;TRANSPORT <= 150 KM;0
921;9;SANS OBJET;2;TRANSFERT;1;TRANSPORT LONGUE DISTANCE > 150 KM;0
929;9;SANS OBJET;2;TRANSFERT;9;SANS OBJET;0
990;9;SANS OBJET;9;SANS OBJET;0;TRANSPORT <= 150 KM;0
991;9;SANS OBJET;9;SANS OBJET;1;TRANSPORT LONGUE DISTANCE > 150 KM;0
999;9;VALEUR INCONNUE;9;VALEUR INCONNUE;9;VALEUR INCONNUE;1
