PRS_NAT;PFS_ACT_NAT
1054;21
1054;24
1054;25
1054;26
1054;27
1054;28
1054;50
1054;86
1055;21
1055;24
1055;25
1055;26
1055;27
1055;28
1055;50
1055;86
1056;21
1062;25
1062;53
1062;54
1063;25
1063;53
1063;54
1064;25
1064;53
1064;54
1065;25
1065;53
1065;54
1065;86
1066;25
1066;53
1066;54
1066;86
1085;24
1085;26
1085;50
1085;51
1085;86
1086;21
1087;25
1087;53
1087;54
1087;86
1088;25
1088;53
1088;54
1088;86
1100;29
1105;19
1105;53
1105;54
1111;19
1111;21
1111;53
1111;54
1112;19
1112;53
1112;54
1159;29
1167;19
1167;21
1167;24
1167;26
1167;27
1167;28
1167;29
1167;30
1167;39
1167;40
1167;50
1167;51
1167;52
1167;53
1167;54
1167;60
1167;61
1167;62
1167;63
1167;64
1167;65
1167;66
1167;67
1167;68
1167;86
1168;21
1169;24
1169;86
1172;19
1172;21
1172;24
1172;26
1172;27
1172;28
1172;29
1172;53
1172;54
1172;60
1172;61
1172;62
1172;63
1172;64
1172;65
1172;66
1172;67
1172;68
1172;86
1185;29
1190;19
1190;21
1190;24
1190;26
1190;27
1190;28
1190;29
1190;53
1190;54
1190;60
1190;61
1190;62
1190;63
1190;64
1190;65
1190;66
1190;67
1190;68
1190;86
1191;21
1191;53
1191;54
1192;21
1193;21
1193;53
1193;54
1194;21
1194;53
1194;54
1195;19
1195;21
1195;24
1195;25
1195;26
1195;27
1195;28
1195;29
1195;30
1195;39
1195;40
1195;50
1195;51
1195;52
1195;53
1195;54
1195;60
1195;61
1195;62
1195;63
1195;64
1195;65
1195;66
1195;67
1195;68
1195;86
1196;19
1196;21
1196;24
1196;25
1196;26
1196;27
1196;28
1196;29
1196;30
1196;39
1196;40
1196;50
1196;51
1196;52
1196;53
1196;54
1196;55
1196;56
1196;57
1196;65
1196;86
1199;21
1199;25
1199;28
1199;53
1199;54
1199;86
1201;53
1201;54
1202;21
1202;24
1202;26
1202;86
1211;19
1211;21
1211;53
1211;54
1212;19
1212;53
1212;54
1222;19
1222;21
1312;40
1316;21
1321;19
1321;21
1321;53
1321;54
1322;21
1324;21
1331;19
1331;30
1331;53
1331;54
1351;19
1351;53
1351;54
1352;19
1352;21
1352;53
1352;54
1400;19
1400;53
1400;54
1401;19
1401;53
1401;54
1402;19
1402;53
1402;54
1403;19
1403;53
1403;54
1404;19
1404;53
1404;54
1405;19
1405;53
1405;54
1406;19
1406;53
1406;54
1407;19
1407;53
1407;54
1408;19
1408;53
1408;54
1409;19
1409;53
1409;54
1410;19
1410;53
1410;54
1412;19
1412;53
1412;54
1413;19
1413;53
1413;54
1414;19
1414;53
1414;54
1415;19
1415;53
1415;54
1416;19
1416;53
1416;54
1417;19
1417;53
1417;54
1418;19
1418;53
1418;54
1419;19
1419;53
1419;54
1420;19
1420;53
1420;54
1424;19
1424;53
1425;19
1425;53
1425;54
1431;19
1431;53
1431;54
1432;19
1432;53
1432;54
1433;19
1433;53
1433;54
1434;19
1434;53
1434;54
1742;28
1742;29
1742;30
1742;39
1742;40
1742;50
1742;51
1742;52
1742;55
1742;56
1742;60
1742;61
1742;62
1742;63
1742;64
1742;65
1742;66
1742;67
1742;68
1742;86
1743;19
1743;21
1743;24
1743;26
1743;27
1743;28
1743;29
1743;30
1743;39
1743;40
1743;50
1743;51
1743;52
1743;55
1743;56
1743;60
1743;61
1743;62
1743;63
1743;64
1743;65
1743;66
1743;67
1743;68
1743;86
1744;19
1744;21
1744;24
1744;26
1744;27
1744;28
1744;29
1744;30
1744;39
1744;40
1744;50
1744;51
1744;52
1744;55
1744;56
1744;60
1744;61
1744;62
1744;63
1744;64
1744;65
1744;66
1744;67
1744;68
1744;86
1745;19
1745;21
1745;24
1745;26
1745;27
1745;28
1745;29
1745;30
1745;39
1745;40
1745;50
1745;51
1745;52
1745;55
1745;56
1745;60
1745;61
1745;62
1745;63
1745;64
1745;65
1745;66
1745;67
1745;68
1745;86
1746;19
1746;21
1746;24
1746;26
1746;27
1746;28
1746;29
1746;30
1746;39
1746;40
1746;50
1746;51
1746;52
1746;55
1746;56
1746;60
1746;61
1746;62
1746;63
1746;64
1746;65
1746;66
1746;67
1746;68
1746;86
1747;19
1747;21
1747;24
1747;26
1747;27
1747;28
1747;29
1747;30
1747;39
1747;40
1747;50
1747;51
1747;52
1747;55
1747;56
1747;60
1747;61
1747;62
1747;63
1747;64
1747;65
1747;66
1747;67
1747;68
1747;86
1748;19
1748;21
1748;24
1748;26
1748;27
1748;28
1748;29
1748;30
1748;39
1748;40
1748;50
1748;51
1748;52
1748;55
1748;56
1748;60
1748;61
1748;62
1748;63
1748;64
1748;65
1748;66
1748;67
1748;68
1748;86
1749;19
1749;21
1749;24
1749;26
1749;27
1749;28
1749;29
1749;30
1749;39
1749;40
1749;50
1749;51
1749;52
1749;55
1749;56
1749;60
1749;61
1749;62
1749;63
1749;64
1749;65
1749;66
1749;67
1749;68
1749;86
1751;19
1751;21
1751;24
1751;26
1751;27
1751;28
1751;29
1751;30
1751;39
1751;40
1751;50
1751;51
1751;52
1751;55
1751;56
1751;60
1751;61
1751;62
1751;63
1751;64
1751;65
1751;66
1751;67
1751;68
1751;86
1761;19
1761;21
1761;24
1761;26
1761;27
1761;28
1761;29
1761;30
1761;39
1761;40
1761;50
1761;51
1761;52
1761;55
1761;56
1761;60
1761;61
1761;62
1761;63
1761;64
1761;65
1761;66
1761;67
1761;68
1761;86
1762;19
1762;21
1762;24
1762;26
1762;27
1762;28
1762;29
1762;30
1762;39
1762;40
1762;50
1762;51
1762;52
1762;55
1762;56
1762;60
1762;86
1763;19
1763;21
1763;24
1763;26
1763;27
1763;28
1763;29
1763;30
1763;39
1763;40
1763;50
1763;51
1763;52
1763;55
1763;56
1763;60
1763;61
1763;62
1763;63
1763;64
1763;65
1763;66
1763;67
1763;68
1763;86
1764;19
1764;21
1764;24
1764;26
1764;27
1764;28
1764;29
1764;30
1764;39
1764;40
1764;50
1764;51
1764;52
1764;55
1764;56
1764;60
1764;61
1764;62
1764;63
1764;64
1764;65
1764;66
1764;67
1764;68
1764;86
1765;19
1765;21
1765;24
1765;26
1765;27
1765;28
1765;29
1765;30
1765;39
1765;40
1765;50
1765;51
1765;52
1765;55
1765;56
1765;60
1765;61
1765;62
1765;63
1765;64
1765;65
1765;66
1765;67
1765;68
1765;86
1766;19
1766;21
1766;24
1766;26
1766;27
1766;28
1766;29
1766;30
1766;39
1766;40
1766;50
1766;51
1766;52
1766;55
1766;56
1766;60
1766;61
1766;62
1766;63
1766;64
1766;65
1766;66
1766;67
1766;68
1766;86
1767;19
1767;21
1767;24
1767;26
1767;27
1767;28
1767;29
1767;30
1767;39
1767;40
1767;50
1767;51
1767;52
1767;55
1767;56
1767;60
1767;61
1767;62
1767;63
1767;64
1767;65
1767;66
1767;67
1767;68
1767;86
1768;19
1768;21
1768;24
1768;26
1768;27
1768;28
1768;29
1768;30
1768;39
1768;40
1768;50
1768;51
1768;52
1768;55
1768;56
1768;60
1768;61
1768;62
1768;63
1768;64
1768;65
1768;66
1768;67
1768;68
1768;86
1769;19
1769;21
1769;24
1769;26
1769;27
1769;28
1769;29
1769;30
1769;39
1769;40
1769;50
1769;51
1769;52
1769;55
1769;56
1769;60
1769;61
1769;62
1769;63
1769;64
1769;65
1769;66
1769;67
1769;68
1769;86
1771;19
1771;21
1771;24
1771;26
1771;27
1771;28
1771;29
1771;30
1771;39
1771;40
1771;50
1771;51
1771;52
1771;55
1771;56
1771;60
1771;61
1771;62
1771;63
1771;64
1771;65
1771;66
1771;67
1771;68
1771;86
1781;19
1781;21
1781;24
1781;26
1781;27
1781;28
1781;29
1781;30
1781;39
1781;40
1781;50
1781;51
1781;52
1781;55
1781;56
1781;60
1781;61
1781;62
1781;63
1781;64
1781;65
1781;66
1781;67
1781;68
1781;86
1782;19
1782;21
1782;24
1782;26
1782;27
1782;28
1782;29
1782;30
1782;39
1782;40
1782;50
1782;51
1782;52
1782;55
1782;56
1782;60
1782;61
1782;62
1782;63
1782;64
1782;65
1782;66
1782;67
1782;68
1782;86
1783;19
1783;21
1783;24
1783;26
1783;27
1783;28
1783;29
1783;30
1783;39
1783;40
1783;50
1783;51
1783;52
1783;55
1783;56
1783;60
1783;61
1783;62
1783;63
1783;64
1783;65
1783;66
1783;67
1783;68
1783;86
1784;19
1784;21
1784;24
1784;26
1784;27
1784;28
1784;29
1784;30
1784;39
1784;40
1784;50
1784;51
1784;52
1784;55
1784;56
1784;60
1784;61
1784;62
1784;63
1784;64
1784;65
1784;66
1784;67
1784;68
1784;86
1785;19
1785;21
1785;24
1785;26
1785;27
1785;28
1785;29
1785;30
1785;39
1785;40
1785;50
1785;51
1785;52
1785;55
1785;56
1785;60
1785;61
1785;62
1785;63
1785;64
1785;65
1785;66
1785;67
1785;68
1785;86
1786;19
1786;21
1786;24
1786;26
1786;27
1786;28
1786;29
1786;30
1786;39
1786;40
1786;50
1786;51
1786;52
1786;55
1786;56
1786;60
1786;61
1786;62
1786;63
1786;64
1786;65
1786;66
1786;67
1786;68
1786;86
1787;19
1787;21
1787;24
1787;26
1787;27
1787;28
1787;29
1787;30
1787;39
1787;40
1787;50
1787;51
1787;52
1787;55
1787;56
1787;60
1787;61
1787;62
1787;63
1787;64
1787;65
1787;66
1787;67
1787;68
1787;86
1788;19
1788;21
1788;24
1788;26
1788;27
1788;28
1788;29
1788;30
1788;39
1788;40
1788;50
1788;51
1788;52
1788;55
1788;56
1788;60
1788;61
1788;62
1788;63
1788;64
1788;65
1788;66
1788;67
1788;68
1788;86
1789;19
1789;21
1789;24
1789;26
1789;27
1789;28
1789;29
1789;30
1789;39
1789;40
1789;50
1789;51
1789;52
1789;55
1789;56
1789;60
1789;61
1789;62
1789;63
1789;64
1789;65
1789;66
1789;67
1789;68
1789;86
3522;68
3540;50
3540;51
3540;60
3540;61
3540;62
3540;63
3540;64
3540;65
3540;66
3540;67
3540;68
3548;67
3548;68
3550;50
3550;51
3550;60
3550;61
3550;62
3550;63
3550;64
3550;65
3550;66
3550;67
3550;68
3558;50
3558;51
3558;60
3558;61
3558;62
3558;63
3558;64
3558;65
3558;66
3558;67
3558;68
3574;50
3574;51
3574;60
3574;61
