PFS_ACT_NAT;PRS_NAT
19;1105
19;1172
19;1400
19;1401
19;1402
19;1403
19;1404
19;1405
19;1406
19;1407
19;1408
19;1409
19;1410
19;1412
19;1413
19;1414
19;1415
19;1416
19;1417
19;1418
19;1419
19;1420
19;1437
19;1842
19;1843
19;1844
19;1845
19;1846
19;1847
19;1848
19;1849
19;1929
19;1930
19;1960
19;1961
19;3106
19;3107
19;3108
19;3109
19;3111
19;3112
19;3113
19;3116
19;3117
19;3120
19;3121
19;3122
19;3123
19;3125
19;3132
19;3136
19;3137
19;3138
19;3140
19;3142
19;3145
19;3146
19;3147
19;3148
19;3149
19;3151
19;3152
19;3153
19;3154
19;3155
19;3156
19;3157
19;3158
19;3159
19;3160
19;3161
19;3162
19;3163
19;3164
19;3165
19;3211
19;3221
19;3222
19;3223
19;3225
19;3311
19;3312
19;3313
19;3314
19;3315
19;3316
19;3317
19;3318
19;3319
19;3322
19;3323
19;3325
19;3326
19;3327
19;3328
19;3331
19;3336
19;3342
19;3343
19;3350
19;3351
19;3352
19;3353
19;3354
19;3355
19;3356
19;3357
19;3364
19;3365
19;3366
19;3367
19;3375
19;3380
19;3383
19;3384
19;3385
19;3386
19;3387
19;3388
19;3389
19;3390
19;3399
19;3411
19;3414
19;3551
19;3576
19;3610
19;3611
19;3612
19;4141
19;4142
19;4143
19;4144
19;4151
19;4152
19;4153
19;4154
19;4203
19;4204
19;4205
19;4206
19;4207
19;4208
19;4210
19;4211
19;4212
19;4213
19;4214
19;4215
19;4216
19;4217
19;4218
19;4220
19;4221
19;4225
19;4226
19;4229
19;4316
19;9411
19;9566
19;9570
21;1086
21;1172
21;1192
21;1193
21;1194
21;1201
21;1202
21;1842
21;1848
21;1849
21;1929
21;1930
21;1940
21;1960
21;1961
21;1981
21;2413
21;2414
21;2415
21;2416
21;2420
21;2426
21;3106
21;3107
21;3108
21;3109
21;3111
21;3112
21;3113
21;3116
21;3117
21;3120
21;3121
21;3122
21;3123
21;3140
21;3145
21;3146
21;3147
21;3148
21;3149
21;3151
21;3152
21;3153
21;3154
21;3155
21;3156
21;3157
21;3158
21;3159
21;3160
21;3161
21;3162
21;3163
21;3164
21;3165
21;3211
21;3213
21;3216
21;3221
21;3222
21;3223
21;3225
21;3311
21;3312
21;3313
21;3314
21;3315
21;3316
21;3317
21;3318
21;3319
21;3322
21;3323
21;3325
21;3326
21;3327
21;3328
21;3329
21;3331
21;3334
21;3335
21;3336
