PRS_NAT;ASU_NAT;PRS_NAT_TDM
1112;40;1
1112;70;1
1112;90;2
1113;10;1
1113;30;1
1113;40;1
1113;70;1
1114;10;1
1114;30;1
1114;40;1
1115;10;1
1115;30;1
1116;10;1
1116;30;1
1116;40;1
1116;70;1
1116;90;2
1117;10;1
1117;30;1
1117;40;1
1117;70;19
1117;90;1
1118;10;1
1118;30;1
1118;40;1
1118;70;19
1118;90;1
1119;10;1
1119;30;1
1119;40;1
1120;10;
1120;30;
1120;40;
1120;70;
1121;10;1
1121;30;1
1121;40;1
1122;10;1
1122;30;1
1123;10;1
1123;30;1
1124;10;1
1125;10;1
1125;30;1
1125;40;1
1125;90;2
1126;10;1
1126;30;1
1126;40;1
1126;90;2
1127;10;1
1127;30;1
1127;40;1
1128;10;1
1129;10;1
1129;30;1
1129;40;1
1129;70;1
1129;90;2
1130;10;
1131;10;1
1131;30;1
1131;40;1
1132;10;1
1132;30;1
1132;40;1
1133;10;1
1133;30;1
1133;40;1
1134;10;1
1134;30;1
1135;10;1
1135;30;1
1136;10;1
1136;30;1
1137;10;1
1137;30;1
1138;10;1
1139;10;1
1140;10;
1140;30;
1141;10;
1141;30;
1141;40;
1142;10;
1143;10;
1144;10;
1145;10;
1146;10;
1147;10;
1148;10;
1149;10;
1150;10;
1152;10;
1152;30;
1153;10;
1153;30;
1153;40;
1154;10;
1154;30;
1154;40;
1155;10;99
1156;10;99
1157;10;99
1158;10;99
1159;10;99
1159;30;99
1159;40;99
1160;10;99
1161;10;99
1162;10;99
1163;90;99
1164;10;99
1164;30;99
1165;10;99
1165;30;99
1166;10;99
1167;10;99
1168;10;99
1169;10;99
1170;10;99
1171;10;99
1172;10;99
1172;30;99
1173;10;99
1174;10;99
1174;30;99
1175;10;99
1175;30;99
1175;40;99
1176;10;99
1177;30;99
1178;10;99
1179;10;99
1180;10;99
1181;10;99
1182;10;99
1183;10;99
1184;10;99
1185;10;99
1186;10;99
1187;10;99
1188;10;99
1189;10;99
1190;10;99
1191;10;99
1191;30;99
1191;40;99
1192;10;99
1192;30;99
1192;40;99
1193;10;99
1193;30;99
1193;40;99
1194;10;99
1194;30;99
1194;40;99
1195;10;99
1196;10;99
1196;30;99
1196;40;99
1196;50;99
1196;70;99
1196;80;99
1196;90;99
1197;10;99
1198;10;99
1199;10;99
1199;30;99
1199;40;99
1209;10;99
1209;30;99
1209;40;99
1210;10;99
1210;30;99
1210;40;99
1211;10;1
1211;30;1
1211;40;1
1212;10;1
1212;30;1
1212;40;1
1213;10;1
1213;30;1
1213;40;1
1214;10;
1214;30;
1215;10;99
1215;30;99
1215;40;99
1216;10;99
1216;30;99
1216;40;99
1221;10;1
1221;30;1
1221;40;1
1222;10;1
1222;30;1
1222;40;1
1224;10;1
1224;30;1
1224;40;1
1226;10;1
1226;30;1
1226;40;1
1227;10;1
