PRS_NAT;PFS_CAT_COD
1054;0
1055;0
1056;0
1056;1
1056;5
1057;0
1057;1
1058;0
1058;1
1059;0
1059;1
1060;0
1060;1
1061;0
1061;1
1062;0
1062;1
1063;0
1063;1
1064;0
1064;1
1065;0
1065;1
1066;0
1066;1
1067;0
1067;1
1068;0
1068;1
1069;0
1069;1
1070;0
1070;1
1070;3
1071;0
1071;1
1071;3
1072;0
1072;1
1073;0
1073;1
1074;0
1074;1
1075;0
1075;1
1076;0
1076;1
1077;0
1077;1
1078;0
1078;1
1078;3
1079;0
1079;1
1080;0
1080;1
1081;0
1081;1
1082;0
1082;1
1083;0
1083;1
1084;0
1084;1
1085;0
1086;0
1086;1
1086;5
1087;0
1087;1
1088;0
1088;1
1089;0
1089;1
1090;0
1090;1
1091;0
1091;1
1092;0
1092;1
1093;0
1093;1
1094;0
1094;1
1109;0
1109;1
1110;0
1110;1
1111;0
1111;1
1111;4
1111;5
1112;0
1112;1
1112;4
1113;0
1113;1
1114;0
1114;1
1115;0
1115;1
1116;0
1116;1
1117;0
1117;1
1118;0
1118;1
1119;1
1120;0
1120;1
1121;0
1121;1
1122;0
1122;1
1123;0
1123;1
1124;0
1124;1
1125;0
1125;1
1126;0
1126;1
1127;0
1127;1
1128;1
1129;0
1129;1
1130;0
1130;1
1131;0
1131;1
1132;0
1132;1
1133;0
1133;1
1134;0
1134;1
1135;0
1135;1
1136;0
1136;1
1137;0
1137;1
1138;1
1139;1
1140;0
1140;1
1141;0
1141;1
1142;1
1143;1
1144;0
1144;1
1145;0
1145;1
1146;0
1146;1
1147;0
1147;1
1148;0
1148;1
1149;0
1149;1
1150;0
1150;1
1152;0
1152;1
1153;0
1153;1
1154;0
1154;1
1155;1
1156;1
1157;0
1157;1
1158;0
1158;1
1159;0
1159;1
1159;9
1162;1
1163;0
1163;1
1164;0
1164;1
1164;4
1164;5
1165;0
1165;1
1166;0
1166;1
1167;0
1167;1
1167;2
1167;3
1167;4
1167;5
1167;6
1167;7
1167;8
1167;9
1168;0
1168;1
1168;5
1169;0
1169;1
1169;6
1170;0
1170;1
1170;5
1170;7
1171;0
1173;0
1173;1
1178;1
1179;1
1180;0
1180;1
1181;0
1181;1
1182;1
1183;1
1190;0
1190;1
1190;2
1190;4
1190;5
1190;6
1190;7
1190;8
1190;9
1195;0
1195;1
1195;2
1195;3
1195;4
1195;5
1195;6
1195;7
1195;8
1195;9
1196;0
1196;1
1196;2
1196;3
1196;4
1196;5
1196;6
1196;7
1196;8
1196;9
1197;0
1197;1
1198;0
1198;1
1199;0
1199;1
1199;4
1199;5
1199;9
1201;0
1201;1
1202;0
1202;5
1202;6
1202;7
1209;0
1209;1
1210;0
1210;1
1211;0
1211;1
1211;4
1211;5
1212;0
1212;1
1212;4
1213;0
1213;1
1214;0
1214;1
1221;1
1222;0
1222;1
1222;4
1222;5
1224;0
1224;1
1226;0
1226;1
1227;0
1227;1
1228;0
1228;1
1311;0
1311;1
1312;0
1312;1
1312;3
1313;1
1316;0
1316;1
1316;5
1318;0
1318;1
1321;0
1321;1
1321;4
1321;5
1324;0
1324;1
1324;5
1331;0
1331;1
1331;4
1335;0
1335;1
1351;0
1351;1
1351;4
1352;0
1352;1
1352;4
1352;5
1361;0
1361;1
1400;0
1400;1
1400;4
1401;0
1401;1
1401;4
1402;0
1402;1
1402;4
1403;0
1403;1
1403;4
1404;0
1404;1
1404;4
1405;0
1405;1
1405;4
1406;0
1406;1
1406;4
1407;0
1407;1
1407;4
1408;0
1408;1
1408;4
1409;0
1409;1
1409;4
1410;0
1410;1
1410;4
1411;0
1411;1
1412;0
1412;1
1412;4
1413;0
1413;1
1413;4
1414;0
1414;1
1414;4
1415;0
1415;1
1415;4
1416;0
1416;1
1416;4
1417;0
1417;1
1417;4
1418;0
1418;1
1418;4
1419;0
1419;1
1419;4
1420;0
1420;1
1420;4
1421;0
1421;1
1422;0
1422;1
1423;0
1423;4
1424;0
1424;4
1425;0
1425;1
1425;4
1426;0
1426;1
1426;4
1431;0
1431;4
1432;0
1432;4
1433;0
1433;4
1434;0
1434;1
1434;4
1435;0
1435;1
1435;4
1436;0
1436;1
1436;4
1437;0
1437;4
1438;0
1438;1
1438;4
1439;0
1439;1
1439;4
1451;0
1451;1
1451;4
1452;0
1452;1
1452;4
1453;0
1453;1
1453;4
1462;0
1462;1
1462;4
1465;0
1465;1
1465;4
1470;0
1470;1
1470;4
1471;0
1471;1
1471;4
1472;0
1472;1
1472;4
1473;0
1473;1
1473;4
1474;0
1474;1
1474;4
1475;0
1475;1
1475;4
1476;0
1476;1
1476;4
1477;0
1477;1
1477;4
1521;0
1521;1
1522;0
1522;1
1523;0
1523;4
1743;6
1743;7
1743;8
1743;9
1744;0
1744;1
1744;2
1744;3
1744;4
1744;5
1744;6
1744;7
1744;8
1744;9
1745;0
1745;1
1745;2
1745;3
1745;4
1745;5
1745;6
1745;7
1745;8
1745;9
1746;0
1746;1
1746;2
1746;3
1746;4
1746;5
1746;6
1746;7
1746;8
1746;9
1747;0
1747;1
1747;2
1747;3
1747;4
1747;5
1747;6
1747;7
1747;8
1747;9
1748;0
1748;1
1748;2
1748;3
1748;4
1748;5
1748;6
1748;7
1748;8
1748;9
1749;0
1749;1
1749;2
1749;3
1749;4
1749;5
1749;6
1749;7
1749;8
1749;9
1751;0
1751;1
1751;2
1751;3
1751;4
1751;5
1751;6
1751;7
1751;8
1751;9
1761;0
1761;1
1761;2
1761;3
1761;4
1761;5
1761;6
1761;7
1761;8
1761;9
1762;0
1762;1
1762;2
1762;3
1762;4
1762;5
1762;6
1762;7
1762;8
1762;9
1763;0
1763;1
1763;2
1763;3
1763;4
1763;5
1763;6
1763;7
1763;8
1763;9
1764;0
1764;1
1764;2
1764;3
1764;4
1764;5
1764;6
1764;7
1764;8
1764;9
1765;0
1765;1
1765;2
1765;3
1765;4
1765;5
1765;6
1765;7
1765;8
1765;9
1766;0
1766;1
1766;2
1766;3
1766;4
1766;5
1766;6
1766;7
1766;8
1766;9
1767;0
1767;1
1767;2
1767;3
1767;4
1767;5
1767;6
1767;7
1767;8
1767;9
1768;0
1768;1
1768;2
1768;3
1768;4
1768;5
1768;6
1768;7
1768;8
1768;9
1769;0
1769;1
1769;2
1769;3
1769;4
1769;5
1769;6
1769;7
1769;8
1769;9
1771;0
1771;1
1771;2
1771;3
1771;4
1771;5
1771;6
1771;7
1771;8
1771;9
1781;0
1781;1
1781;2
1781;3
1781;4
1781;5
1781;6
1781;7
1781;8
1781;9
1782;0
1782;1
1782;2
1782;3
1782;4
1782;5
1782;6
1782;7
1782;8
1782;9
1783;0
1783;1
1783;2
1783;3
1783;4
1783;5
1783;6
1783;7
1783;8
1783;9
1784;0
1784;1
1784;2
1784;3
1784;4
1784;5
1784;6
1784;7
1784;8
1784;9
1785;0
1785;1
1785;2
1785;3
1785;4
1785;5
1785;6
1785;7
1785;8
1785;9
1786;0
1786;1
1786;2
1786;3
1786;4
1786;5
1786;6
1786;7
1786;8
1786;9
2117;0
2118;0
2119;0
2120;0
2129;0
2130;0
2131;0
2132;0
2133;0
2134;0
2135;0
2136;0
2137;0
2138;0
2139;0
2140;0
2141;0
2142;0
2143;0
2144;0
2145;0
2146;0
2147;0
2148;0
2149;0
2150;0
2151;0
2152;0
2153;0
2154;0
2155;0
2156;0
2157;0
2158;0
2159;0
2159;1
2160;0
2161;0
2162;0
2163;0
2164;0
2165;0
2166;0
2167;0
2168;0
2169;0
2170;0
2171;0
2172;0
2173;0
2174;0
2175;0
2176;0
2177;0
2178;0
2179;0
2180;0
2181;0
2182;0
2183;0
2184;0
2185;0
2186;0
2187;0
2188;0
2189;0
2190;0
2191;0
2192;0
2193;0
2194;0
2195;0
2196;0
2197;0
2198;0
2199;0
2201;0
2202;0
2203;0
2204;0
2205;0
2206;0
2207;0
2208;0
2209;0
2210;0
2211;0
2212;0
2213;0
2214;0
2215;0
2216;0
2217;0
2218;0
2219;0
2220;0
2221;0
2222;0
2228;0
2229;0
2230;0
2231;0
2232;0
2233;0
2234;0
2235;0
2236;0
2237;0
2238;0
2239;0
2240;0
2241;0
2242;0
2243;0
2244;0
2245;0
2246;0
2247;0
2248;0
2249;0
2250;0
2251;0
2252;0
2253;0
2254;0
2255;0
2256;0
2257;0
2258;0
2259;0
2260;0
2261;0
2262;0
2263;0
2264;0
2265;0
2266;0
2267;0
2268;0
2269;0
2270;0
2271;0
2272;0
2273;0
2274;0
2275;0
2276;0
2277;0
2278;0
2279;0
2280;0
2281;0
2283;0
2284;0
2285;0
2286;0
2287;0
2288;0
2289;0
2290;0
2294;0
2295;0
2297;0
2298;0
2299;0
2300;0
2309;0
2321;0
2331;0
2332;0
2333;0
2334;0
2336;0
2337;0
2337;1
2338;0
2339;0
2341;0
2342;0
2342;1
2343;0
2343;1
2344;0
2344;1
2345;0
2345;1
2346;0
2346;1
2347;0
2347;1
2351;0
2352;0
2353;0
2354;0
2355;0
2356;0
2357;0
2358;0
2359;0
2360;0
2361;0
2362;0
2363;0
2364;0
2365;0
2366;0
2367;0
2368;0
2369;0
2380;0
2381;0
2382;0
2383;0
2384;0
2385;0
2386;0
2387;0
2388;0
2389;0
2391;0
2392;0
2411;0
2411;1
2412;0
2412;1
2413;0
2413;1
2413;3
2414;0
2414;1
2414;5
2415;0
2416;0
2417;0
2417;2
2417;3
2418;0
2418;1
2418;5
2419;0
2420;0
2421;0
2422;0
2423;0
2424;0
2426;0
2426;1
2426;5
2428;0
2428;1
2428;5
2501;0
2502;0
2503;0
2504;0
3101;4
3101;5
3101;6
3101;7
3101;8
3101;9
3102;4
3102;5
3102;6
3102;7
3102;8
3102;9
3103;0
3103;1
3103;5
3103;6
3104;0
3104;1
3104;5
3104;6
3104;7
3105;0
3105;1
3105;5
3105;6
3106;0
3106;1
3106;6
3107;0
3107;1
3107;6
3108;0
3108;1
3108;6
3109;0
3109;1
3109;3
3109;6
3110;0
3110;6
3111;0
3111;1
3111;3
3111;5
3111;6
3111;7
3111;8
3111;9
3112;0
3112;1
3112;5
3112;6
3112;7
3112;8
3112;9
3113;0
3113;1
3113;3
3113;5
3115;0
3115;1
3115;5
3115;6
3115;7
3115;8
3115;9
3116;0
3116;1
3116;3
3116;5
3116;6
3116;7
3116;8
3116;9
3117;0
3117;1
3117;5
3117;6
3117;7
3117;8
3117;9
3120;0
3120;1
3120;3
3120;6
3121;0
3121;1
3121;5
3121;6
3121;7
3121;8
3121;9
3122;0
3122;1
3122;5
3122;6
3122;7
3122;8
3122;9
3123;0
3123;1
3123;7
3124;0
3124;1
3124;9
3125;0
3125;1
3125;6
3125;7
3125;8
3125;9
3126;7
3127;0
3127;1
3127;7
3128;0
3128;1
3128;7
3129;0
3129;1
3129;6
3130;0
3130;1
3130;6
3131;0
3131;1
3131;5
3131;6
3131;7
3131;8
3131;9
4227;2
4228;2
4229;2
4230;2
4231;2
4232;2
4233;2
4234;2
4316;0
4316;1
4316;4
4317;0
4317;1
4318;0
4318;1
4322;2
4359;1
4360;1
4364;1
4364;4
4364;5
4364;6
4364;7
4364;8
4364;9
4366;4
4366;5
4366;6
4366;9
4367;4
4367;5
4367;6
4367;9
4369;0
4374;0
4375;2
4376;2
4377;2
4378;2
4379;0
4380;0
4381;0
4381;1
4381;3
4381;4
4381;5
4381;6
4381;7
4381;8
4381;9
4392;1
4393;1
4394;1
4395;1
4396;1
4397;1
4611;0
9141;1
9142;1
9143;1
9201;0
9201;1
9201;9
9202;0
9202;1
9202;9
9203;0
9203;1
9203;9
9204;0
9204;1
9204;3
9204;6
9205;0
9205;1
9205;3
9205;6
9206;0
9206;1
9206;3
9206;6
9207;0
9207;1
9207;3
9207;6
9221;0
9221;2
9411;0
9411;1
9411;4
9421;0
9421;1
9421;4
9422;0
9422;1
9422;4
9423;0
9423;1
9423;4
9429;0
9429;4
9431;1
9432;0
9432;1
9433;0
9433;1
9433;4
9434;0
9434;3
9435;0
9435;1
9435;4
9436;0
9436;1
9436;4
9513;0
9513;1
9566;1
9566;2
9567;1
9568;1
9569;0
9569;6
9570;0
9570;7
1601;1
1602;4
1602;5
1602;6
1602;7
1602;9
1605;2
1606;0
1606;3
1608;0
1608;1
1608;3
1609;1
1610;0
1611;1
1612;1
1613;1
1614;2
1615;2
1616;2
1617;0
1617;1
1618;0
1618;1
1621;0
1622;0
1623;0
1624;0
1625;0
1626;0
1627;0
1627;4
1628;1
1629;0
1629;1
1630;1
1631;0
1631;1
1632;1
1633;1
1634;1
1635;1
1636;1
1637;1
1638;1
1639;1
1640;0
1640;1
1641;0
1641;1
1642;0
1642;1
1643;0
1643;1
1644;0
1644;1
1645;0
1645;1
1646;0
1646;1
1647;1
1648;1
1649;0
1649;1
1650;1
1651;1
1701;0
1702;0
1703;0
1704;0
1705;0
1706;0
1707;0
1708;0
1715;0
1715;1
1716;0
1716;1
1717;0
1717;1
1718;1
1721;0
1721;1
1721;2
1721;3
1721;4
1721;5
1721;6
1721;7
1721;8
1721;9
1722;0
1722;1
1722;2
1722;3
1722;4
1722;5
1722;6
1722;7
1722;8
1722;9
1723;0
1723;1
1723;2
1723;3
1723;4
1723;5
1723;6
1723;7
1723;8
1723;9
1724;0
1724;1
1724;2
1724;3
1724;4
1724;5
1724;6
1724;7
1724;8
1724;9
1725;0
1725;1
1725;2
1725;3
1725;4
1725;5
1725;6
1725;7
1725;8
1725;9
1726;0
1726;1
1726;2
1726;3
1726;4
1726;5
1726;6
1726;7
1726;8
1726;9
1727;0
1727;1
1727;2
1727;3
1727;4
1727;5
1727;6
1727;7
1727;8
1727;9
1728;0
1728;1
1728;2
1728;3
1728;4
1728;5
1728;6
1728;7
1728;8
1728;9
1729;0
1729;1
1729;2
1729;3
1729;4
1729;5
1729;6
1729;7
1729;8
1729;9
1731;0
1731;1
1731;2
1731;3
1731;4
1731;5
1731;6
1731;7
1731;8
1731;9
1732;0
