PRS_NAT;PFS_CAT_COD
1054;0
1054;1
1055;0
1055;1
1078;0
1078;1
1079;0
1079;1
1080;0
1080;1
1081;0
1081;1
1082;0
1082;1
1083;0
1083;1
1084;0
1084;1
1085;1
1086;0
1086;1
1086;5
1157;0
1157;1
1158;0
1158;1
1159;0
1159;1
1159;9
1164;0
1164;1
1164;4
1164;5
1165;0
1165;1
1172;0
1172;1
1172;4
1172;9
1201;0
1201;1
1202;0
1202;1
1318;0
1318;1
1318;4
1400;0
1400;1
1400;4
1401;0
1401;1
1401;4
1402;0
1402;1
1402;4
1403;0
1403;1
1403;4
1404;0
1404;1
1404;4
1405;0
1405;1
1405;4
1406;0
1406;1
1406;4
1407;0
1407;1
1407;4
1408;0
1408;1
1408;4
1409;0
1409;1
1409;4
1410;0
1410;1
1410;4
1412;0
1412;1
1412;4
1413;0
1413;1
1413;4
1414;0
1414;1
1414;4
1415;0
1415;1
1415;4
1416;0
1416;1
1416;4
1417;0
1417;1
1417;4
1418;0
1418;1
1418;4
1419;0
1419;1
1419;4
1420;0
1420;1
1420;4
1761;0
1761;1
1762;0
1762;1
1763;0
1763;1
1764;0
1764;1
1765;0
1765;1
1766;0
1766;1
1767;0
1767;1
1768;0
1768;1
1769;0
1769;1
1771;0
1771;1
1781;0
1781;1
1782;0
1782;1
1783;0
1783;1
1784;0
1784;1
1785;0
1785;1
1786;0
1786;1
1787;0
1787;1
1788;0
1788;1
1789;0
1789;1
1791;0
1791;1
1842;0
1842;1
1842;4
1842;5
1842;6
1842;7
1842;9
1843;0
1843;1
1843;4
1843;7
1844;0
1844;1
1844;4
1844;7
1845;0
1845;1
1845;4
1845;7
1846;0
1846;1
1846;4
1846;7
1847;0
1847;1
1847;4
1848;0
1848;1
1848;4
1848;5
1848;6
1849;0
1849;1
1849;4
1849;5
1849;7
1910;0
1910;1
1929;0
1929;1
1929;2
1929;3
1929;4
1929;5
1929;6
1930;0
1930;1
1930;2
1930;3
1930;4
1930;5
1930;6
1960;0
1960;1
1960;4
1960;5
1960;6
1960;7
1960;8
1960;9
1961;0
1961;1
1961;4
1961;5
1961;6
1961;7
1961;8
1961;9
1981;0
1981;1
1981;5
2101;0
2154;0
2155;0
2156;0
2157;0
2185;0
3106;0
3106;1
3106;4
3106;5
3106;6
3107;0
3107;1
3107;4
3107;5
3107;6
3108;0
3108;1
3108;4
3108;5
3108;6
3109;0
3109;1
3109;4
3109;5
3109;6
3111;0
3111;1
3111;4
3111;5
3111;6
3112;0
3112;1
3112;6
3113;0
3113;1
3113;4
3113;5
3115;0
3115;1
3115;6
3116;0
3116;1
3116;4
3116;5
3116;6
3117;0
3117;1
3117;4
3117;5
3117;6
3120;0
3120;1
3120;4
3120;5
3120;6
3121;0
3121;1
3121;4
3121;5
3122;0
3122;1
3122;4
3122;5
3122;7
3123;0
3123;1
3123;4
3123;5
3125;0
3125;1
3125;4
3127;0
3127;1
3128;0
3128;1
3131;0
3131;1
3132;0
3132;1
3132;4
3132;9
3133;0
3133;1
3133;9
3134;0
3134;1
3135;0
3135;1
3136;0
3136;1
3136;4
3137;0
3137;1
3137;4
3137;9
3138;0
3138;1
3138;4
3138;9
3140;0
3140;1
3140;4
3140;5
3140;6
3141;0
3141;1
3142;0
3142;1
3142;4
3143;0
3143;1
3145;0
3145;1
3145;4
3145;5
3146;0
3146;1
3146;4
3146;5
3147;0
3147;1
3147;4
3147;5
3148;0
3148;1
3148;4
3148;5
3149;0
3149;1
3149;4
3149;5
3151;0
3151;1
3151;4
3151;5
3152;0
3152;1
3152;4
3152;5
3153;0
3153;1
3153;4
3153;5
3154;0
3154;1
3154;4
3154;5
3155;0
3155;1
3155;4
3155;5
3156;0
3156;1
3156;4
3156;5
3157;0
3157;1
3157;4
3157;5
3158;0
3158;1
3158;4
3158;5
3159;0
3159;1
3159;4
3159;5
3160;0
3160;1
3160;4
3160;5
3161;0
3161;1
3161;4
3161;5
3162;0
3162;1
3162;4
3162;5
3163;0
3163;1
3163;4
3163;5
3164;0
3164;1
3164;4
3164;5
3165;0
3165;1
3165;4
3165;5
3211;0
3211;1
3211;3
3211;4
3211;5
3211;6
3221;0
3221;1
3221;4
3221;5
3221;6
3222;0
3222;1
3222;4
3222;5
3222;6
3223;0
3223;1
3223;4
3223;5
3223;6
3225;0
3225;1
3225;4
3225;5
3311;0
3311;1
3311;4
3311;5
3311;6
3312;0
3312;1
3312;4
3312;5
3312;6
3312;8
3313;0
3313;1
3313;2
3313;4
3313;5
3313;6
3313;7
3313;8
3314;0
3314;1
3314;4
3314;5
3314;6
3315;0
3315;1
3315;4
3315;5
3315;6
3316;0
3316;1
3316;4
3316;5
3316;6
3318;0
3318;1
3318;4
3318;5
3319;0
3319;1
3319;4
3319;5
3322;0
3322;1
3322;2
3322;4
3322;5
3322;6
3322;7
3322;8
3323;0
3323;1
3323;4
3323;5
3323;6
3323;7
3323;8
3325;0
3325;1
3325;2
