PRS_NAT_REF;NAT_COE_MAX
1631;1.00
1632;1.00
1633;1.00
1634;1.00
1635;1.00
1636;1.00
1637;1.00
1638;1.00
1639;1.00
1640;1.00
1641;1.00
1642;1.00
1643;1.00
1644;1.00
1645;1.00
1646;1.00
1647;1.00
1648;1.00
1649;1.00
1650;1.00
1651;1.00
1652;1.00
1653;1.00
1814;1.00
1848;1.00
1849;1.00
1901;1.00
1903;1.00
1904;1.00
1905;1.00
1906;1.00
1907;1.00
1908;1.00
1909;1.00
1910;1.00
1911;136.00
1918;1.00
1920;1.00
1921;1.00
1923;1.00
1924;1.00
1925;1.00
1927;1.00
1928;1.00
1929;1.00
1930;1.00
1931;1.00
1932;1.00
1933;1.00
1934;1.00
1935;1.00
1936;1.00
1937;1.00
1938;1.00
1939;1.00
1940;1.00
1941;1.00
1942;1.00
1943;1.00
1944;1.00
1945;1.00
1960;1.00
1961;1.00
1962;1.00
1158;1.00
1159;1.00
1161;1.00
1162;1.00
1163;1.00
1164;1.00
1165;1.00
1166;1.00
1167;1.00
1168;1.00
1169;1.00
1170;1.00
1171;1.00
1172;1.00
1173;1.00
1174;1.00
1175;1.00
1176;1.00
1177;1.00
1178;1.00
1179;1.00
1180;1.00
1181;1.00
1182;1.00
1183;1.00
1184;1.00
1185;1.00
1186;1.00
1187;1.00
1188;1.00
1189;1.00
1190;1.00
1191;2.50
1192;1.00
1193;1.00
1194;1.00
1195;1.00
1196;1.00
1197;1.00
1198;1.00
1199;2.00
1209;1.00
1210;1.00
1211;7.50
1212;2.00
1213;2.50
1214;1.00
1215;1.00
1216;1.00
1221;1.00
1222;6.00
1224;1.00
1226;1.00
1227;1.00
1228;1.00
1311;500.00
1312;500.00
1313;25.00
1316;65.00
1318;40.00
1321;1.00
1331;999.00
1335;999.00
1351;1.00
1352;1.00
1361;1.00
1400;1.00
1401;1.00
1402;1.00
1403;1.00
1404;1.00
1405;1.00
1406;1.00
1407;1.00
1408;1.00
1409;1.00
1410;1.00
1411;999.00
1412;1.00
1413;1.00
1414;1.00
1415;1.00
1416;1.00
1417;1.00
1418;1.00
1419;1.00
1420;1.00
1421;999.00
1422;200.00
1423;999.00
1424;200.00
1425;1.00
1426;1.00
1427;1.00
1431;150.00
1432;999.00
1433;999.00
1437;1.00
1438;1.00
1439;1.00
1451;1.00
1452;1.00
1453;1.00
1462;1.00
1465;1.00
1470;1.00
1471;1.00
1472;1.00
1473;1.00
1474;1.00
1475;1.00
1476;1.00
1477;1.00
1523;1.00
1610;1.00
1617;1.00
1618;1.00
1619;1.00
1621;1.00
1622;1.00
1623;1.00
1624;1.00
1625;1.00
1626;1.00
1627;1.00
1628;1.00
1629;1.00
1630;1.00
1086;151.20
1087;1.00
1088;1.00
1089;1.00
1090;1.00
1091;1.00
1092;1.00
1093;1.00
1094;1.00
1095;1.00
1096;1.00
1097;1.00
1098;1.00
1099;1.00
1100;1.00
1101;1.00
1102;1.00
1103;1.00
1104;1.00
