PRS_NAT;CPL_COD
1054;0
1055;0
1056;0
1057;0
1058;0
1059;0
1060;0
1061;0
1062;0
1063;0
1064;0
1065;0
1066;0
1067;0
1068;0
1069;0
1070;0
1071;0
1072;0
1073;0
1074;0
1075;0
1076;0
1077;0
1078;0
1079;0
1080;0
1081;0
1082;0
1083;0
1084;0
1085;0
1086;0
1086;1
1086;2
1087;0
1088;0
1089;0
1090;0
1091;0
1092;0
1093;0
1094;0
1095;0
1096;0
1096;1
1096;2
1097;0
1098;0
1098;1
1098;2
1099;0
1099;1
1099;2
1100;0
1101;0
1101;1
1101;2
1102;0
1102;1
1102;2
1103;0
1103;1
1103;2
1104;0
1105;0
1105;1
1105;2
1105;3
1106;0
1107;0
1108;0
1109;0
1109;1
1109;2
1110;0
1110;1
1110;2
1111;0
1111;1
1111;2
1112;0
1112;1
1112;2
1113;0
1113;1
1113;2
1114;0
1114;1
1114;2
1115;0
1116;0
1117;0
1117;1
1117;2
1118;0
1118;1
1118;2
1119;0
1120;0
1121;0
1122;0
1123;0
1124;0
1125;0
1126;0
1127;0
1128;0
1129;0
1130;0
1131;0
1132;0
1133;0
1134;0
1135;0
1136;0
1137;0
1138;0
1139;0
1140;0
1141;0
1142;0
1143;0
1144;0
1145;0
1146;0
1147;0
1148;0
1149;0
1150;0
1152;0
1153;0
1154;0
1155;0
1156;0
1157;0
1158;0
1159;0
1160;0
1161;0
1162;0
1163;0
1164;0
1165;0
1166;0
1167;0
1168;0
1169;0
1170;0
1171;0
1172;0
1173;0
1174;0
1175;0
1176;0
1177;0
1178;0
1179;0
1180;0
1181;0
1182;0
1183;0
1184;0
1185;0
1186;0
1187;0
1188;0
1189;0
1190;0
1191;0
1191;1
1191;2
1192;0
1192;1
1192;2
1193;0
1194;0
1195;0
1196;0
1197;0
1198;0
1199;0
1201;0
1202;0
1209;0
1209;1
1209;2
1209;3
1210;0
1210;1
1210;2
1210;3
1211;0
1211;1
1211;2
1211;3
1212;0
1212;1
1212;2
1212;3
1213;0
1213;1
1213;2
1214;0
1215;0
1215;1
1215;2
1215;3
1216;0
1216;1
1216;2
1216;3
1221;0
1222;0
1222;1
1222;2
1224;0
1226;0
1227;0
1228;0
1311;0
1311;1
1311;2
1311;3
1312;0
1312;1
1312;2
1312;3
1313;0
1313;1
1313;2
1316;0
1316;1
1316;2
1318;0
1321;0
1322;0
1323;0
1324;0
1331;0
1331;1
1331;2
1335;0
1335;1
1335;2
1336;0
1351;0
1352;0
1361;0
1400;0
1401;0
1402;0
1403;0
1404;0
1405;0
1406;0
1407;0
1408;0
1409;0
1410;0
1411;0
1411;1
1411;2
1412;0
1413;0
1414;0
1415;0
1416;0
1417;0
1418;0
1419;0
1420;0
1421;0
1422;0
1423;0
1424;0
1425;0
1426;0
1427;0
1431;0
1431;1
1431;2
1432;0
1432;1
1432;2
1433;0
1433;1
1433;2
1434;0
1435;0
1436;0
1437;0
1438;0
1439;0
1451;0
1452;0
1453;0
1462;0
1465;0
1470;0
1471;0
1472;0
1473;0
1474;0
1475;0
1476;0
1477;0
1521;0
1522;0
1523;0
1601;0
1602;0
1605;0
1606;0
1608;0
1609;0
1610;0
1611;0
1612;0
1613;0
1614;0
1615;0
1616;0
1617;0
1618;0
1619;0
1621;0
1622;0
1623;0
1624;0
1625;0
1626;0
1627;0
1628;0
1629;0
1630;0
1631;0
1632;0
1633;0
1634;0
1635;0
1636;0
1637;0
1638;0
1639;0
1640;0
1641;0
1642;0
1643;0
1644;0
1645;0
1646;0
1647;0
1648;0
1649;0
1650;0
1651;0
1652;0
1653;0
1701;0
1702;0
1703;0
1704;0
1705;0
1706;0
1707;0
1708;0
1715;0
1716;0
1717;0
1718;0
1721;0
1722;0
1723;0
1724;0
1725;0
1726;0
1727;0
1728;0
1729;0
1731;0
1732;0
1733;0
1734;0
1735;0
1736;0
1741;0
1742;0
1743;0
1744;0
1745;0
1746;0
1747;0
1748;0
1749;0
1751;0
1761;0
1762;0
1763;0
1764;0
1765;0
1766;0
1767;0
1768;0
1769;0
1771;0
1781;0
1782;0
1783;0
1784;0
1785;0
1786;0
1787;0
1788;0
1789;0
1791;0
1811;0
1812;0
1813;0
1814;0
1821;0
1841;0
1842;0
1843;0
1844;0
1845;0
1846;0
1847;0
1848;0
1848;1
1848;2
1849;0
1901;0
1903;0
1904;0
1905;0
1906;0
1907;0
1908;0
1908;1
1908;2
1909;0
1909;1
1909;2
1910;0
1911;0
1911;1
1911;2
1912;0
1912;1
1912;2
1913;0
1914;0
1915;0
1916;0
1917;0
1918;0
1919;0
1920;0
1921;0
1923;0
1923;1
1923;2
1924;0
1925;0
1927;0
1928;0
1929;0
1929;2
1930;0
1930;2
1931;0
1932;0
1933;0
1934;0
1935;0
1936;0
1937;0
1938;0
1939;0
1940;0
1940;2
1941;0
1942;0
1943;0
1944;0
1945;0
1951;0
1951;1
1951;2
1951;3
1952;0
1952;1
1952;2
1952;3
1954;0
1954;1
1954;2
1954;3
1955;0
1955;1
1955;2
1955;3
1956;0
1956;1
1956;2
1956;3
1957;0
1959;0
1960;0
1961;0
1962;0
1971;0
1971;1
1971;2
1971;3
1972;0
1972;1
1972;2
1972;3
1973;0
1973;1
1973;2
1973;3
1974;0
1974;1
1974;2
1974;3
1975;0
1975;1
1975;2
1975;3
1976;0
1976;1
1976;2
1976;3
1977;0
1977;1
1977;2
1977;3
1978;0
1978;1
1978;2
1978;3
1981;0
1990;0
1991;0
1992;0
1993;0
1994;0
1995;0
1996;0
1997;0
1998;0
1999;0
2100;0
2101;0
2102;0
2103;0
2104;0
2105;0
2106;0
2107;0
2108;0
2109;0
2110;0
2111;0
2112;0
2113;0
2116;0
2117;0
2118;0
2119;0
2120;0
2129;0
2130;0
2131;0
2132;0
2133;0
2134;0
2135;0
2136;0
2137;0
2138;0
2139;0
2140;0
2141;0
2142;0
2143;0
2144;0
2145;0
2146;0
2147;0
2148;0
2149;0
2150;0
2151;0
2152;0
2153;0
2154;0
2155;0
2156;0
2157;0
2158;0
2159;0
2160;0
2161;0
2162;0
2163;0
2164;0
2165;0
2166;0
2167;0
2168;0
2169;0
2170;0
2171;0
2172;0
2173;0
2174;0
2175;0
2176;0
2177;0
2178;0
2179;0
2180;0
2181;0
2182;0
2183;0
2184;0
2185;0
2186;0
2187;0
2188;0
2189;0
2190;0
2191;0
2192;0
2193;0
2194;0
2195;0
2196;0
2197;0
2198;0
2199;0
2201;0
2202;0
2203;0
2204;0
2205;0
2206;0
2207;0
2208;0
2209;0
2210;0
2211;0
2212;0
2213;0
2214;0
2215;0
2216;0
2217;0
2218;0
2219;0
2220;0
2221;0
2222;0
2228;0
2229;0
2230;0
2231;0
2232;0
2233;0
2234;0
2235;0
2236;0
2237;0
2238;0
2239;0
2240;0
2241;0
2241;1
2241;2
2242;0
2242;1
2242;2
2243;0
2243;1
2243;2
2244;0
2245;0
2245;1
2245;2
2246;0
2246;1
2246;2
2247;0
2248;0
2249;0
2250;0
2251;0
2252;0
2253;0
2254;0
2255;0
2256;0
2257;0
2258;0
2259;0
2260;0
2261;0
2262;0
2263;0
2264;0
2265;0
2266;0
2267;0
2268;0
2269;0
2270;0
2271;0
2272;0
2273;0
2274;0
2275;0
2276;0
2277;0
2278;0
2279;0
2280;0
2281;0
2283;0
2284;0
2285;0
2286;0
2287;0
2288;0
2289;0
2290;0
2294;0
2295;0
2297;0
2298;0
2299;0
2300;0
2309;0
2315;0
2321;0
2331;0
2332;0
2333;0
2334;0
2335;0
2336;0
2337;0
2338;0
2339;0
2341;0
2342;0
2343;0
2344;0
2345;0
2346;0
2347;0
2351;0
2352;0
2353;0
2354;0
2355;0
2356;0
2357;0
2358;0
2359;0
2360;0
2361;0
2362;0
2363;0
2364;0
2365;0
2366;0
2367;0
2368;0
2369;0
2371;0
2372;0
2373;0
2380;0
2381;0
2382;0
2383;0
2384;0
2385;0
2386;0
2387;0
2388;0
2389;0
2391;0
2392;0
2411;0
2412;0
2413;0
2414;0
2415;0
2416;0
2417;0
2418;0
2419;0
2420;0
2421;0
2422;0
2423;0
2424;0
2426;0
2428;0
2501;0
2502;0
2503;0
2504;0
3101;0
3102;0
3103;0
3103;1
3103;2
3104;0
3104;1
3104;2
3105;0
3105;1
3105;2
3106;0
3106;1
3106;2
3107;0
3107;1
3107;2
3108;0
3108;1
3108;2
3109;0
3110;0
3111;0
3111;1
3111;2
3112;0
3112;1
3112;2
3113;0
3113;1
3113;2
3115;0
3116;0
3117;0
3118;0
3119;0
3120;0
3120;1
3120;2
3121;0
3121;1
3121;2
3122;0
3122;1
3122;2
3123;0
3123;1
3123;2
3124;0
3125;0
3125;1
3125;2
3126;0
3127;0
3128;0
3129;0
3130;0
3131;0
3131;1
3131;2
3132;0
3133;0
3133;1
3133;2
3134;0
3135;0
3136;0
3137;0
3138;0
3139;0
3140;0
3140;1
3140;2
3141;0
3141;1
3141;2
3142;0
3143;0
3144;0
3145;0
3145;1
3145;2
3146;0
3146;1
3146;2
3147;0
3147;1
3147;2
3148;0
3148;1
3148;2
3149;0
3149;1
3149;2
3150;0
3151;0
3151;1
3151;2
3152;0
3152;1
3152;2
3153;0
3153;1
3153;2
3154;0
3154;1
3154;2
3155;0
3155;1
3155;2
3156;0
3156;1
3156;2
3157;0
3157;1
3157;2
3158;0
3158;1
3158;2
3159;0
3159;1
3159;2
3160;0
3160;1
3160;2
3161;0
3161;1
3161;2
3162;0
3162;1
3162;2
3163;0
3163;1
3163;2
3164;0
3164;1
3164;2
3165;0
3165;1
3165;2
3210;0
3211;0
3211;1
3211;2
3213;0
3216;0
3221;0
3221;1
3221;2
3222;0
3222;1
3222;2
3223;0
3223;1
3223;2
3225;0
3225;1
3225;2
3300;0
3301;0
3302;0
3303;0
3304;0
3305;0
3306;0
3307;0
3308;0
3309;0
3310;0
3311;0
3312;0
3313;0
3314;0
3315;0
3316;0
3317;0
3318;0
3319;0
3320;0
3321;0
3322;0
3323;0
3324;0
3325;0
3326;0
3327;0
3328;0
3329;0
3330;0
3331;0
3331;2
3332;0
3334;0
3335;0
3336;0
3337;0
3338;0
3339;0
3340;0
3341;0
3342;0
3343;0
3344;0
3345;0
3346;0
3347;0
3348;0
3349;0
3350;0
3351;0
3352;0
3353;0
3354;0
3355;0
3356;0
3357;0
3358;0
3359;0
3360;0
3361;0
3362;0
3363;0
3364;0
3365;0
3366;0
3367;0
3368;0
3369;0
3370;0
3371;0
3372;0
3373;0
3375;0
3376;0
3377;0
3378;0
3379;0
3380;0
3381;0
3382;0
3383;0
3384;0
3385;0
3386;0
3387;0
3388;0
3389;0
3390;0
3391;0
3392;0
3393;0
3394;0
3395;0
3396;0
3397;0
3398;0
3399;0
3400;0
3401;0
3402;0
3403;0
3404;0
3405;0
3406;0
3407;0
3408;0
3410;0
3411;0
3412;0
3413;0
3414;0
3415;0
3416;0
3418;0
3419;0
3500;0
3501;0
3502;0
3503;0
3504;0
3505;0
3506;0
3507;0
3508;0
3509;0
3510;0
3511;0
3512;0
3513;0
3514;0
3515;0
3516;0
3517;0
3518;0
3519;0
3520;0
3521;0
3522;0
3523;0
3524;0
3525;0
3526;0
3527;0
3528;0
3529;0
3530;0
3531;0
3532;0
3533;0
3534;0
3535;0
3536;0
3537;0
3538;0
3539;0
3540;0
3541;0
3542;0
3543;0
3544;0
3545;0
3547;0
3548;0
3549;0
3550;0
3551;0
3552;0
3553;0
3554;0
3555;0
3556;0
3557;0
3558;0
3559;0
3560;0
3561;0
3562;0
3563;0
3564;0
3565;0
3566;0
3567;0
3568;0
3569;0
3570;0
3572;0
3573;0
3574;0
3575;0
3576;0
3578;0
3579;0
3580;0
3581;0
3582;0
3583;0
3584;0
3585;0
3586;0
3587;0
3588;0
3589;0
3590;0
3591;0
3592;0
3593;0
3594;0
3595;0
3596;0
3597;0
3610;0
3611;0
3612;0
4111;0
4112;0
4113;0
4114;0
4131;0
4132;0
4141;0
4142;0
4143;0
4144;0
4145;0
4151;0
4152;0
4153;0
4154;0
4155;0
4156;0
4157;0
4158;0
4203;0
4204;0
4205;0
4206;0
4207;0
4208;0
4209;0
4210;0
4211;0
4212;0
4213;0
4214;0
4215;0
4216;0
4217;0
4218;0
4219;0
4220;0
4221;0
4222;0
4224;0
4225;0
4226;0
4227;0
4228;0
4229;0
4230;0
4231;0
4232;0
4233;0
4234;0
4315;0
4316;0
4317;0
4318;0
4319;0
4320;0
4321;0
4322;0
4323;0
4324;0
4325;0
4326;0
4327;0
4328;0
4329;0
4330;0
4331;0
4332;0
4339;0
4341;0
4342;0
4343;0
4351;0
4352;0
4353;0
4359;0
4360;0
4361;0
4363;0
4364;0
4365;0
4366;0
4367;0
4368;0
4369;0
4370;0
4371;0
4372;0
4373;0
4374;0
4375;0
4376;0
4377;0
4378;0
4379;0
4380;0
4381;0
4382;0
4392;0
4393;0
4394;0
4395;0
4396;0
4397;0
4411;0
4412;0
4413;0
4414;0
4415;0
4416;0
4417;0
4419;0
4501;0
4511;0
4512;0
4513;0
4514;0
4515;0
4611;0
4612;0
5101;0
5102;0
5103;0
5104;0
5105;0
5106;0
5107;0
5108;0
5109;0
5110;0
5111;0
5112;0
5113;0
5114;0
5115;0
5116;0
5117;0
5118;0
5119;0
5120;0
5121;0
5122;0
5123;0
5124;0
5125;0
5126;0
5127;0
5128;0
5129;0
5130;0
5201;0
5202;0
5203;0
5204;0
5205;0
5206;0
5401;0
5402;0
5403;0
6011;0
6012;0
6013;0
6014;0
6111;0
6112;0
6113;0
6114;0
6115;0
6116;0
6117;0
6118;0
6120;0
6121;0
6122;0
6123;0
6124;0
6125;0
6126;0
6127;0
6128;0
6129;0
6131;0
6132;0
6133;0
6134;0
6135;0
6191;0
6208;0
6209;0
6210;0
6211;0
6212;0
6213;0
6214;0
6215;0
6221;0
6222;0
6231;0
6232;0
6233;0
6234;0
6235;0
6236;0
6237;0
6238;0
6239;0
