DDP_COD;PRS_NAT
0;3320
35;2351
35;2352
35;2391
35;2392
38;2285
38;2351
38;2352
39;2285
43;2285
76;2285
102;2285
103;2285
104;2285
105;2285
106;2285
107;2285
108;2285
109;2285
110;2285
111;2285
112;2285
113;2285
114;2285
115;2285
116;2285
117;2285
118;2285
119;2285
120;2285
121;2285
122;2285
123;2285
124;2285
125;2285
126;2285
127;2285
129;2285
130;2285
131;2285
132;2285
133;2285
134;2285
135;2285
136;2285
136;2351
136;2352
137;2285
138;2285
139;2285
140;2285
141;2285
142;2285
143;2285
144;2285
145;2285
146;2285
147;2285
148;2285
149;2285
150;2285
151;2285
152;2285
153;2285
154;2285
155;2285
156;2285
157;2285
158;2285
159;2285
160;2285
161;2285
162;2285
163;2229
163;2285
164;2285
165;2229
165;2285
166;2103
166;2104
166;2105
166;2285
167;2103
167;2104
167;2105
167;2285
168;2103
168;2104
168;2105
168;2285
169;2103
169;2104
169;2105
169;2285
170;2103
170;2104
170;2105
170;2285
171;2103
171;2104
171;2105
171;2285
172;2103
172;2104
172;2105
172;2285
172;2332
173;2103
173;2104
173;2105
173;4141
173;4142
173;4143
173;4144
173;4151
173;4152
173;4153
173;4154
174;2165
174;2285
176;2321
178;2103
178;2104
178;2105
178;2285
178;2332
179;2103
179;2104
179;2105
179;2285
179;2332
180;2103
180;2104
180;2105
180;2285
180;2332
181;2285
182;2103
182;2104
182;2105
182;2285
182;2332
183;2285
184;2103
184;2104
184;2105
184;2285
184;2332
185;2103
185;2104
185;2105
185;2285
187;2103
187;2104
187;2105
187;2285
187;2332
189;2103
189;2104
189;2105
189;4141
189;4142
189;4143
189;4144
189;4151
189;4152
189;4153
189;4154
189;4156
193;2103
193;2104
193;2105
193;4141
193;4142
193;4143
193;4144
193;4151
193;4152
193;4153
193;4154
193;4156
194;2103
194;2104
194;2105
194;4141
194;4142
194;4143
194;4144
194;4151
194;4152
194;4153
194;4154
194;4156
195;2103
195;2104
195;2105
195;2285
196;2103
196;2104
196;2105
196;2285
198;2285
206;2103
206;2104
206;2105
206;2285
212;2371
212;2372
212;2373
214;2103
214;2104
214;2105
217;2103
217;2104
217;2105
217;2285
219;2103
219;2104
219;2105
220;2103
220;2104
220;2105
220;2285
221;2103
221;2104
221;2105
222;2103
222;2104
222;2105
223;2165
223;2285
224;2103
224;2104
224;2105
224;2285
225;2285
226;2103
226;2104
226;2105
226;2285
227;2103
227;2104
227;2105
230;2103
230;2104
230;2105
230;2247
230;2285
230;2380
230;2381
230;2382
230;2383
230;2384
230;2385
230;2386
230;2387
230;2388
230;2389
235;2285
236;2103
236;2104
236;2105
236;2247
236;2285
236;2380
236;2381
236;2382
236;2383
236;2384
236;2385
236;2386
236;2387
236;2388
236;2389
252;2103
252;2104
252;2105
263;2103
263;2104
263;2105
302;2285
302;2341
303;2285
304;2232
304;2257
304;2285
305;2232
305;2257
305;2285
306;2232
306;2257
306;2285
307;2285
308;2285
309;2419
309;2420
309;2421
309;2422
309;2424
311;2232
311;2257
311;2285
312;2285
313;2103
313;2104
313;2105
313;2247
314;2232
314;2257
314;2285
316;2232
316;2257
316;2285
338;2333
339;2333
399;2332
401;1078
401;1079
401;1080
401;1081
401;1082
401;1083
401;1084
401;2207
401;2208
401;2209
401;2210
401;2216
401;2217
401;2218
401;2219
401;2220
401;2228
401;2233
401;2238
401;2239
401;2277
401;2278
401;2281
401;2285
401;2286
401;2287
401;2294
401;2297
401;2298
402;1078
402;1079
402;1080
402;1081
402;1082
402;1083
402;1084
402;2207
402;2208
402;2209
402;2210
402;2216
402;2217
402;2218
402;2219
402;2220
402;2228
402;2233
402;2238
402;2239
402;2277
402;2278
402;2281
402;2285
402;2286
402;2287
402;2294
402;2297
402;2298
403;1078
403;1079
403;1080
403;1081
403;1082
403;1083
403;1084
403;2207
403;2208
403;2209
403;2210
403;2216
403;2217
403;2218
403;2219
403;2220
403;2228
403;2233
403;2238
403;2239
403;2277
403;2278
403;2281
403;2285
403;2286
403;2287
403;2294
403;2297
403;2298
404;1078
404;1079
404;1080
404;1081
404;1082
404;1083
404;1084
404;2207
404;2208
404;2209
404;2210
404;2216
404;2217
404;2218
