PRS_NAT;DPN_QLF
1054;0
1054;30
1054;35
1055;0
1055;30
1055;35
1056;0
1056;20
1056;30
1056;35
1057;0
1057;20
1057;30
1057;35
1058;0
1058;12
1058;30
1058;35
1059;0
1059;12
1059;30
1059;35
1060;0
1060;30
1060;35
1061;0
1061;30
1061;35
1065;0
1065;35
1066;0
1066;35
1067;0
1067;30
1067;35
1068;0
1068;30
1068;35
1069;0
1069;30
1069;35
1070;0
1070;30
1070;35
1071;0
1071;30
1071;35
1072;0
1072;30
1072;35
1073;0
1073;30
1073;35
1074;0
1074;30
1074;35
1075;0
1075;30
1075;35
1077;0
1077;30
1077;35
1078;0
1078;30
1078;35
1079;0
1079;30
1079;35
1080;0
1080;30
1080;35
1081;0
1081;30
1081;35
1082;0
1082;30
1082;35
1083;0
1083;30
1083;35
1084;0
1084;30
1084;35
1085;20
1085;30
1086;0
1086;12
1086;20
1086;30
1086;35
1089;0
1089;12
1089;35
1090;0
1090;12
1090;30
1090;35
1091;0
1091;12
1091;30
1091;35
1092;0
1092;12
1092;30
1092;35
1093;0
1093;12
1093;30
1093;35
1094;0
1094;12
1094;30
1094;35
1094;61
1094;62
1095;0
1095;20
1095;30
1095;35
1095;40
1096;0
1096;12
1096;20
1096;30
1096;35
1096;61
1096;71
1097;0
1097;12
1097;20
1097;30
1097;35
1097;61
1097;71
1098;0
1098;12
1098;20
1098;30
1098;35
1098;61
1099;0
1099;12
1099;20
1099;30
1099;35
1099;61
1100;0
1100;20
1100;30
1100;35
1100;71
1101;0
1101;12
1101;14
1101;20
1101;30
1101;40
1101;61
1101;66
1101;71
1102;0
1102;12
1102;14
1102;20
1102;30
1102;40
1102;61
1102;66
1102;71
1103;0
1103;12
1103;14
1103;20
1103;30
1103;40
1103;61
1103;66
1103;71
1104;0
1104;12
1104;20
1104;30
1104;61
1104;62
1104;66
1104;71
1105;0
1105;12
1105;20
1105;30
1105;35
1105;61
1105;71
1106;0
1106;20
1106;30
1106;35
1107;0
1107;12
1107;20
1107;30
1107;35
1107;61
1107;62
1107;66
1107;71
1108;0
1108;20
1108;30
1108;35
1109;0
1109;12
