PRS_NAT;TRS_PRS_IDE
4206;11
4206;12
4206;13
4206;14
4206;15
4206;16
4206;17
4206;18
4206;19
4206;21
4206;22
4206;23
4206;24
4206;25
4206;26
4206;41
4206;42
4206;43
4206;47
4206;48
4206;49
4206;51
4206;52
4206;53
4206;54
4206;55
4206;56
4206;57
4206;58
4206;59
4206;60
4206;61
4212;11
4212;12
4212;13
4212;14
4212;15
4212;16
4212;17
4212;18
4212;19
4212;21
4212;22
4212;23
4212;24
4212;25
4212;26
4212;41
4212;42
4212;43
4212;47
4212;48
4212;49
4212;51
4212;52
4212;53
4212;54
4212;55
4212;56
4212;57
4212;58
4212;59
4212;60
4212;61
4213;11
4213;12
4213;13
4213;14
4213;15
4213;16
4213;17
4213;18
4213;19
4213;21
4213;22
4213;23
4213;24
4213;25
4213;26
4213;41
4213;51
4213;61
4213;62
4213;63
4213;64
4213;65
4213;66
4213;67
4213;68
4213;69
4213;70
4213;71
4213;72
4213;73
4213;74
4213;75
4213;76
4213;77
4213;78
4213;79
4213;80
4213;81
4213;82
4213;83
4213;84
4213;85
4213;86
4213;87
4213;88
4213;89
4213;90
4213;91
4213;92
4213;93
4213;94
4213;95
4213;96
4213;97
4213;98
4221;11
4221;12
4221;13
4221;14
4221;15
4221;16
4221;17
4221;18
4221;19
4221;21
4221;22
4221;23
4221;24
4221;25
4221;26
4221;41
4221;42
4221;43
4221;47
4221;48
4221;49
4221;51
4221;52
4221;53
4221;54
4221;55
4221;56
4221;57
4221;58
4221;59
4221;60
4221;61
4232;11
4232;12
4232;13
4232;14
4232;15
4232;16
4232;17
4232;18
4232;19
4232;21
4232;22
4232;23
4232;24
4232;25
4232;26
4232;41
4232;42
4232;43
4232;47
4232;48
4232;49
4232;51
4232;52
4232;53
4232;54
4232;55
4232;56
4232;57
4232;58
4232;59
4232;60
4232;61
4233;11
4233;12
4233;13
4233;14
4233;15
4233;16
4233;17
4233;18
4233;19
4233;21
4233;22
4233;23
4233;24
4233;25
4233;26
4233;41
4233;42
4233;43
4233;47
4233;48
4233;49
4233;51
4233;52
4233;53
4233;54
4233;55
4233;56
4233;57
4233;58
4233;59
4233;60
4233;61
