TRS_PRS_IDE;PRS_NAT_REF;TRS_PRS_KLM
11;4212;21
11;4212;22
11;4212;23
11;4212;24
11;4212;25
11;4212;26
11;4213;21
11;4213;22
11;4213;23
11;4213;24
11;4213;25
11;4213;26
11;4221;21
11;4221;22
11;4221;23
11;4221;24
11;4221;25
11;4221;26
12;4212;21
12;4212;22
12;4212;23
12;4212;24
12;4212;25
12;4212;26
12;4213;21
12;4213;22
12;4213;23
12;4213;24
12;4213;25
12;4213;26
12;4221;21
12;4221;22
12;4221;23
12;4221;24
12;4221;25
12;4221;26
13;4212;21
13;4212;22
13;4212;23
13;4212;24
13;4212;25
13;4212;26
13;4213;21
13;4213;22
13;4213;23
13;4213;24
13;4213;25
13;4213;26
13;4221;21
13;4221;22
13;4221;23
13;4221;24
13;4221;25
13;4221;26
14;4212;21
14;4212;22
14;4212;23
14;4212;24
14;4212;25
14;4212;26
14;4213;21
14;4213;22
14;4213;23
14;4213;24
14;4213;25
14;4213;26
14;4221;21
14;4221;22
14;4221;23
14;4221;24
14;4221;25
14;4221;26
15;4212;21
15;4212;22
15;4212;23
15;4212;24
15;4212;25
15;4212;26
15;4213;21
15;4213;22
15;4213;23
15;4213;24
15;4213;25
15;4213;26
15;4221;21
15;4221;22
15;4221;23
15;4221;24
15;4221;25
15;4221;26
16;4212;21
16;4212;22
16;4212;23
16;4212;24
16;4212;25
16;4212;26
16;4213;21
16;4213;22
16;4213;23
16;4213;24
16;4213;25
16;4213;26
16;4221;21
16;4221;22
16;4221;23
16;4221;24
16;4221;25
16;4221;26
17;4212;21
17;4212;22
17;4212;23
17;4212;24
17;4212;25
17;4212;26
17;4213;21
17;4213;22
17;4213;23
17;4213;24
17;4213;25
17;4213;26
17;4221;21
17;4221;22
17;4221;23
17;4221;24
17;4221;25
17;4221;26
18;4212;21
18;4212;22
18;4212;23
18;4212;24
18;4212;25
18;4212;26
18;4213;21
18;4213;22
18;4213;23
18;4213;24
18;4213;25
18;4213;26
18;4221;21
18;4221;22
18;4221;23
18;4221;24
18;4221;25
18;4221;26
19;4212;21
19;4212;22
19;4212;23
19;4212;24
19;4212;25
19;4212;26
19;4213;21
19;4213;22
19;4213;23
19;4213;24
19;4213;25
19;4213;26
19;4221;21
19;4221;22
19;4221;23
19;4221;24
19;4221;25
19;4221;26
