MDT_COD;PRS_NAT
3;2103
3;2116
3;2117
3;2118
3;2130
3;2154
3;2160
3;2161
3;2162
3;2169
3;2179
3;2181
3;2182
3;2183
3;2184
3;2185
3;2186
3;2187
3;2188
3;2189
3;2190
3;2191
3;2192
3;2193
3;2194
3;2197
3;2198
3;2211
3;2212
3;2213
3;2221
3;2222
3;2229
3;2230
3;2231
3;2232
3;2234
3;2235
3;2236
3;2237
3;2241
3;2242
3;2243
3;2245
3;2246
3;2247
3;2249
3;2251
3;2254
3;2255
3;2260
3;2263
3;2264
3;2265
3;2269
3;2270
3;2290
3;2295
3;2321
3;2337
3;2351
3;2352
3;2353
3;2354
3;2391
3;2392
3;2412
3;2413
3;2422
3;2424
3;2501
3;2502
3;2503
3;2504
3;3320
3;3377
3;3412
4;2100
4;2155
4;2156
4;2157
4;2158
4;2164
4;2165
4;2166
4;2167
4;2168
4;2211
4;2212
4;2213
4;2221
4;2230
4;2231
4;2234
4;2237
4;2241
4;2242
4;2243
4;2247
4;2290
4;2337
4;2380
4;2381
4;2382
4;2383
4;2384
4;2385
4;2386
4;2387
4;2388
4;2412
4;2413
4;2415
4;2416
4;2417
4;2419
4;2420
4;2421
4;2422
4;3320
5;2211
5;2212
5;2213
5;2221
5;2230
5;2234
5;2237
5;2290
5;2337
5;2389
6;2106
6;2107
6;2133
6;2136
6;2137
6;2138
6;2143
6;2144
6;2145
6;2146
6;2211
6;2213
6;2230
6;2231
6;2234
6;2237
6;2337
6;3320
7;2241
7;2242
7;2243
7;2337
7;2338
7;3330
10;2207
10;2208
10;2209
10;2210
10;2216
10;2217
10;2218
10;2219
10;2220
10;2228
10;2233
10;2238
10;2239
10;2241
10;2242
10;2243
10;2277
10;2278
11;2211
11;2212
11;2213
11;2221
11;2230
11;2231
11;2234
11;2237
11;2251
11;2290
11;2371
11;2372
11;2373
12;2211
12;2213
12;2230
12;2234
12;2237
13;2211
13;2213
13;2230
13;2231
13;2234
13;2237
13;2333
14;2211
14;2213
14;2230
14;2231
14;2234
14;2237
14;2258
14;2333
14;2337
15;2211
15;2213
15;2230
15;2231
15;2234
15;2237
15;2251
15;2290
15;2337
16;2211
16;2213
16;2230
16;2234
16;2237
16;2337
17;2211
17;2213
17;2230
17;2234
17;2237
17;2251
17;2290
19;2100
19;2106
19;2107
19;2129
19;2131
19;2132
19;2134
19;2135
19;2139
19;2140
19;2142
19;2143
19;2144
19;2147
19;2155
19;2156
19;2157
19;2158
19;2164
19;2165
19;2166
19;2167
19;2168
19;2211
19;2212
19;2230
19;2231
19;2237
19;2337
19;2338
19;2341
19;2351
19;2352
19;2353
19;2354
19;2391
19;2392
19;3320
19;3412
20;2211
20;2213
20;2230
20;2234
20;2237
20;2251
20;2290
20;3320
21;2211
21;2213
21;2221
21;2230
21;2231
21;2234
21;2237
21;2241
21;2242
21;2243
21;2337
21;2371
21;2372
21;2373
21;2415
21;2416
21;2422
22;2211
22;2212
22;2213
22;2230
22;2237
22;2241
22;2242
22;2243
22;2271
22;2272
22;2273
22;2274
22;2275
22;2351
22;2352
22;2353
22;2354
22;2391
22;2392
22;2419
22;2421
22;3320
22;3412
23;2211
23;2212
23;2213
23;2230
23;2237
23;2241
23;2242
23;2243
23;2261
23;2262
23;3412
24;2211
24;2213
24;2230
24;2237
24;2251
24;2290
24;2337
35;4141
35;4142
35;4143
35;4144
35;4145
35;4151
35;4152
35;4153
35;4154
35;4155
35;4156
35;4157
35;4158
37;2211
37;2212
37;2213
37;2230
37;2237
37;2251
37;2290
38;2211
38;2212
38;2213
38;2221
38;2222
38;2230
38;2231
38;2234
38;2237
38;2247
38;2251
38;2290
38;2337
39;2211
39;2212
39;2213
39;2221
39;2222
39;2230
39;2231
39;2234
39;2237
39;2247
39;2251
39;2290
39;2337
