PPU_SEC;PRS_NAT
1;1054
1;1055
1;1056
1;1057
1;1058
1;1059
1;1060
1;1061
1;1062
1;1063
1;1064
1;1065
1;1066
1;1067
1;1068
1;1069
1;1070
1;1071
1;1072
1;1073
1;1074
1;1075
1;1077
1;1078
1;1079
1;1080
1;1081
1;1082
1;1083
1;1084
1;1085
1;1086
1;1087
1;1088
1;1089
1;1090
1;1091
1;1092
1;1093
1;1094
1;1095
1;1096
1;1097
1;1100
1;1101
1;1102
1;1103
1;1104
1;1105
1;1106
1;1107
1;1108
1;1109
1;1110
1;1111
1;1112
1;1113
1;1114
1;1115
1;1116
1;1117
1;1118
1;1120
1;1122
1;1123
1;1124
1;1125
1;1126
1;1127
1;1128
1;1129
1;1130
1;1131
1;1132
1;1133
1;1134
1;1135
1;1136
1;1137
1;1138
1;1139
1;1140
1;1141
1;1144
1;1145
1;1146
1;1147
1;1148
1;1149
1;1150
1;1157
1;1158
1;1159
1;1160
1;1161
1;1163
1;1164
1;1165
1;1166
1;1167
1;1168
1;1169
1;1171
1;1172
1;1173
1;1174
1;1176
1;1177
1;1178
1;1179
1;1180
1;1181
1;1184
1;1185
1;1186
1;1187
1;1188
1;1189
1;1190
1;1191
1;1192
1;1193
1;1194
1;1195
1;1196
1;1197
1;1198
1;1199
1;1201
1;1202
1;1209
1;1210
1;1211
1;1212
1;1213
1;1214
1;1215
1;1216
1;1221
1;1222
1;1224
1;1226
1;1227
1;1228
1;1311
1;1312
1;1313
1;1316
1;1318
1;1321
1;1322
1;1323
1;1324
1;1331
1;1335
1;1336
1;1351
1;1352
1;1361
1;1400
1;1401
1;1402
1;1403
1;1404
1;1405
1;1406
1;1407
1;1408
1;1409
1;1410
1;1411
1;1412
1;1413
1;1414
1;1415
1;1416
1;1417
1;1418
1;1419
1;1420
1;1421
1;1422
1;1423
1;1424
1;1425
1;1431
1;1432
1;1433
1;1434
1;1435
1;1436
1;1437
1;1438
1;1439
1;1451
1;1452
1;1453
1;1462
1;1465
1;1470
1;1471
1;1472
1;1473
1;1474
1;1475
1;1476
1;1477
1;1523
1;1602
1;1606
1;1608
1;1610
1;1617
1;1618
1;1621
1;1622
1;1623
1;1624
1;1625
1;1626
1;1640
1;1641
1;1642
1;1643
1;1644
1;1645
1;1646
1;1647
1;1648
1;1649
1;1650
1;1651
1;1652
1;1653
1;1701
1;1702
1;1703
1;1704
1;1705
1;1706
1;1707
1;1708
1;1715
1;1716
1;1717
1;1721
1;1722
1;1723
1;1724
1;1725
1;1726
1;1727
1;1728
1;1729
1;1731
1;1732
1;1733
1;1734
1;1735
1;1736
1;1741
1;1742
1;1743
1;1744
1;1745
1;1746
1;1747
1;1748
1;1749
1;1751
1;1761
1;1762
1;1763
1;1764
1;1765
1;1766
1;1767
1;1768
1;1769
1;1771
1;1781
1;1782
1;1783
1;1784
1;1785
1;1786
1;1787
1;1788
1;1789
1;1791
1;1811
1;1812
1;1813
1;1814
1;1821
1;1841
1;1842
1;1843
1;1844
1;1845
1;1846
1;1847
1;1848
1;1849
1;1901
1;1903
1;1904
1;1905
1;1906
1;1907
1;1908
1;1909
1;1911
1;1912
1;1913
1;1914
1;1915
1;1918
1;1919
1;1921
1;1923
1;1924
1;1925
1;1927
1;1928
1;1929
1;1930
1;1931
1;1932
1;1933
1;1934
1;1935
1;1936
1;1937
1;1938
1;1939
1;1940
1;1941
1;1942
1;1943
1;1944
1;1945
1;1951
1;1952
1;1954
1;1955
1;1956
1;1957
1;1959
1;1960
1;1961
1;1962
1;1971
1;1972
1;1973
1;1974
1;1975
1;1976
1;1977
1;1978
1;1981
1;1990
1;1991
1;1992
1;1993
1;1994
1;1995
1;1996
1;1997
1;1998
1;1999
1;3545
1;3547
1;3549
1;3550
1;3551
1;3552
1;3553
1;3554
1;3555
1;3556
1;3557
1;3558
1;3559
1;3560
1;3561
1;3562
1;3563
1;3564
1;3565
1;3566
1;3567
1;3568
1;3569
1;3570
1;3572
1;3573
1;3575
1;3576
1;3578
1;3579
1;3580
1;3581
1;3582
1;3583
1;3584
1;3585
1;3586
1;3587
1;3588
1;3589
1;3590
1;3591
1;3593
1;3595
1;3596
1;3597
1;3610
1;3611
1;3612
1;4111
1;4112
1;4113
1;4114
1;4131
1;4132
1;4141
1;4142
1;4143
1;4144
1;4145
1;4151
1;4152
1;4153
1;4154
1;4155
1;4156
1;4157
1;4158
1;4203
1;4206
1;4209
1;4211
1;4212
