PRS_NAT_REF;NAT_QTE_MAX
1626;1.00
1627;1.00
1628;1.00
1629;1.00
1630;1.00
1631;1.00
1632;1.00
1633;1.00
1634;1.00
1635;1.00
1636;1.00
1637;1.00
1638;1.00
1639;1.00
1640;1.00
1641;1.00
1642;1.00
1643;1.00
1644;1.00
1645;1.00
1646;1.00
1647;1.00
1648;1.00
1649;1.00
1650;1.00
1651;1.00
1652;1.00
1653;1.00
1701;1.00
1702;1.00
1703;1.00
1704;1.00
1705;1.00
1706;1.00
1707;1.00
1708;1.00
1718;1.00
1811;999.00
1812;999.00
1813;999.00
1814;99.00
1821;9.00
1841;29.00
1842;99.00
1843;99.00
1844;99.00
1845;99.00
1846;99.00
1847;99.00
1848;1.00
1849;1.00
1901;1.00
1903;1.00
1904;1.00
1905;1.00
1906;1.00
1907;1.00
1908;1.00
1909;1.00
1910;1.00
1911;29.00
1912;99.00
1915;31.00
1916;31.00
1086;99.00
1087;1.00
1088;1.00
1089;1.00
1090;1.00
1091;1.00
1092;1.00
1093;1.00
1094;1.00
1095;1.00
1096;1.00
1097;1.00
1098;1.00
1099;1.00
1100;1.00
1101;1.00
1102;1.00
1103;1.00
1104;1.00
1105;1.00
1106;1.00
1107;1.00
1108;1.00
1109;1.00
1110;1.00
1111;9.00
1112;9.00
1113;9.00
1114;9.00
1115;1.00
1116;9.00
1117;9.00
1118;9.00
1119;9.00
1120;1.00
1121;99.00
1124;1.00
1125;1.00
1126;1.00
1127;1.00
1128;1.00
1129;1.00
1130;1.00
1131;1.00
1132;1.00
1133;1.00
1134;1.00
1135;1.00
1136;1.00
1137;1.00
1138;1.00
1139;1.00
1140;1.00
1141;1.00
1142;1.00
1143;1.00
1144;1.00
1145;1.00
1146;1.00
1147;1.00
1148;1.00
1149;1.00
1150;1.00
1152;1.00
1153;1.00
1154;1.00
1155;1.00
1156;1.00
1157;1.00
1158;1.00
1159;1.00
1160;1.00
1161;1.00
1162;1.00
1163;1.00
1164;1.00
1165;1.00
1166;1.00
1167;1.00
1168;1.00
1169;1.00
1170;1.00
1171;1.00
1172;1.00
1173;1.00
1174;1.00
1175;1.00
1176;1.00
1177;1.00
1178;1.00
1179;1.00
1180;1.00
1181;1.00
1182;1.00
1183;1.00
1184;1.00
1185;1.00
1186;1.00
1187;1.00
1188;1.00
1189;1.00
1190;1.00
1191;1.00
1192;1.00
1193;1.00
1194;1.00
1195;1.00
1196;1.00
1197;1.00
1198;1.00
1199;1.00
1209;1.00
1210;1.00
1211;9.00
1212;9.00
1213;9.00
1214;1.00
1215;1.00
1216;1.00
1221;1.00
1224;9.00
1226;9.00
1227;9.00
1228;9.00
1311;29.00
1312;29.00
1313;1.00
1316;29.00
1318;30.00
1331;29.00
1335;999.00
1336;999.00
1361;1.00
1400;1.00
1401;1.00
1402;1.00
1403;1.00
1404;1.00
1405;1.00
1406;1.00
1407;1.00
1408;1.00
