PRS_NAT;SAN_CEN_COD
2111;124
2111;125
2111;130
2111;132
2111;142
2111;223
2111;224
2111;228
2111;230
2111;268
2111;269
2111;289
2111;297
2111;347
2111;439
2112;124
2112;125
2112;130
2112;132
2112;142
2112;223
2112;224
2112;228
2112;230
2112;268
2112;269
2112;289
2112;297
2112;347
2112;439
2121;124
2121;125
2121;130
2121;132
2121;142
2121;223
2121;224
2121;228
2121;230
2121;268
2121;269
2121;289
2121;297
2121;347
2121;439
2122;124
2122;125
2122;130
2122;132
2122;142
2122;223
2122;224
2122;228
2122;230
2122;268
2122;269
2122;289
2122;297
2122;347
2122;439
2123;124
2123;125
2123;130
2123;132
2123;142
2123;223
2123;224
2123;228
2123;230
2123;268
2123;269
2123;289
2123;297
2123;347
2123;439
2124;124
2124;125
2124;130
2124;132
2124;142
2124;223
2124;224
2124;228
2124;230
2124;268
2124;269
2124;289
2124;297
2124;347
2124;439
2125;124
2125;125
2125;130
2125;132
2125;142
2125;223
2125;224
2125;228
2125;230
2125;268
2125;269
2125;289
2125;297
2125;347
2125;439
2126;124
2126;125
2126;130
2126;132
2126;142
2126;223
2126;224
2126;228
2126;230
2126;268
2126;269
2126;289
2126;297
2126;347
2126;439
2127;124
2127;125
2127;130
2127;132
2127;142
2127;223
2127;224
2127;228
2127;230
2127;268
2127;269
2127;289
2127;297
2127;347
2127;439
2128;124
2128;125
2128;130
2128;132
2128;142
2128;223
2128;224
2128;228
2128;230
2128;268
2128;269
2128;289
2128;297
2128;347
2128;439
2129;124
2129;125
2129;130
2129;132
2129;142
2129;223
2129;224
2129;228
2129;230
2129;268
2129;269
2129;289
2129;297
2129;347
2129;439
2131;124
2131;125
2131;130
2131;132
2131;142
2131;223
2131;224
2131;228
2131;230
2131;268
2131;269
2131;289
2131;297
2131;347
2131;439
2132;124
2132;125
2132;130
2132;132
2132;142
2132;223
2132;224
2132;228
2132;230
2132;268
2132;269
2132;289
2132;297
2132;347
2132;439
2141;124
2141;125
2141;130
2141;132
2141;142
2141;223
2141;224
2141;228
2141;230
2141;268
2141;269
2141;289
2141;297
2141;347
2141;439
2211;124
2211;125
2211;130
2211;132
2211;142
2211;223
2211;224
2211;228
2211;230
2211;268
2211;269
2211;289
2211;297
2211;347
2211;439
2212;124
2212;125
2212;130
2212;132
2212;142
2212;223
2212;224
2212;228
2212;230
2212;268
2212;269
2212;289
2212;297
2212;347
2212;439
2221;124
2221;125
2221;130
2221;132
2221;142
2221;223
2221;224
2221;228
2221;230
2221;268
2221;269
2221;289
2221;297
2221;347
2221;439
2222;124
2222;125
2222;130
2222;132
2222;142
2222;223
2222;224
2222;228
2222;230
2222;268
2222;269
2222;289
2222;297
2222;347
2222;439
2231;124
2231;125
2231;130
2231;132
2231;142
2231;223
2231;224
2231;228
2231;230
2231;268
2231;269
2231;289
2231;297
2231;347
2231;439
2232;124
2232;125
2232;130
2232;132
2232;142
2232;223
2232;224
2232;228
2232;230
2232;268
2232;269
2232;289
2232;297
2232;347
2232;439
2234;124
2234;125
2234;130
2234;132
2234;142
2234;223
2234;224
2234;228
2234;230
2234;268
2234;269
2234;289
2234;297
2234;347
2234;439
2235;124
2235;125
2235;130
2235;132
2235;142
2235;223
2235;224
2235;228
2235;230
2235;268
2235;269
2235;289
2235;297
2235;347
2235;439
2236;124
2236;125
2236;130
2236;132
2236;142
2236;223
2236;224
2236;228
2236;230
2236;268
2236;269
2236;289
2236;297
2236;347
2236;439
2237;124
2237;125
2237;130
2237;132
2237;142
2237;223
2237;224
2237;228
2237;230
2237;268
2237;269
2237;289
2237;297
2237;347
2237;439
2241;124
2241;125
2241;130
2241;132
2241;142
2241;223
2241;224
2241;228
2241;230
2241;268
2241;269
2241;289
2241;297
2241;347
2241;439
2242;124
2242;125
2242;130
2242;132
2242;142
2242;223
2242;224
2242;228
2242;230
2242;268
2242;269
2242;289
2242;297
2242;347
2242;439
2243;124
2243;125
2243;130
2243;132
2243;142
2243;223
2243;224
2243;228
2243;230
2243;268
2243;269
2243;289
2243;297
2243;347
2243;439
2245;124
2245;125
2245;130
2245;132
2245;142
2245;223
2245;224
2245;228
2245;230
2245;268
2245;269
2245;289
2245;297
2245;347
2245;439
2246;124
2246;125
2246;130
2246;132
2246;142
2246;223
2246;224
2246;228
2246;230
2246;268
2246;269
2246;289
2246;297
2246;347
2246;439
2247;124
2247;125
2247;130
2247;132
2247;142
2247;223
2247;224
2247;228
2247;230
2247;268
2247;269
2247;289
2247;297
2247;347
2247;439
2250;124
2250;125
2250;130
2250;132
2250;142
2250;223
2250;224
2250;228
2250;230
2250;268
2250;269
2250;289
2250;297
2250;347
2250;439
2251;124
2251;125
2251;130
2251;132
2251;142
2251;223
2251;224
2251;228
2251;230
2251;268
2251;269
2251;289
2251;297
2251;347
2251;439
2257;124
2257;125
2257;130
2257;132
2257;142
2257;223
2257;224
2257;228
2257;230
2257;268
2257;269
2257;289
2257;297
2257;347
2257;439
2261;124
2261;125
2261;130
2261;132
2261;142
2261;223
2261;224
2261;228
2261;230
2261;268
2261;269
2261;289
2261;297
2261;347
2261;439
2262;124
2262;125
2262;130
2262;132
2262;142
2262;223
2262;224
2262;228
2262;230
2262;268
2262;269
2262;289
2262;297
2262;347
2262;439
2271;124
2271;125
2271;130
2271;132
2271;142
2271;223
2271;224
2271;228
2271;230
2271;268
2271;269
2271;289
2271;297
2271;347
2271;439
2272;124
2272;125
2272;130
2272;132
2272;142
2272;223
2272;224
2272;228
2272;230
2272;268
2272;269
2272;289
2272;297
2272;347
2272;439
2273;124
2273;125
2273;130
2273;132
2273;142
2273;223
2273;224
2273;228
2273;230
2273;268
2273;269
2273;289
2273;297
2273;347
2273;439
2274;124
2274;125
2274;130
2274;132
2274;142
2274;223
2274;224
2274;228
2274;230
2274;268
2274;269
2274;289
2274;297
2274;347
2274;439
2275;124
2275;125
2275;130
2275;132
2275;142
2275;223
2275;224
2275;228
2275;230
2275;268
2275;269
2275;289
2275;297
2275;347
2275;439
2321;124
2321;125
2321;130
2321;132
2321;142
2321;223
2321;224
2321;228
2321;230
2321;268
2321;269
2321;289
2321;297
2321;347
2321;439
2332;124
2332;125
2332;130
2332;132
2332;142
2332;223
2332;224
2332;228
2332;230
2332;268
2332;269
2332;289
2332;297
2332;347
2332;439
2333;124
2333;125
2333;130
2333;132
2333;142
2333;223
2333;224
2333;228
2333;230
2333;268
2333;269
2333;289
2333;297
2333;347
2333;439
2334;124
2334;125
2334;130
2334;132
2334;142
2334;223
2334;224
2334;228
2334;230
2334;268
2334;269
2334;289
2334;297
2334;347
2334;439
2335;124
2335;125
2335;130
2335;132
2335;142
2335;223
2335;224
2335;228
2335;230
2335;268
2335;269
2335;289
2335;297
2335;347
2335;439
2336;124
2336;125
2336;130
2336;132
2336;142
2336;223
2336;224
2336;228
2336;230
2336;268
2336;269
2336;289
2336;297
2336;347
2336;439
2337;124
2337;125
2337;130
2337;132
2337;142
2337;223
2337;224
2337;228
2337;230
2337;268
2337;269
2337;289
2337;297
2337;347
2337;439
2338;124
2338;125
2338;130
2338;132
2338;142
2338;223
2338;224
2338;228
2338;230
2338;268
2338;269
2338;289
2338;297
2338;347
2338;439
2339;124
2339;125
2339;130
2339;132
2339;142
2339;223
2339;224
2339;228
2339;230
2339;268
2339;269
2339;289
2339;297
2339;347
2339;439
2351;124
2351;125
2351;130
2351;132
2351;142
2351;223
2351;224
2351;228
2351;230
2351;268
2351;269
2351;289
2351;297
2351;347
2351;439
2352;124
2352;125
2352;130
2352;132
2352;142
2352;223
2352;224
2352;228
2352;230
2352;268
2352;269
2352;289
2352;297
2352;347
2352;439
2353;124
2353;125
2353;130
2353;132
2353;142
2353;223
2353;224
2353;228
2353;230
2353;268
2353;269
2353;289
2353;297
2353;347
2353;439
2354;124
2354;125
2354;130
2354;132
2354;142
2354;223
2354;224
2354;228
2354;230
2354;268
2354;269
2354;289
2354;297
2354;347
2354;439
2412;124
2412;125
2412;130
2412;132
2412;142
2412;223
2412;224
2412;228
2412;230
2412;268
