PRS_NAT;PFS_SPE_COD
1129;2
1129;3
1129;4
1129;5
1129;6
1129;7
1129;8
1129;9
1129;10
1129;11
1129;12
1129;13
1129;14
1129;15
1129;16
1129;17
1129;18
1129;20
1129;31
1129;32
1129;33
1129;35
1129;37
1129;41
1129;42
1129;43
1129;44
1129;45
1129;46
1129;47
1129;48
1129;49
1129;70
1129;71
1129;72
1129;73
1129;74
1129;75
1129;76
1129;77
1129;78
1129;79
1129;80
1130;1
1130;2
1130;3
1130;4
1130;5
1130;6
1130;7
1130;8
1130;9
1130;10
1130;11
1130;12
1130;13
1130;14
1130;15
1130;16
1130;17
1130;18
1130;20
1130;22
1130;23
1130;31
1130;32
1130;33
1130;34
1130;35
1130;37
1130;38
1130;41
1130;42
1130;43
1130;44
1130;45
1130;46
1130;47
1130;48
1130;49
1130;69
1130;70
1130;71
1130;72
1130;73
1130;74
1130;75
1130;76
1130;77
1130;78
1130;79
1130;80
1130;81
1130;82
1130;83
1130;84
1130;85
1131;31
1132;9
1132;42
1133;1
1133;22
1133;23
1133;81
1133;82
1133;83
1133;84
1133;85
1134;33
1134;75
1135;33
1135;75
1136;12
1137;12
1138;1
1138;2
1138;3
1138;4
1138;5
1138;6
1138;7
1138;8
1138;9
1138;10
1138;11
1138;12
1138;13
1138;14
1138;15
1138;16
1138;17
1138;18
1138;20
1138;22
1138;23
1138;31
1138;32
1138;33
1138;34
1138;35
1138;37
1138;38
1138;41
1138;42
1138;43
1138;44
1138;45
1138;46
1138;47
1138;48
1138;49
1138;69
1138;70
1138;71
1138;72
1138;73
1138;74
1138;75
1138;76
1138;77
1138;78
1138;79
1138;80
1138;81
1138;82
1138;83
1138;84
1138;85
1139;1
1139;2
1139;3
1139;4
1139;5
1139;6
1139;7
1139;8
1139;9
1139;10
1139;11
1139;12
1139;13
1139;14
1139;15
1139;16
1139;17
1139;18
1139;20
1139;22
1139;23
1139;31
1139;32
1139;33
1139;34
1139;35
1139;37
1139;38
1139;41
1139;42
1139;43
1139;44
1139;45
1139;46
1139;47
1139;48
1139;49
1139;69
1139;70
1139;71
1139;72
1139;73
1139;74
