PRS_NAT;PFS_SPE_COD
1054;1
1054;12
1054;81
1054;82
1054;83
1054;84
1054;85
1055;1
1055;12
1055;81
1055;82
1055;83
1055;84
1055;85
1085;1
1086;1
1086;2
1086;3
1086;4
1086;5
1086;6
1086;7
1086;8
1086;9
1086;10
1086;11
1086;12
1086;13
1086;14
1086;15
1086;16
1086;17
1086;18
1086;20
1086;22
1086;23
1086;31
1086;32
1086;33
1086;34
1086;35
1086;37
1086;38
1086;41
1086;42
1086;43
1086;44
1086;45
1086;46
1086;47
1086;48
1086;49
1086;69
1086;70
1086;71
1086;72
1086;73
1086;74
1086;75
1086;76
1086;77
1086;78
1086;79
1086;80
1086;81
1086;82
1086;83
1086;84
1086;85
1095;2
1095;3
1095;4
1095;5
1095;6
1095;7
1095;8
1095;9
1095;10
1095;11
1095;12
1095;13
1095;14
1095;15
1095;16
1095;17
1095;18
1095;20
1095;31
1095;32
1095;33
1095;34
1095;35
1095;37
1095;38
1095;41
1095;42
1095;43
1095;44
1095;45
1095;46
1095;47
1095;48
1095;49
1095;70
1095;71
1095;72
1095;73
1095;74
1095;75
1095;76
1095;77
1095;78
1095;79
1095;80
1096;1
1096;2
1096;3
1096;4
1096;5
1096;6
1096;7
1096;8
1096;9
1096;10
1096;11
1096;12
1096;13
1096;14
1096;15
1096;16
1096;17
1096;18
1096;20
1096;22
1096;23
1096;31
1096;32
1096;33
1096;34
1096;35
1096;37
1096;38
1096;41
1096;42
1096;43
1096;44
1096;45
1096;46
1096;47
1096;48
1096;49
1096;69
1096;70
1096;71
1096;72
1096;73
1096;74
1096;75
1096;76
1096;77
1096;78
1096;79
1096;80
1096;81
1096;82
1096;83
1096;84
1096;85
1097;1
1097;2
1097;3
1097;4
1097;5
1097;6
1097;7
1097;8
1097;9
1097;10
1097;11
1097;12
1097;13
1097;14
1097;15
1097;16
1097;17
1097;18
1097;20
1097;22
1097;23
1097;31
1097;32
1097;33
1097;34
1097;35
1097;37
1097;38
1097;41
1097;42
1097;43
1097;44
1097;45
1097;46
1097;47
1097;48
1097;49
1097;69
1097;70
1097;71
1097;72
1097;73
1097;74
1097;75
1097;76
1097;77
1097;78
1097;79
1097;80
1097;81
1097;82
1097;83
1097;84
1097;85
1098;1
1098;2
1098;3
1098;4
1098;5
1098;6
1098;7
1098;8
1098;9
1098;10
1098;11
1098;12
1098;13
1098;14
1098;15
1098;16
1098;17
1098;18
1098;20
1098;22
1098;23
1098;31
1098;32
1098;33
1098;34
1098;35
1098;37
1098;38
1098;41
1098;42
1098;43
1098;44
1098;45
1098;46
1098;47
1098;48
1098;49
1098;69
1098;70
1098;71
1098;72
1098;73
1098;74
1098;75
1098;76
1098;77
1098;78
1098;79
1098;80
1771;18
1771;22
1771;23
1771;31
1771;32
1771;33
1771;35
1771;36
1771;37
1771;38
1771;41
1771;42
1771;43
1771;44
1771;45
1771;46
1771;47
1771;48
1771;49
1771;70
1771;71
1771;72
1771;73
1771;74
1771;75
1771;76
1771;77
1771;78
1771;81
1771;82
1771;83
1771;84
1771;85
1781;1
1781;2
1781;3
1781;4
1781;5
1781;6
1781;7
1781;8
1781;9
1781;10
1781;11
1781;12
1781;13
1781;14
1781;15
1781;16
1781;17
1781;18
1781;22
1781;23
1781;31
1781;32
1781;33
1781;35
1781;36
1781;37
1781;38
1781;41
1781;42
1781;43
1781;44
1781;45
1781;46
1781;47
1781;48
1781;49
1781;70
1781;71
1781;72
1781;73
1781;74
1781;75
1781;76
1781;77
1781;78
1781;81
1781;82
1781;83
1781;84
1781;85
1782;1
1782;2
1782;3
1782;4
1782;5
1782;6
1782;7
1782;8
1782;9
1782;10
1782;11
1782;12
1782;13
1782;14
1782;15
1782;16
1782;17
1782;18
1782;22
1782;23
1782;31
1782;32
1782;33
1782;35
1782;36
1782;37
1782;38
1782;41
1782;42
1782;43
1782;44
1782;45
1782;46
1782;47
1782;48
1782;49
1782;70
1782;71
1782;72
1782;73
1782;74
1782;75
1782;76
1782;77
1782;78
1782;81
1782;82
1782;83
1782;84
1782;85
1783;1
1783;2
1783;3
1783;4
1783;5
1783;6
1783;7
1783;8
1783;9
1783;10
1783;11
1783;12
1783;13
1783;14
1783;15
1783;16
1783;17
1783;18
1783;22
1783;23
1783;31
1783;32
1783;33
1783;35
1783;36
1783;37
1783;38
1783;41
1783;42
1783;43
1783;44
1783;45
1783;46
1783;47
1783;48
1783;49
1783;70
1783;71
1783;72
1783;73
1783;74
1783;75
1783;76
1783;77
1783;78
1783;81
1783;82
1783;83
1783;84
1783;85
1784;1
1784;2
1784;3
1784;4
1784;5
1784;6
1784;7
1784;8
1784;9
1784;10
1784;11
1784;12
1784;13
1784;14
1784;15
1784;16
1784;17
1784;18
1784;22
1784;23
1784;31
1784;32
1784;33
1784;35
1784;36
1784;37
1784;38
1784;41
1784;42
1784;43
1784;44
1784;45
1784;46
1784;47
1784;48
1784;49
1784;70
1784;71
1784;72
1784;73
1784;74
1784;75
1784;76
1784;77
1784;78
1784;81
1784;82
1784;83
1784;84
1784;85
1785;1
1785;2
