PRS_NAT;PRS_NAT_STA;PRS_NAT_CB2;PRS_NAT_LIB;TDM_NAT_AFF;PRS_NAT_TDM;NAT_CPL_ACT;CCA_CPL_COD;PRN_AID_TOP;PRS_SPP_TOP;TOP_SNI;TYA_COD;CEL_TYP;TOP_PRS_SOI;PRS_NAT_RGT;TOP_TRF_OPP;PRS_NAT_OBS;TEC_COL
2344;99;FPG;FORFAIT DE GARDE NUIT ET FERIE EN ETABLIS. PRIVE;9;99;0;;0;;1;Z;20;0;47;;;0
2345;99;RAN;FORFAIT POUR ASTREINTE DE DEBUT DE NUIT EN ETABLIS. PRIVE;9;99;0;;0;;1;Z;20;0;47;;;0
2346;99;RAG;FORFAIT POUR ASTREINTE DE NUIT OU SAMEDI APRES MIDI EN ETABLIS. PRIVE;9;99;0;;0;;1;Z;20;0;47;;;0
2347;99;FPA;FORFAIT D'ASTREINTE NUIT ET FERIE EN ETABLIS. PRIVE;9;99;0;;0;;1;Z;20;0;47;;;0
2351;99;FTN;FORFAIT TECHNIQUE NORMAL IRMN -SCANNERS;9;99;0;;1;1;0;Z;22;0;0;;;0
2352;99;FTR;FORFAIT TECHNIQUE REDUIT IRMN -SCANNERS;9;99;0;;1;1;0;Z;22;0;0;;;0
2353;99;FTS;FORFAIT TECHNIQUE SCANNER (SPP expo amiante);9;99;0;;0;1;0;Z;22;0;0;;;0
2354;99;FTG;FORFAIT TECHNIQUE TOMOGRAPHIE;9;99;0;;0;1;0;Z;22;0;0;;;0
2355;99;N01;FORFAIT CONCOMMABLE MEDECINE NUCLEAIRE 01;9;99;0;;0;1;0;Z;22;0;0;;;0
2356;99;N02;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 02;9;99;0;;0;1;0;Z;22;0;0;;;0
2357;99;N03;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 03;9;99;0;;0;1;0;Z;22;0;0;;;0
2358;99;N04;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 04;9;99;0;;0;1;0;Z;22;0;0;;;0
2359;99;N05;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 05;9;99;0;;0;1;0;Z;22;0;0;;;0
2360;99;N06;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 06;9;99;0;;0;1;0;Z;22;0;0;;;0
2361;99;N07;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 07;9;99;0;;0;1;0;Z;22;0;0;;;0
2362;99;N08;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 08;9;99;0;;0;1;0;Z;22;0;0;;;0
2363;99;N09;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 09;9;99;0;;0;1;0;Z;22;0;0;;;0
2364;99;N10;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 10;9;99;0;;0;1;0;Z;22;0;0;;;0
2365;99;N11;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 11;9;99;0;;0;1;0;Z;22;0;0;;;0
2366;99;N12;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 12;9;99;0;;0;1;0;Z;22;0;0;;;0
2367;99;N13;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 13;9;99;0;;0;1;0;Z;22;0;0;;;0
2368;99;N14;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 14;9;99;0;;0;1;0;Z;22;0;0;;;0
2369;99;N15;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 15;9;99;0;;0;1;0;Z;22;0;0;;;0
