CGE_DET_NAT;DET_NAT_LIB;TEC_COL
OCX;OPPOSITIONS CONTENTIEUX;0
OIC;OPPOSITION INTERNE CREANCE OEUVRES;0
OID;OPPOSITION AMIABLE;0
OPA;OPPOSITION LEGALE PENSION ALIMENTAIRE;0
OQC;CREANCE OQN/CLINIQUE PRIVEE;0
OQD;CREANCE OQN/DENTISTE;0
OQF;CREANCE OQN/FOURNISSEUR;0
OQG;CREANCE OQN/MEDECIN GENERALIST;0
OQI;CREANCE OQN/INFIRMIER;0
OQK;CREANCE OQN/KINESITHERAPEUTE;0
OQL;CREANCE OQN/LABORATOIRE;0
OQM;CREANCE OQN/MEDECIN SPECIALISTE;0
OQO;CREANCE OQN/ORTHOPHONISTE;0
OQP;CREANCE OQN/PHARMACIEN;0
OQS;CREANCE OQN/SAGE-FEMME;0
OQT;CREANCE OQN/TRANSPORT SANIT.;0
OQU;CREANCE OQN/PEDICURE;0
OQV;CREANCE OQN/ORTHOPTISTE;0
OSA;OPPOSITION SAISIE ARRET;0
OSR;OPPOSITION SUR REMUNERATION;0
OTD;OPPOSITION A TIERS DETENTEUR;0
PAS;PENALITES ET SANCTIONS SUR ASSURE - ART 323-6 CSS;0
PAZ;PRELEVEMENT A LA SOURCE;0
PDP;PENALITE DEP. DE PRIX-ART L165-3-1;0
PFR;PARTICIPATION FORFAITAIRE A RETENIR;0
PMI;MAJORA INDUS TAA ETABLISSE PRIVES;0
PMS;MAJORA SANCT TAA ETS PR L162-22-18;0
PRC;PROVISION RECOURS CONTRE TIERS;0
PRE;ENCAISSEMENT SUITE A PROVISION;0
PRI;INDUS TAA ETABLISSEMENTS PRIVES;0
PRM;MAJO. PENALITE FI. ETABL. PRIVE;0
PRP;PENALITE FINANCIERE ETABL. PRIVE;0
PRS;SANCT TAA ETS PRIVES ART L162-22-18;0
PSA;AUTRE INDU PROFESSIONNEL DE SANT;0
PSM;MAJORATION PENALITE FINANCIERE PS;0
PSP;PENALITE FINANCIERE PROFESS. SANTE;0
PSQ;INDU ARTICLE L133.4;0
PST;INDU ARTICLE L315.1;0
PUM;MAJO. PENALITE FI. ETABL. PUBLIC;0
PUP;PENALITE FINANCIERE ETABL. PUBLIC;0
RCI;REGULARISATION CSG DEDUCTIBLE (invalidité);0
RCJ;REGULARISATION CSG (indemnité journalière);0
RCS;REGULARISATION DE C.S.G. (invalidité);0
RDP;RECUP DEPASS. DE PRIX-ART L165-3-1;0
REA;ART L 244.8 PREST RECUP EMPLOYEU;0
REB;ART L 374.1 PREST RECUP EMPLOYEU;0
REC;ART L 471.1 PREST RECUP EMPLOYEU;0
RED;RECOURS CONTRE EMPLOYEUR - DIVERS;0
REI;ART L 452.5 PREST RECUP EMPLOYEU;0
REL;RELIQUAT;0
REP;INDUS TAA HOPITAUX PUBLICS;0
RFI;PRESTATIONS RECUPERABLES ART L452.2;0
RHC;RECOURS HORS CONVERGENCE;0
RRD;REGUL. REMBOURSEMENT DETTE SOCIALE (indem journ);0
RRI;REGUL. REMBOURSEMENT DETTE SOCIALE (invalidité);0
SMP;MAJO.SANCT.TAA-ETS PUB-L162.22.18;0
SRP;SANCTION TAA-ETS PUB-art L162.22.18;0
STD;SAISIE A TIERS DETENTEUR;0
UAD;USAGERS  ACTIVITE DENTAIRE;0
UCS;USAGERS  CENTRES DE SANTE;0
VMI;VIREMENT IMPAYE;0
AAP;AVANCE AUTRE ETAB PRIVE;0
AAV;AVANCE FONDS DE ROULEMENT;0
ABS;AUTRE BENEFICIAIRE DE SERVICE;0
ACC;ACOMPTE SUR PRESTATION HORS PS;0
ACF;ACOMPTE PHARMACIEN;0
ACH;AVANCE CHR;0
ACI;ACOMPTE SUR PRESTATION INVAL;0
ACL;ACOMPTE LABORATOIRE;0
ACM;ACOMPTE PRESTATION HORS PS MANUEL;0
ACP;ACOMPTE ETABLISSEMENT PRIVE;0
ACR;ACOMPTE SUR PRESTATION RENTE;0
ACS;ACOMPTE SUR PRESTATION PS;0
ACU;ACOMPTE ETAB PUBLIC HORS BG;0
ADE;ACOMPTE DIVERS ETAB HORS BG;0
ADP;PENALITES FI.L162-1-14 AUTRES DEB.;0
AEH;AVANCE ASS ETAB HOSPITALIER;0
AFF;AFFRANCHISSEMENT (APPLICATION PM UNIQUEMENT);0
ALA;AVANCE PERMANENTE LABORATOIRE;0
AMS;MAJ.PENALITES FI.L162-1-14 AUT.DEB.;0
ANV;ADMISSION EN NON VALEUR;0
APC;ACOMPTE PRATICIEN;0
APH;AVANCE PERMANENTE PHARMACIEN;0
API;ACOMPTE CLINIQUE PRIVEE;0
APR;AUTRE PRESTATION A RECUPERER;0
APU;AVANCE AUTRE ETAB PUBLIC;0
ARR;AUTRES RECOURS CONTRE TIERS;0
ASM;MAJO. PENALITE FINANCIERE ASSURE;0
ASP;PENALITE FINANCIERE ASSURE;0
ATD;AVIS A TIERS DETENTEUR;0
ATJ;AVANCE TELE MISE A JOUR;0
AVC;AVANCE AUX CLINIQUES PRIVEES - TAA;0
AVP;AVANCE AUX PRATICIENS - TAA;0
AVS;AVANCE PERMA. PROFESSION. SANTE;0
CRD;CONTRIB.REMBOURSEMENT DETTE SOCIALE (indem.jour);0
CRI;CONTRIB.REMBOURSEMENT DETTE SOCIALE (invalidité);0
CSG;CONTRIBUTION SOCIALE GENERALISEE (invalidité);0
CSI;CONTRIB.SOCIALE GENERALISEE DEDUCTIBLE (inval);0
CSJ;CONTRIB.SOCIALE GENERALISEE (indem jour);0
DAA;DIVERS ACC AU PROFES. SANTE;0
DCD;CREANCES - PRESTATIONS DIVERSES;0
DCE;DEPASSEMENT CAPACITE ETAB PRIVE;0
DII;PREJUDICE TAA ETS PRIVES;0
DIR;DOMMAGES ET INTERETS;0
EFI;ART. L 452.3 FAUTE INEXCUSABLE;0
EMM;MAJO. PENALITE FINANCIERE EMPLOYEUR;0
EMP;PENALITE FINANCIERE EMPLOYEUR;0
ERQ;INDU L133-4 ETS PRIVES;0
ERR;INDU ERREUR DE REGLEMENT;0
EUQ;INDU L133-4 ETS PUBLICS;0
EXR;EXCEDENT VERSEMENT A REMB.;0
FCR;FRAIS DE CONTENTIEUX A RECUPERER;0
FHR;RECUPERATION FORFAIT 18 EUROS;0
FRA;INDU SUR FRAUDE;0
FRR;FRANCHISE A RECUPERER;0
IAP;INDU AP/HP;0
IEH;INDUS EHPAD PRIVE;0
IEU;INDUS EHPAD PUBLIC;0
IFR;INDEMNITE FORFAIT. FRAIS GESTION;0
IND;INDU;0
IPI;INDU CLINIQUE PRIVEE;0
ISI;INDU SUR PRESTATION INVALIDITE;0
ISR;INDU SUR PRESTATION RENTE;0
LCI;LETTRE CHEQUE IMPAYEE;0
LMD;INDUS LMA LMD;0
MCM;PREST. MISES A CHARGE DES TIERS;0
MEP;MAJO INDU TAA HOPITAUX PUBLICS;0
MRQ;MAJORA INDU L133-4 ETS PRIVES;0
MSQ;MAJORATION INDU PS ART.L133-4;0
MUQ;MAJORA INDU L133-4 ETS PUBLICS;0
OAD;OPPOSITION ADMINISTRATIVE;0
XXX;VALEUR INCONNUE;1
PIJ;PAS INDEMNITES JOURNALIERES;0
PJP;PAS AJAP;0
