TYT_COD;EMT_NUM_RES;EMT_LIB_RES;TEC_COL
1;1;ROUEN 1;0
1;2;TOULOUSE 1;0
1;3;SLM;0
1;4;MELUN;0
1;5;TOULOUSE 3;0
1;6;TOULOUSE 2;0
1;8;LIMOGES;0
1;10;STRASBOURG 2;0
1;11;ROUEN 2;0
1;13;STRASBOURG 3;0
1;16;ST ETIENNE 1;0
1;17;STRASBOURG 1;0
1;18;ANGERS 2;0
1;19;LILLE;0
1;20;CNQD;0
1;21;NICE;0
1;22;ROUEN 3;0
1;23;ANGERS 1;0
1;25;ST ETIENNE 2;0
1;26;TOULOUSE 5;0
1;27;TOULOUSE 4;0
1;28;MAYOTTE;0
1;36;MONTIGNY;0
2;2;MSA;0
3;3;RSI;0
4;4;SNCF;0
5;5;RATP;0
6;6;ENIM;0
7;7;MINES;0
8;8;CNMSS;0
12;12;CCIP;0
14;14;ASSEMBLEE NATIONALE;0
15;15;SENAT;0
16;16;PORT AUTONOME DE BORDEAUX;0
21;21;APRIA-AMEXA;0
22;22;APRIA-ATEXA;0
