TYT_COD;EMT_NUM;EMT_NUM_LIB;TEC_COL
3;102;RSI 102;0
3;103;RSI 103;0
3;104;RSI 104;0
3;105;RSI 105;0
3;106;RSI 106;0
3;201;RSI 201;0
3;202;RSI 202;0
3;203;RSI 203;0
3;204;RSI 204;0
3;205;RSI 205;0
3;206;RSI 206;0
4;0;SNCF;0
5;51;RATP;0
6;0;ENIM;0
6;6;ENIM;0
7;0;MINES;0
8;50;CNMSS;0
99;999;VALEUR INCONNUE;1
21;201;APRIA-AMEXA 201;0
21;202;APRIA-AMEXA 202;0
21;203;APRIA-AMEXA 203;0
2;101;MSA 101;0
2;102;MSA 102;0
2;103;MSA 103;0
2;104;MSA 104;0
2;105;MSA 105;0
2;106;MSA 106;0
2;107;MSA 107;0
2;108;MSA 108;0
2;109;MSA 109;0
2;110;MSA 110;0
2;111;MSA 111;0
2;112;MSA 112;0
2;113;MSA 113;0
2;114;MSA 114;0
2;115;MSA 115;0
2;116;MSA 116;0
2;117;MSA 117;0
2;118;MSA 118;0
2;119;MSA 119;0
2;120;MSA 120;0
2;121;MSA 121;0
2;122;MSA 122;0
2;123;MSA 123;0
2;124;MSA 124;0
2;125;MSA 125;0
2;126;MSA 126;0
2;127;MSA 127;0
2;128;MSA 128;0
2;129;MSA 129;0
2;130;MSA 130;0
2;131;MSA 131;0
2;132;MSA 132;0
2;133;MSA 133;0
2;134;MSA 134;0
2;135;MSA 135;0
2;136;MSA 136;0
2;137;MSA 137;0
2;138;MSA 138;0
2;139;MSA 139;0
2;140;MSA 140;0
2;141;MSA 141;0
2;142;MSA 142;0
2;143;MSA 143;0
2;144;MSA 144;0
2;145;MSA 145;0
2;146;MSA 146;0
2;147;MSA 147;0
2;148;MSA 148;0
2;149;MSA 149;0
2;150;MSA 150;0
2;151;MSA 151;0
2;152;MSA 152;0
2;153;MSA 153;0
2;154;MSA 154;0
2;155;MSA 155;0
2;156;MSA 156;0
2;157;MSA 157;0
2;158;MSA 158;0
2;159;MSA 159;0
2;160;MSA 160;0
2;161;MSA 161;0
2;162;MSA 162;0
2;163;MSA 163;0
2;164;MSA 164;0
2;165;MSA 165;0
2;166;MSA 166;0
2;167;MSA 167;0
2;168;MSA 168;0
2;169;MSA 169;0
2;170;MSA 170;0
2;171;MSA 171;0
2;172;MSA 172;0
2;173;MSA 173;0
2;174;MSA 174;0
2;175;MSA 175;0
2;176;MSA 176;0
2;177;MSA 177;0
2;178;MSA 178;0
2;179;MSA 179;0
2;180;MSA 180;0
2;181;MSA 181;0
2;182;MSA 182;0
2;183;MSA 183;0
2;184;MSA 184;0
2;185;MSA 185;0
2;186;MSA 186;0
2;187;MSA 187;0
2;188;MSA 188;0
2;189;MSA 189;0
2;190;MSA 190;0
2;191;MSA 191;0
2;192;MSA 192;0
2;193;MSA 193;0
2;194;MSA 194;0
2;195;MSA 195;0
2;197;MSA 197;0
2;450;MSA 450;0
12;100;CCIP;0
14;100;ASSEMBLEE NATIONALE;0
15;751;SENAT;0
16;331;PORT AUTONOME DE BORDEAUX;0
1;10;STRASBOURG 2;0
1;11;ROUEN 2;0
1;13;STRASBOURG 3;0
1;16;ST ETIENNE 1;0
1;17;STRASBOURG 1;0
1;18;ANGERS 2;0
1;19;LILLE;0
1;1;ROUEN 1;0
1;20;CNQD;0
1;21;NICE;0
1;23;ANGERS 1;0
1;25;ST ETIENNE 2;0
1;26;TOULOUSE 5;0
1;27;TOULOUSE 4;0
1;28;MAYOTTE;0
1;2;TOULOUSE 1;0
1;36;MONTIGNY;0
1;3;SLM;0
1;4;MELUN;0
1;5;TOULOUSE 3;0
1;6;TOULOUSE 2;0
1;8;LIMOGES;0
3;1;RSI 001;0
3;2;RSI 002;0
3;3;RSI 003;0
3;4;RSI 004;0
3;101;RSI 101;0
21;204;APRIA-AMEXA 204;0
