GES_GRG_COD;GES_CPT_COD;GES_CPT_NUM;TEC_COL
5;MB3;8;0
5;MC;11;0
5;MD;13;0
5;ME;15;0
5;MF1;17;0
5;MF2;18;0
5;MF3;19;0
5;MF4;20;0
5;MF5;22;0
5;MF6;23;0
5;MG;24;0
5;MH;26;0
5;MI1;28;0
5;MI2;29;0
5;MOC;30;0
5;MW;34;0
5;AI1;35;0
5;AI2;36;0
5;AN;37;0
5;EXN;39;0
5;PM;41;0
5;SM;43;0
5;SM;44;0
5;SM;45;0
5;T;54;0
5;TM;55;0
5;TA;56;0
6;TL;0;0
6;MA1;1;0
6;MA2;2;0
6;MA3;3;0
6;MB1;6;0
6;MB2;7;0
6;MB3;8;0
6;MC;11;0
6;MD;13;0
6;ME;15;0
6;MF1;17;0
6;MF2;18;0
6;MF3;19;0
90;SM;43;0
90;SM;44;0
90;SM;45;0
90;T;54;0
90;TM;55;0
90;TA;56;0
99;XXX;99;1
90;MF3;19;0
90;MF4;20;0
90;MF5;22;0
90;MF6;23;0
90;MG;24;0
90;MH;26;0
90;MI1;28;0
90;MI2;29;0
90;MOC;30;0
90;MW;34;0
90;AI1;35;0
90;AI2;36;0
90;AN;37;0
90;EXN;39;0
90;PM;41;0
1;G2;90;0
1;GMA;94;0
1;GMA;95;0
1;GMA;96;0
1;GMA;97;0
4;TL;0;0
4;MA1;1;0
1;TL;0;0
1;MA1;1;0
1;MA2;2;0
1;MA3;3;0
1;MB1;6;0
1;MB2;7;0
1;MB3;8;0
1;MC;11;0
1;MD;13;0
1;ME;15;0
1;MF1;17;0
1;MF2;18;0
1;MF3;19;0
1;MF4;20;0
1;MF5;22;0
1;MF6;23;0
1;MF7;25;0
1;MG;24;0
1;MH;26;0
1;MI1;28;0
1;MI2;29;0
1;MOC;30;0
1;MW;34;0
1;AI1;35;0
1;AI2;36;0
1;AN;37;0
1;EXN;39;0
1;PM;41;0
1;SM;43;0
1;SM;44;0
1;SM;45;0
1;T;54;0
1;TM;55;0
1;TA;56;0
1;E;58;0
1;E;59;0
1;E;60;0
1;E;61;0
1;E;62;0
1;E;63;0
1;E;64;0
1;E;65;0
1;E;66;0
1;E;67;0
1;E;68;0
1;E;69;0
1;E;70;0
1;E;71;0
1;E;72;0
1;E;73;0
1;E;74;0
1;E;75;0
1;E;76;0
1;E;77;0
1;E;78;0
1;E;79;0
1;E;80;0
1;G1;85;0
1;G1;86;0
1;G1;87;0
1;EZ;88;0
1;G2;89;0
4;MA2;2;0
4;MA3;3;0
4;MB1;6;0
4;MB2;7;0
4;MB3;8;0
4;MC;11;0
4;MD;13;0
4;ME;15;0
4;MF1;17;0
4;MF2;18;0
4;MF3;19;0
4;MF4;20;0
4;MF5;22;0
4;MF6;23;0
4;MG;24;0
4;MH;26;0
4;MI1;28;0
4;MI2;29;0
4;MOC;30;0
4;MW;34;0
4;AI1;35;0
4;AI2;36;0
4;AN;37;0
4;EXN;39;0
4;PM;41;0
4;SM;43;0
4;SM;44;0
4;SM;45;0
4;T;54;0
4;TM;55;0
4;TA;56;0
5;TL;0;0
5;MA1;1;0
5;MA2;2;0
5;MA3;3;0
5;MB1;6;0
5;MB2;7;0
6;MF4;20;0
6;MF5;22;0
6;MF6;23;0
6;MG;24;0
6;MH;26;0
6;MI1;28;0
6;MI2;29;0
6;MOC;30;0
6;MW;34;0
6;AI1;35;0
6;AI2;36;0
6;AN;37;0
6;EXN;39;0
6;PM;41;0
6;SM;43;0
6;SM;44;0
6;SM;45;0
6;T;54;0
6;TM;55;0
6;TA;56;0
7;TL;0;0
7;MA1;1;0
7;MA2;2;0
7;MA3;3;0
7;MB1;6;0
7;MB2;7;0
7;MB3;8;0
7;MC;11;0
7;MD;13;0
7;ME;15;0
7;MF1;17;0
7;MF2;18;0
7;MF3;19;0
7;MF4;20;0
7;MF5;22;0
7;MF6;23;0
7;MG;24;0
7;MH;26;0
7;MI1;28;0
7;MI2;29;0
7;MOC;30;0
7;MW;34;0
7;AI1;35;0
7;AI2;36;0
7;AN;37;0
7;EXN;39;0
7;PM;41;0
7;SM;43;0
7;SM;44;0
7;SM;45;0
7;T;54;0
7;TM;55;0
7;TA;56;0
8;TL;0;0
8;MA1;1;0
8;MA2;2;0
8;MA3;3;0
8;MB1;6;0
8;MB2;7;0
8;MB3;8;0
8;MC;11;0
8;MD;13;0
8;ME;15;0
8;MF1;17;0
8;MF2;18;0
8;MF3;19;0
8;MF4;20;0
8;MF5;22;0
8;MF6;23;0
8;MG;24;0
8;MH;26;0
8;MI1;28;0
8;MI2;29;0
8;MOC;30;0
8;MW;34;0
8;AI1;35;0
8;AI2;36;0
8;AN;37;0
8;EXN;39;0
8;PM;41;0
8;SM;43;0
8;SM;44;0
8;SM;45;0
8;T;54;0
8;TM;55;0
8;TA;56;0
9;TL;0;0
9;MA1;1;0
9;MA2;2;0
9;MA3;3;0
9;MB1;6;0
9;MB2;7;0
9;MB3;8;0
9;MC;11;0
9;MD;13;0
9;ME;15;0
9;MF1;17;0
9;MF2;18;0
9;MF3;19;0
9;MF4;20;0
9;MF5;22;0
9;MF6;23;0
9;MG;24;0
9;MH;26;0
9;MI1;28;0
9;MI2;29;0
9;MOC;30;0
9;MW;34;0
9;AI1;35;0
9;AI2;36;0
9;AN;37;0
9;EXN;39;0
9;PM;41;0
9;SM;43;0
9;SM;44;0
9;SM;45;0
9;T;54;0
9;TM;55;0
9;TA;56;0
10;TL;0;0
10;MA1;1;0
10;MA2;2;0
10;MA3;3;0
10;MB1;6;0
10;MB2;7;0
10;MB3;8;0
10;MC;11;0
10;MD;13;0
10;ME;15;0
10;MF1;17;0
10;MF2;18;0
10;MF3;19;0
10;MF4;20;0
10;MF5;22;0
10;MF6;23;0
10;MG;24;0
10;MH;26;0
10;MI1;28;0
10;MI2;29;0
10;MOC;30;0
10;MW;34;0
10;AI1;35;0
10;AI2;36;0
10;AN;37;0
10;EXN;39;0
10;PM;41;0
10;SM;43;0
10;SM;44;0
10;SM;45;0
10;T;54;0
10;TM;55;0
10;TA;56;0
12;TL;0;0
12;MA1;1;0
12;MA2;2;0
12;MA3;3;0
12;MB1;6;0
12;MB2;7;0
12;MB3;8;0
12;MC;11;0
12;MD;13;0
12;ME;15;0
12;MF1;17;0
12;MF2;18;0
12;MF3;19;0
12;MF4;20;0
12;MF5;22;0
12;MF6;23;0
12;MG;24;0
12;MH;26;0
12;MI1;28;0
12;MI2;29;0
12;MOC;30;0
12;MW;34;0
12;AI1;35;0
12;AI2;36;0
12;AN;37;0
12;EXN;39;0
12;PM;41;0
12;SM;43;0
12;SM;44;0
12;SM;45;0
12;T;54;0
12;TM;55;0
12;TA;56;0
14;TL;0;0
14;MA1;1;0
14;MA2;2;0
14;MA3;3;0
14;MB1;6;0
14;MB2;7;0
14;MB3;8;0
14;MC;11;0
14;MD;13;0
14;ME;15;0
14;MF1;17;0
14;MF2;18;0
14;MF3;19;0
14;MF4;20;0
14;MF5;22;0
14;MF6;23;0
14;MG;24;0
14;MH;26;0
14;MI1;28;0
14;MI2;29;0
14;MOC;30;0
14;MW;34;0
14;AI1;35;0
14;AI2;36;0
14;AN;37;0
14;EXN;39;0
14;PM;41;0
14;SM;43;0
14;SM;44;0
14;SM;45;0
14;T;54;0
14;TM;55;0
14;TA;56;0
15;TL;0;0
15;MA1;1;0
15;MA2;2;0
15;MA3;3;0
15;MB1;6;0
15;MB2;7;0
15;MB3;8;0
15;MC;11;0
15;MD;13;0
15;ME;15;0
15;MF1;17;0
15;MF2;18;0
15;MF3;19;0
15;MF4;20;0
15;MF5;22;0
15;MF6;23;0
15;MG;24;0
15;MH;26;0
15;MI1;28;0
15;MI2;29;0
15;MOC;30;0
15;MW;34;0
15;AI1;35;0
15;AI2;36;0
15;AN;37;0
15;EXN;39;0
15;PM;41;0
15;SM;43;0
15;SM;44;0
15;SM;45;0
15;T;54;0
15;TM;55;0
15;TA;56;0
16;TL;0;0
16;MA1;1;0
16;MA2;2;0
16;MA3;3;0
16;MB1;6;0
16;MB2;7;0
16;MB3;8;0
16;MC;11;0
16;MD;13;0
16;ME;15;0
16;MF1;17;0
16;MF2;18;0
16;MF3;19;0
16;MF4;20;0
16;MF5;22;0
16;MF6;23;0
16;MG;24;0
16;MH;26;0
16;MI1;28;0
