BEN_NIR_COD;BEN_NIR_LIB;TOP_NIR_SNI;TEC_COL
00;NIR NORMAL (ni fictif ni provisoire);0;0
01;NIR FICTIF IVG;0;0
02;EXPERIMENTATION A51 EPISODE DE SOINS;1;0
03;NIR D UN MIGRANT PROVISOIRE PASSAGE (commence par 5 ou 6);0;0
04;NIR D UN ASSURE PROVISOIRE (commence par 7 ou 8);0;0
05;NIR FICTIF IST;0;0
06;NIR FICTIF IVG DES MINEURES SANS CONSENTEMENT PARENTAL;0;0
07;EXPERIMENTATION A51 INTERESSEMENT BIOSIMILAIRES;1;0
08;NIR FICTIF AUTRE;1;0
09;EXPERIMENTATION A51 PEPS;1;0
10;EXPERIMENTATION A51 IPEP;1;0
11;NIR FICTIF CONTRACEPTION DES MINEURES;0;0
12;ALD MINEUR;0;0
13;NIR MATERNITE PS;1;0
14;NIR PATERNITE PS;1;0
15;NIR ADOPTION PS;1;0
16;EXPERIMENTATION A51 EDS;1;0
17;EXPERIMENTATION A51 BUURTZORG EQUILIBRES;1;0
18;EXPERIMENTATION A51 MYDIABBY;1;0
19;EXPERIMENTATION A51 PASSEPORT BIPOLAIRE;1;0
20;EXPERIMENTATION A51 ORALIEN UFSBD;1;0
21;EXPERIMENTATION A51 ASE VERGNE;1;0
22;EXPERIMENTATION A51 PEGASE;1;0
23;EXPERIMENTATION A51 VHC POPULATION VULNERABLE;1;0
24;EXPERIMENTATION A51 VHC POPULATION A RISQUE TROD;1;0
25;EXPERIMENTATION A51 MICRO-STRUCTURES ADDICTIONS;1;0
26;EXPERIMENTATION A51 AVALUN;1;0
27;EXPERIMENTATION A51 SOUFFRANCE PSYCHIQUE ALZHEIMER;1;0
28;EXPERIMENTATION A51 LISTE EN SUS;1;0
29;EXPERIMENTATION A51 OPTIMCARE TLS TRANSPLANT HEPATIQUE;1;0
30;EXPERIMENTATION A51 DIVA;1;0
31;EXPERIMENTATION A51 EMNO;1;0
32;EXPERIMENTATION A51 DEPISTAGE IRC URPS;1;0
33;EXPERIMENTATION A51 TOK TOK DOC;1;0
34;EXPERIMENTATION A51 CICAT PLAIES CHRONIQUES;1;0
35;EXPERIMENTATION A51 GECOPLAIES;1;0
36;EXPERIMENTATION A51 SERVICE DE SOINS BUCCO DENTAIRES MOBILES EN EHPAD;1;0
37;EXPERIMENTATION A51 CONSULTATIONS MIGRANTS - INTERPRETARIAT PROFESSIONNEL EN MEDECINE DE VILLE;1;0
38;EXPERIMENTATION A51 BUS BUCCO DENTAIRE FONDATION ILDYS;1;0
39;EXPERIMENTATION A51 AFM - ACCOMPAGNEMENT MALADIES RARES NEUROMUSCULAIRES;1;0
40;EXPERIMENTATION A51 CICA CORSE PLAIES CHRONIQUES;1;0
41;EXPERIMENTATION A51 DEPISTAGE BUCCO-DENTAIRE TLM - GHT CHER;1;0
42;EXPERIMENTATION A51 SANTELYS_NEPHRONOR_IRCT;1;0
43;EXPERIMENTATION A51 CESOA CENTRE DE SOINS OSTEO-ARTICULAIRES EN AMBULATOIRE;1;0
44;EXPERIMENTATION A51 PACO;1;0
45;EXPERIMENTATION A51 RSMO - SUIVI DE PATIENTS LOURDS A DOMICILE;1;0
46;Centre COVID;0;0
47;COVID;1;0
99;valeur inconnue;0;1
NN;sans objet;0;2
48;PRESCRIPTION THC;0;0
50;VACCINATION COVID 19 EN EQUIPE;1;0
49;CONTRAT PS;1;0
51;SAS (SERVICE ACCES SOINS);1;0
52;PREVENTION SANTE SEXUELLE;0;0
53;REFUGIES UKRAINIENS 1;0;0
54;REFUGIES UKRAINIENS 2;0;0
