DCT_OPL_NAT;OPL_NAT_LIB;TEC_COL
C;LIQUID. PAIEMENT COLLEC;0
CA;LIQUID. COLLEC. AVEC CTL;0
CC;CREAT. ASSURE ORIG.CENT;0
CM;LIQUID.COLLECT. AVEC MAJ;0
CN;LIQUID. COLLEC. +MAJ+CTL;0
D;LIQUID. DIFFEREE;0
DA;DIFFERE AVEC CTL;0
DM;LIQUID. DIFFERE AVEC M.AJ;0
DN;DIFFERE AVEC CTL+MAJ;0
G;LIQUID. GUICHET;0
GA;GUICHET AVEC CTL;0
GM;LIQUID. GUICHET AVEC M.AJ;0
GN;GUICHET + MAJ + CTL;0
L;M.A.J. LIEN D'ARCHIVE;0
M;M.A.J. SEULE ORIG.LOCALE;0
MA;MAJ AVEC CONTROLE;0
MC;M.A.J. PARTI.ORIG.CENTRAL;0
XX;VALEUR INCONNUE;1
ZZ;SANS OBJET;2
