CGE_OPR_NAT;OPR_NAT_LIB;TEC_COL
ANI;ANNUL. DETTE INFERIEURE A SEUIL;0
ANM;ANNULATION SUITE MONTEE EN CHARGE;0
ANN;ANNULATION COMPTE;0
CIM;CONSTAT INITIAL (MONTEE EN CHARGE);0
CIN;CONSTAT INITIAL;0
CMP;COMPLEMENT;0
ENC;ENCAISSEMENT;0
ISP;PASSAGE EN IMPAYE SOLDE EN PROFIT;0
MLO;MAIN LEVEE D'OPPOSITION PARTIELLE;0
NVA;ADMISSION EN NON VALEUR TOTALE;0
PAC;PAIEMENT AGENCE COMPTABLE;0
PAD;PASSAGE EN CREANCE DOUTEUSE;0
PAI;PAIEMENT;0
PEE;PERTE EURO (-3CTS);0
PEN;PASSAGE EN STATUT NORMAL;0
PEP;PASSAGE EN CREANCE PRESCRITE;0
PFE;PROFIT EURO (+3CTS);0
PPE;PASSAGE EN PERTE;0
PPR;PASSAGE EN PROFIT;0
RDD;REMISE DE DETTE;0
RMA;RECUPERATION MANUELLE;0
RMR;RECTIFICATION MONTANT RECUPERATION;0
RPR;RETENUE SUR PRESTATION;0
SLD;SOLDE (MISE A CHARGE SUR PROV. RC);0
XXX;VALEUR INCONNUE;1
