ORG_NUM;ORG_GRG_COD;CTI_NUM;CTI_INF_NUM;CRA_COD;URC_ARH_COD;SLM_NUM;ORG_BSE_NUM;ORG_ORG_TYP;GEO_DPT_COD;GEO_COM_COD;ORG_ACO_COD;ORG_SLM_CLM;ORG_UGE_COD;ORG_SIR_NUM;ORG_CAI_NUM;GDP_NV0_COD;GDP_NV1_COD;GDP_NV2_COD;ORG_TOP_INF;TEC_COL
01C711379;1;10;10;21;27;;01C711;C;071;270;071070;;379;;711;;;;0;0
01C741554;1;16;16;69;84;;01C741;C;074;010;074070;;554;;741;;;;0;0
01C741562;1;16;16;69;84;;01C741;C;074;010;074070;;562;;741;;;;0;0
01C741563;1;16;16;69;84;;01C741;C;074;;;;563;;741;;;;0;0
01C741564;1;16;16;69;84;;01C741;C;074;010;074070;;564;;741;;;;0;0
01C741565;1;16;16;69;84;;01C741;C;074;010;;;565;;741;;;;0;0
01C741569;1;16;16;69;84;;01C741;C;074;010;074070;;569;;741;;;;0;0
01C741576;1;16;16;69;84;;01C741;C;074;010;074070;;576;;741;;;;0;0
01C741586;1;16;16;69;84;;01C741;C;074;010;074070;;586;;741;;;;0;0
01C771154;1;4;35;75;11;;01C771;C;077;288;077070;;154;;771;;;;0;0
01C771155;1;4;35;75;11;;01C771;C;077;;;;155;;771;;;;0;0
01C771156;1;4;35;75;11;;01C771;C;077;;;;156;;771;;;;0;0
01C771157;1;4;35;75;11;;01C771;C;077;288;077070;;157;;771;;;;0;0
01C771160;1;4;35;75;11;;01C771;C;077;288;077070;;160;;771;;;;0;0
01C771162;1;4;35;75;11;;01C771;C;077;288;077070;;162;;771;;;;0;0
01C771163;1;4;35;75;11;;01C771;C;077;288;077070;;163;;771;;;;0;0
01C771164;1;4;35;75;11;;01C771;C;077;288;077070;;164;;771;;;;0;0
01C771167;1;4;35;75;11;;01C771;C;077;288;077070;;167;;771;;;;0;0
01C771169;1;4;35;75;11;;01C771;C;077;288;077070;;169;;771;;;;0;0
01C771170;1;4;35;75;11;;01C771;C;077;;;;170;;771;;;;0;0
01C771171;1;4;35;75;11;;01C771;C;077;288;077070;;171;;771;;;;0;0
01C771173;1;4;35;75;11;;01C771;C;077;288;077070;;173;;771;;;;0;0
01C771174;1;4;35;75;11;;01C771;C;077;288;077070;;174;;771;;;;0;0
01C771175;1;4;35;75;11;;01C771;C;077;288;077070;;175;;771;;;;0;0
01C771180;1;4;35;75;11;;01C771;C;077;288;077070;;180;;771;;;;0;0
01C771181;1;4;35;75;11;;01C771;C;077;288;077070;;181;;771;;;;0;0
01C771183;1;4;35;75;11;;01C771;C;077;288;077070;;183;;771;;;;0;0
01C771184;1;4;35;75;11;;01C771;C;077;288;077070;;184;;771;;;;0;0
01C771185;1;4;35;75;11;;01C771;C;077;288;077070;;185;;771;;;;0;0
01C771189;1;4;35;75;11;;01C771;C;077;288;077070;;189;;771;;;;0;0
01C771190;1;4;35;75;11;;01C771;C;077;288;077070;;190;;771;;;;0;0
01C741591;1;16;16;69;84;;01C741;C;074;010;074070;;591;;741;;;;0;0
01C741596;1;16;16;69;84;;01C741;C;074;010;074070;;596;;741;;;;0;0
01C741599;1;16;16;69;84;;01C741;C;074;010;074070;;599;;741;;;;0;0
01C741601;1;16;16;69;84;;01C741;C;074;010;074070;;601;;741;;;;0;0
01C741602;1;16;16;69;84;;01C741;C;074;010;074070;;602;;741;;;;0;0
01C741603;1;16;16;69;84;;01C741;C;074;010;074070;;603;;741;;;;0;0
