PRS_PPF_COD;PRS_PPF_LIB;TEC_COL
A;PLAFOND ANNUEL POUR LA PF OU LA FRANCHISE ATTEINT;0
C;PLAFOND ANNUEL MINORE POUR LA FRANCHISE ATTEINT;0
D;PLAFOND JOURNALIER MINORE POUR FRANCHISE ATTEINT;0
E;ANOMALIE D'ACCES BASE;0
F;PLAFOND ANNUEL TOTAL DES FRANCHISES ATTEINT;0
H;PLAFOND ANNUEL TOTAL MINORE DES FRANCHISES ATTEINT;0
I;VALEUR INCONNUE;1
J;PLAFOND JOURNALIER POUR LA PF OU FRANCHISE ATTEINT;0
N;ACTE EXCLU DE LA PARTICIPATION (PF OU FRANCHISE);0
P;PLAFOND ANNUEL CUMULE (PF + FR) ATTEINT;0
R;PLAFOND ANNUEL CUMULE MINORE (PF + FR) ATTEINT;0
S;ACTE SOUMIS A LA PARTICIPATION (PF OU FRANCHISE);0
T;SANS OBJET;2
K;écrêtement des franchises;0
Q;écrêtement des franchises plafond quotidien;0
L;écrêtement des franchises plafond annuel;0
