CPT_DEP_PER;CPT_DEP_LIB;CPT_DEP_EXC;TEC_COL
062005;Juin;2005;0
072005;Juillet;2005;0
082005;Aout;2005;0
092005;Septembre;2005;0
102005;Octobre;2005;0
112005;Novembre;2005;0
122005;Decembre;2005;0
132005;Periode complémentaire 2005;2005;0
002006;Janvier (7 premiers quantiemes 2006);2006;0
012006;Janvier (hors 7 premiers quantiemes 2006);2006;0
022006;Fevrier;2006;0
032006;Mars;2006;0
042006;Avril;2006;0
052006;Mai;2006;0
062006;Juin;2006;0
072006;Juillet;2006;0
082006;Aout;2006;0
092006;Septembre;2006;0
102006;Octobre;2006;0
112006;Novembre;2006;0
122006;Decembre;2006;0
132006;Periode complémentaire 2006;2006;0
002007;Janvier (7 premiers quantiemes 2007);2007;0
012007;Janvier (hors 7 premiers quantiemes 2007);2007;0
022007;Fevrier;2007;0
032007;Mars;2007;0
042007;Avril;2007;0
052007;Mai;2007;0
062007;Juin;2007;0
072007;Juillet;2007;0
082007;Aout;2007;0
092007;Septembre;2007;0
102007;Octobre;2007;0
112007;Novembre;2007;0
122007;Decembre;2007;0
132007;Periode complémentaire 2007;2007;0
002008;Janvier (7 premiers quantiemes 2008);2008;0
012008;Janvier (hors 7 premiers quantiemes 2008);2008;0
022008;Fevrier;2008;0
032008;Mars;2008;0
042008;Avril;2008;0
052008;Mai;2008;0
062008;Juin;2008;0
072008;Juillet;2008;0
082008;Aout;2008;0
092008;Septembre;2008;0
102008;Octobre;2008;0
112008;Novembre;2008;0
122008;Decembre;2008;0
132008;Periode complémentaire 2008;2008;0
002009;Janvier (7 premiers quantiemes 2009);2009;0
012009;Janvier (hors 7 premiers quantiemes 2009);2009;0
022009;Fevrier;2009;0
032009;Mars;2009;0
042009;Avril;2009;0
052009;Mai;2009;0
062009;Juin;2009;0
072009;Juillet;2009;0
082009;Aout;2009;0
092009;Septembre;2009;0
102009;Octobre;2009;0
112009;Novembre;2009;0
122009;Décembre;2009;0
132009;Période complémentaire;2009;0
132000;Periode complementaire 2000;2000;0
002001;Janvier (7 premiers quantiemes 2001);2001;0
012001;Janvier (hors 7 premiers quantiemes 2001);2001;0
022001;Fevrier;2001;0
032001;Mars;2001;0
042001;Avril;2001;0
052001;Mai;2001;0
062001;Juin;2001;0
072001;Juillet;2001;0
082001;Aout;2001;0
092001;Septembre;2001;0
102001;Octobre;2001;0
112001;Novembre;2001;0
122001;Decembre;2001;0
132001;Periode complémentaire 2001;2001;0
002002;Janvier (7 premiers quantiemes 2002);2002;0
012002;Janvier (hors 7 premiers quantiemes 2002);2002;0
022002;Fevrier;2002;0
032002;Mars;2002;0
042002;Avril;2002;0
052002;Mai;2002;0
062002;Juin;2002;0
072002;Juillet;2002;0
082002;Aout;2002;0
092002;Septembre;2002;0
102002;Octobre;2002;0
112002;Novembre;2002;0
122002;Decembre;2002;0
132002;Periode complémentaire 2002;2002;0
002003;Janvier (7 premiers quantiemes 2003);2003;0
012003;Janvier (hors 7 premiers quantiemes 2003);2003;0
022003;Fevrier;2003;0
032003;Mars;2003;0
042003;Avril;2003;0
052003;Mai;2003;0
062003;Juin;2003;0
072003;Juillet;2003;0
082003;Aout;2003;0
092003;Septembre;2003;0
102003;Octobre;2003;0
112003;Novembre;2003;0
122003;Decembre;2003;0
132003;Periode complémentaire 2003;2003;0
002004;Janvier (7 premiers quantiemes 2004);2004;0
012004;Janvier (hors 7 premiers quantiemes 2004);2004;0
022004;Fevrier;2004;0
032004;Mars;2004;0
042004;Avril;2004;0
052004;Mai;2004;0
062004;Juin;2004;0
072004;Juillet;2004;0
082004;Aout;2004;0
092004;Septembre;2004;0
102004;Octobre;2004;0
112004;Novembre;2004;0
122004;Decembre;2004;0
132004;Periode complémentaire 2004;2004;0
002005;Janvier (7 premiers quantiemes 2005);2005;0
012005;Janvier (hors 7 premiers quantiemes 2005);2005;0
022005;Fevrier;2005;0
032005;Mars;2005;0
042005;Avril;2005;0
052005;Mai;2005;0
999999;INCONNUE;9999;1
