NMED_HIS_COD;NMED_CRE_FIC;NMED_PHA_CHR
0;20040302;00359
0;20040316;00361
0;20040323;00362
0;20040330;00363
0;20040406;00364
0;20040413;00365
0;20040420;00366
0;20040427;00367
0;20040504;00368
0;20040511;00369
0;20040518;00370
0;20040526;00371
0;20040601;00372
0;20040608;00373
0;20040629;00376
0;20040706;00377
0;20040712;00378
0;20040720;00379
0;20050201;00407
0;20040727;00380
0;20040803;00381
0;20040810;00382
0;20040817;00383
0;20040824;00384
0;20040831;00385
0;20040907;00386
0;20040915;00387
0;20040921;00388
0;20040928;00389
0;20041005;00390
0;20041012;00391
0;20041019;00392
0;20041026;00393
0;20041102;00394
0;20041109;00395
0;20041116;00396
0;20041123;00397
0;20041130;00398
0;20041208;00399
0;20041215;00400
0;20041221;00401
0;20041229;00402
0;20050104;00403
0;20050111;00404
0;20050118;00405
0;20050125;00406
0;20050209;00408
0;20050215;00409
0;20050222;00410
0;20050302;00411
0;20050308;00412
0;20050315;00413
0;20050322;00414
0;20050329;00415
0;20050405;00416
0;20050413;00417
0;20050419;00418
0;20050426;00419
0;20050503;00420
0;20050511;00421
0;20050518;00422
0;20050525;00423
0;20050531;00424
0;20050607;00425
0;20050614;00426
0;20050621;00427
0;20050628;00428
0;20050706;00429
0;20050719;00431
0;20050809;00434
0;20050727;00432
0;20050802;00433
0;20050816;00435
0;20050823;00436
0;20050830;00437
0;20050906;00438
0;20050913;00439
0;20050920;00440
0;20050927;00441
0;20051005;00442
0;20051011;00443
0;20051018;00444
0;20051025;00445
0;20051102;00446
0;20051108;00447
0;20051115;00448
0;20051122;00449
0;20051129;00450
0;20051206;00451
0;20051213;00452
0;20051220;00453
0;20051227;00454
0;20060103;00455
0;20060110;00456
0;20060117;00457
0;20060124;00458
0;19980224;00047
0;19980324;00051
0;19971230;00039
0;19981123;00086
0;19990608;00114
0;19981028;00082
0;19990209;00097
0;19980217;00046
0;19980120;00042
0;19990302;00100
0;19990629;00117
0;19990615;00115
0;19980630;00065
0;19990720;00120
0;19981222;00090
0;19990316;00102
0;19981215;00089
0;19980804;00070
0;19990126;00095
0;19980310;00049
0;19980929;00078
0;19980421;00055
0;19990518;00111
0;19980526;00060
0;19980825;00073
0;19971112;00032
0;19990601;00113
0;19990712;00119
0;19990413;00106
0;19980303;00048
0;19981117;00085
0;19980915;00076
0;19990216;00098
0;19980203;00044
0;19980728;00069
0;19990420;00107
0;19980623;00064
0;19980512;00058
0;19991005;00131
0;19980707;00066
0;19980414;00054
0;19980901;00074
0;19981201;00087
0;19990510;00110
0;19971209;00036
0;19990224;00099
0;19981110;00084
0;19980128;00043
0;19981104;00083
0;19980721;00068
0;19971015;00028
0;19971203;00035
0;19990323;00103
0;19980408;00053
0;19980106;00040
0;19980811;00071
0;19971119;00033
0;19971023;00029
0;19980317;00050
0;19990330;00104
0;19990707;00118
0;19990105;00092
0;19980210;00045
0;19981208;00088
0;19980429;00056
0;19980713;00067
0;19980505;00057
0;19980908;00075
0;19971216;00037
0;19980609;00062
0;19971125;00034
0;19980616;00063
0;19990525;00112
0;19980818;00072
0;19990427;00108
0;19980602;00061
0;19990112;00093
0;19980519;00059
0;19981006;00079
0;19990406;00105
0;19990119;00094
0;19981229;00091
0;19980922;00077
0;19990622;00116
0;19990309;00101
0;19981013;00080
0;19971104;00031
0;19990505;00109
0;19971222;00038
0;19980114;00041
0;19981019;00081
0;19990202;00096
0;19980331;00052
0;19971028;00030
0;19990727;00121
0;19990803;00122
0;20060201;00459
0;20060207;00460
0;20060307;00464
0;20060314;00465
0;20060321;00466
0;20060329;00467
0;20060404;00468
0;20060411;00469
0;20060418;00470
0;20060425;00471
0;20060503;00472
0;20060510;00473
0;20060523;00475
0;20060517;00474
0;20060530;00476
0;20060606;00477
0;20060614;00478
0;20060620;00479
0;20060627;00480
0;20060704;00481
0;20060718;00483
0;20060711;00482
0;20060801;00485
0;20060725;00484
0;20060809;00486
0;20060816;00487
0;20060822;00488
0;20060830;00489
0;20060905;00490
0;20060912;00491
0;20060919;00492
0;20060926;00493
0;20061010;00495
0;20061017;00496
0;20061024;00497
0;20061107;00499
0;20061114;00500
0;20061122;00501
0;20061129;00502
0;20061206;00503
0;20061212;00504
0;20061219;00505
0;20061227;00506
0;20070104;00507
0;20070109;00508
0;20070119;00509
0;20070124;00510
0;20070202;00511
0;20070207;00512
0;20070213;00513
0;20070320;00518
0;20070220;00514
0;20070411;00521
0;20070313;00517
0;20070327;00519
0;20070417;00522
0;20070502;00524
0;20070509;00525
0;20070515;00526
0;20070522;00527
0;20070531;00528
0;20070605;00529
0;20070612;00530
0;20070620;00531
0;20070626;00532
0;20070704;00533
0;20070710;00534
0;20070717;00535
0;20070724;00536
0;20070731;00537
0;20070807;00538
0;20070814;00539
0;20070821;00540
0;20070828;00541
0;20070904;00542
0;20070911;00543
0;20070918;00544
0;20070925;00545
0;20071002;00546
0;20071009;00547
0;20071031;00550
0;20071017;00548
0;20071120;00553
0;20071113;00552
0;20071130;00554
0;20071204;00555
0;20071211;00556
0;20071218;00557
0;20071226;00558
0;20080104;00559
0;20080109;00560
0;20080115;00561
0;20080122;00562
0;20080130;00563
0;20080206;00564
0;20080214;00565
0;19990810;00123
0;19990817;00124
0;19990824;00125
0;19990901;00126
0;19990907;00127
0;19990914;00128
0;19990921;00129
0;19990929;00130
0;19991130;00139
0;19991012;00132
0;19991019;00133
0;19991026;00134
0;19991102;00135
0;19991109;00136
0;19991116;00137
0;19991123;00138
0;20000111;00144
0;19991207;00140
0;19991214;00141
0;19991221;00142
0;20000105;00143
0;20001128;00190
0;20000118;00145
0;20000125;00146
0;20000202;00147
0;20000209;00148
0;20000215;00149
0;20000222;00150
0;20000229;00151
0;20000308;00152
0;20000315;00153
0;20000321;00154
0;20000328;00155
0;20000404;00156
0;20000411;00157
0;20000417;00158
0;20000425;00159
0;20000502;00160
0;20000510;00161
0;20000517;00162
0;20000523;00163
0;20000529;00164
0;20000606;00165
0;20000615;00166
0;20000620;00167
0;20000628;00168
0;20000704;00169
0;20000712;00170
0;20000718;00171
0;20000726;00172
0;20000801;00173
0;20000808;00174
0;20000814;00175
0;20000822;00176
0;20000829;00177
0;20000905;00178
0;20000912;00179
0;20000919;00180
0;20000926;00181
0;20001003;00182
0;20001010;00183
0;20001017;00184
0;20001024;00185
0;20001030;00186
0;20001107;00187
0;20001114;00188
0;20001121;00189
0;20011221;00246
0;20001205;00191
0;20001212;00192
0;20001219;00193
0;20001227;00194
0;20010102;00195
0;20010109;00196
0;20010116;00197
0;20010123;00198
0;20010130;00199
0;20010206;00200
0;20010213;00201
0;20010220;00202
0;20010227;00203
0;20010306;00204
0;20010314;00205
0;20010320;00206
0;20010327;00207
0;20010403;00208
0;20010409;00209
0;20010417;00210
0;20010423;00211
0;20010430;00212
0;20010507;00213
0;20010515;00214
0;20010521;00215
0;20010530;00216
0;20010605;00217
0;20010612;00218
0;20080219;00566
0;20080228;00567
0;20080304;00568
0;20080311;00569
0;20080318;00570
0;20080403;00571
0;20080410;00572
0;20080423;00574
0;20080429;00575
0;20080507;00576
0;20080613;00580
0;20080617;00581
0;20080625;00582
0;20080701;00583
0;20080708;00584
0;20080717;00585
0;20080723;00586
0;20080730;00587
0;20080805;00588
0;20080814;00589
0;20080819;00590
0;20080826;00591
0;20080902;00592
0;20080910;00593
0;20080916;00594
0;20080924;00595
0;20080930;00596
0;20081007;00597
0;20081014;00598
0;20081021;00599
0;20081030;00600
0;20081105;00601
0;20081112;00602
0;20081118;00603
0;20081126;00604
0;20081204;00605
0;20081210;00606
0;20090122;00612
0;20090206;00614
0;20090212;00615
0;20090218;00616
0;20090225;00617
0;20090310;00618
0;20090312;00619
0;20090319;00620
0;20090325;00621
0;20090331;00622
0;20090407;00623
0;20090415;00624
0;20090423;00625
0;20090430;00626
0;20090506;00627
0;20090513;00628
0;20090520;00629
0;20090528;00630
0;20090604;00631
0;20090611;00632
0;20090618;00633
0;20090623;00634
0;20090701;00635
0;20090707;00636
0;20090716;00637
0;20090724;00638
0;20090729;00639
0;20090805;00640
0;20090812;00641
0;20090820;00642
0;20090826;00643
0;20090902;00644
0;20090910;00645
0;20090916;00646
0;20090923;00647
0;20091001;00648
0;20091005;00649
0;20091016;00650
0;20091022;00651
0;20091028;00652
0;20091105;00653
0;20091110;00654
0;20091120;00655
0;20091126;00656
0;20091203;00657
0;20091210;00658
0;20100121;00664
0;20100129;00665
0;20100303;00670
0;20100311;00671
0;20100318;00672
0;20100324;00673
0;20100401;00674
0;20100408;00675
0;20100414;00676
0;20100423;00677
0;20100429;00678
0;20100506;00679
0;20100607;00683
0;20010619;00219
0;20010626;00220
0;20010703;00221
0;20010710;00222
0;20010717;00223
0;20010724;00224
0;20010731;00225
0;20010810;00226
0;20010813;00227
0;20010821;00228
0;20010828;00229
0;20010904;00230
0;20010911;00231
0;20010918;00232
0;20010925;00233
0;20011002;00234
0;20011009;00235
0;20011016;00236
0;20011024;00237
0;20011029;00238
0;20011106;00239
0;20011113;00240
0;20011120;00241
0;20011127;00242
0;20011204;00243
0;20011212;00244
0;20011219;00245
0;20011231;00247
0;20020416;00261
0;20020109;00248
0;20020121;00249
0;20020129;00250
0;20020205;00251
0;20020212;00252
0;20020219;00253
0;20020226;00254
0;20020305;00255
0;20020312;00256
0;20020319;00257
0;20020325;00258
0;20020402;00259
0;20020409;00260
0;20020503;00264
0;20020424;00262
0;20020429;00263
0;20020514;00265
0;20020522;00266
0;20020528;00267
0;20030311;00308
0;20020604;00268
0;20020612;00269
0;20020618;00270
0;20020626;00271
0;20020702;00272
0;20020709;00273
0;20020716;00274
0;20020723;00275
0;20020730;00276
0;20020806;00277
0;20020812;00278
0;20020820;00279
0;20020827;00280
0;20020903;00281
0;20020911;00282
0;20020918;00283
0;20020924;00284
0;20021002;00285
0;20021008;00286
0;20021015;00287
0;20021022;00288
0;20021029;00289
0;20021106;00290
0;20021112;00291
0;20021119;00292
0;20021126;00293
0;20021204;00294
0;20021210;00295
0;20021217;00296
0;20021220;00297
0;20021230;00298
0;20030107;00299
0;20030114;00300
0;20030121;00301
0;20030128;00302
0;20030204;00303
0;20030211;00304
0;20030218;00305
0;20030225;00306
0;20030304;00307
0;20030610;00321
0;20030318;00309
0;20030325;00310
0;20030401;00311
0;20030408;00312
0;20030415;00313
0;20030422;00314
0;20100610;00684
0;20100614;00685
0;20100622;00686
0;20100629;00687
0;20100706;00688
0;20100713;00689
0;20100720;00690
0;20100723;00691
0;20100727;00692
0;20100803;00693
0;20100810;00694
0;20100826;00695
0;20100906;00696
0;20100917;00698
0;20100921;00699
0;20100928;00700
0;20101005;00701
0;20101012;00702
0;20101018;00703
0;20101026;00704
0;20101103;00705
0;20101109;00706
0;20101116;00707
0;20101123;00708
0;20101130;00709
0;20101207;00710
0;20101214;00711
0;20101221;00712
0;20110105;00714
0;20110112;00715
0;20110120;00716
0;20110127;00717
0;20110202;00718
0;20110208;00719
0;20030429;00315
0;20030506;00316
0;20030513;00317
0;20030520;00318
0;20030527;00319
0;20030603;00320
0;20030617;00322
0;20030624;00323
0;20030702;00324
0;20030708;00325
0;20030715;00326
0;20030722;00327
0;20030729;00328
0;20030806;00329
0;20030812;00330
0;20030819;00331
0;20030826;00332
0;20030903;00333
0;20030911;00334
0;20030916;00335
0;20030924;00336
0;20030930;00337
0;20031007;00338
0;20031014;00339
0;20031021;00340
0;20031028;00341
0;20031104;00342
0;20031110;00343
0;20031118;00344
0;20031125;00345
0;20031202;00346
0;20031210;00347
0;20031216;00348
0;20031222;00349
0;20031229;00350
0;20040106;00351
0;20040114;00352
0;20040120;00353
0;20040127;00354
0;20040203;00355
0;20040210;00356
0;20040217;00357
0;20040224;00358
0;20110308;00723
0;20120124;00769
0;20110315;00724
0;20110323;00725
0;20110331;00726
0;20110405;00727
0;20110413;00728
0;20110421;00729
0;20110428;00730
0;20110504;00731
0;20110510;00732
0;20110526;00734
0;20110530;00735
0;20110607;00736
0;20110617;00737
0;20110621;00738
0;20110628;00739
0;20110707;00740
0;20110718;00741
0;20110720;00742
0;20110729;00743
0;20110802;00744
0;20110809;00745
0;20110816;00746
0;20110825;00747
0;20110830;00748
0;20110908;00749
0;20110913;00750
0;20110920;00751
0;20111003;00752
0;20111006;00753
0;20111011;00754
0;20111021;00755
0;20111026;00756
0;20111102;00757
0;20111109;00758
0;20111115;00759
0;20111122;00760
0;20111201;00761
0;20111208;00762
0;20111214;00763
0;20111220;00764
0;20111228;00765
0;20120105;00766
0;20120110;00767
0;20120118;00768
0;20120207;00771
0;20120214;00772
0;20120222;00773
0;20120229;00774
0;20120307;00775
0;20120313;00776
0;20120321;00777
0;20120328;00778
0;20120411;00780
0;20120417;00781
0;20120424;00782
0;20120507;00783
0;20120514;00785
0;20120522;00786
0;20120530;00787
0;20120605;00788
0;20120612;00789
0;20120619;00790
0;20120627;00791
0;20120703;00792
0;20120710;00793
0;20120717;00794
0;20120726;00795
0;20120801;00796
0;20120807;00797
0;20120814;00798
0;20120820;00799
0;20120827;00800
0;20120906;00801
0;20120911;00802
0;20120920;00803
0;20120924;00804
0;20121003;00805
0;20121008;00806
0;20121015;00807
0;20121022;00808
0;20121029;00809
0;20121105;00810
0;20121113;00811
0;20121120;00812
0;20121127;00813
0;20121204;00814
0;20121210;00815
0;20121218;00816
0;20121224;00817
0;20121228;00818
0;20130108;00819
0;20130115;00820
0;20130121;00821
0;20130129;00822
0;20130207;00823
0;20130212;00824
0;20130220;00825
0;20130226;00826
0;20130308;00827
0;20130313;00828
0;20130319;00829
0;20130326;00830
0;20130402;00831
0;20130411;00832
0;20130415;00833
0;20130425;00834
0;20130429;00835
0;20130506;00836
0;20130514;00837
0;20130523;00838
0;20130527;00839
0;20130603;00840
0;20130610;00841
0;20130618;00842
0;20130628;00843
0;20130704;00844
0;20130708;00845
0;20130716;00846
0;20130722;00847
0;20130730;00848
0;20130806;00849
0;20130812;00850
0;20130820;00851
0;20130827;00852
0;20130902;00853
0;20130910;00854
0;20130917;00855
0;20130924;00856
0;20131001;00857
0;20131008;00858
0;20131016;00859
0;20131022;00860
0;20131030;00861
0;20131105;00862
0;20131112;00863
0;20131119;00864
0;20140123;00873
0;20140218;00877
0;20140311;00880
0;20140414;00885
0;20140318;00881
0;20140422;00886
0;20140612;00893
0;20140527;00891
0;20140617;00894
0;20140624;00895
0;20140709;00897
0;20140925;00908
0;20140724;00899
0;20141014;00911
0;20141113;00915
0;20141105;00914
0;20141204;00918
0;20141216;00919
0;20150113;00924
0;20150120;00925
0;20150204;00927
0;20150304;00931
0;20150422;00938
0;20150513;00941
0;20150610;00945
0;20150618;00946
0;20150708;00949
0;20150804;00953
0;20150923;00960
0;20151013;00963
0;20160224;00981
0;20160428;00990
0;20160531;00995
0;20160630;00999
0;20160706;01000
0;20160727;01003
0;20160817;01006
0;20160921;01011
0;20161005;01013
0;20161012;01014
0;20161109;01018
0;20170110;01027
0;20161220;01024
0;20161228;01025
0;20170201;01030
0;20170208;01031
0;20170214;01032
0;20170223;01033
0;20170315;01036
0;20170328;01038
0;20170411;01040
0;20170510;01044
0;20170522;01046
0;20170607;01048
0;20170621;01050
0;20170719;01054
0;20170802;01056
0;20170921;01063
0;20171012;01066
0;20171018;01067
0;20171129;01073
0;20180118;01080
0;20180215;01084
0;20180302;01086
0;20180308;01087
0;20180329;01090
0;20180404;01091
0;20180409;01092
0;20180419;01093
0;20180503;01095
0;20180507;01096
0;20180523;01098
0;20180531;01099
0;20180620;01102
0;20180731;01108
0;20180810;01110
0;20180918;01115
0;20190220;01137
0;20190305;01139
0;20190409;01144
0;20190514;01149
0;20190529;01151
0;20190619;01154
0;20190725;01159
0;20191224;01181
0;20200107;01183
0;20200114;01184
0;20200122;01185
0;20200331;01195
0;20200609;01205
0;20200721;01211
0;20200804;01213
0;20200811;01214
0;20200908;01218
0;20200923;01220
0;20201006;01222
0;20201103;01226
0;20201125;01229
0;20201202;01230
0;20201221;01233
0;20201231;01234
0;20210106;01235
0;20210126;01238
0;20210316;01245
0;20210325;01246
0;20210602;01255
0;20210615;01257
0;20210713;01261
0;20210720;01262
0;20210811;01265
0;20210823;01267
0;20210908;01269
0;20211124;01280
0;20220118;01288
0;20220309;01295
0;20220412;01300
0;20220426;01302
0;20220511;01304
0;20220621;01310
0;20220719;01314
0;20220726;01315
0;20140115;00872
0;20140225;00878
0;20140604;00892
0;20140520;00890
0;20140909;00906
0;20141230;00922
0;20141126;00917
0;20150106;00923
0;20150504;00940
0;20150811;00954
0;20150904;00957
0;20151029;00964
0;20151110;00966
0;20160120;00976
0;20160330;00986
0;20160413;00988
0;20160504;00991
0;20160906;01009
0;20161019;01015
0;20161115;01019
0;20161130;01021
0;20170301;01034
0;20170425;01042
0;20170706;01052
0;20170809;01057
0;20170828;01060
0;20170928;01064
0;20171025;01068
0;20171108;01070
0;20171115;01071
0;20171208;01074
0;20171215;01075
0;20171219;01076
0;20180123;01081
0;20180202;01082
0;20180314;01088
0;20180321;01089
