QPE_QPE_COD;QPE_MOD_COD;QPE_COD_LIB;QPE_NPS_COD;TEC_COL
0;;AUCUNE CASE COCHEE;P;0
1;T;MEDECIN TRAITANT;P;0
2;N;NOUVEAU MEDECIN TRAITANT;P;0
3;O;PATIENT ORIENTE PAR UN MT;P;0
4;D;ACCES DIRECT SPECIFIQUE;P;0
5;U;URGENCE AVEC MT;P;0
6;H;HORS RESIDENCE HABITUELLE;P;0
7;R;MT REMPLACE;P;0
10;B;EXCLUSION DES ACTES PRESCRITS PAR UN MEDECIN GENERALISTE EN ZONE DEFICITAIRE;P;0
24;S;HORS COORDINATION DES SOINS SANS MT;H;0
99;9;VALEUR INCONNUE;Z;1
8;A;EXCLUSION DES ACTES EN RAPPORT AVEC ART. D 162.1.6 DU CODE SS (ALCOOLOGIE, TABACOLOGIE, TOXICOMANIE);P;0
12;J;GENERALISTE PRIMO INSTALLE DEPUIS MOINS DE 5 ANS;P;0
