GEO_REG_COD;GEO_PAY_COD;GEO_REG_LIB;TEC_COL
0;FR;DOM TOM;0
11;FR;ILE DE FRANCE;0
21;FR;CHAMPAGNE-ARDENNE;0
22;FR;PICARDIE;0
23;FR;HAUTE-NORMANDIE;0
24;FR;CENTRE-VAL DE LOIRE;0
25;FR;BASSE-NORMANDIE;0
26;FR;BOURGOGNE;0
31;FR;NORD-PAS-DE-CALAIS;0
41;FR;LORRAINE;0
42;FR;ALSACE;0
43;FR;FRANCHE-COMTE;0
52;FR;PAYS-DE-LA-LOIRE;0
53;FR;BRETAGNE;0
54;FR;POITOU-CHARENTES;0
72;FR;AQUITAINE;0
73;FR;MIDI-PYRENEES;0
74;FR;LIMOUSIN;0
82;FR;RHONE-ALPES;0
83;FR;AUVERGNE;0
91;FR;LANGUEDOC-ROUSSILLON;0
93;FR;PROVENCE-ALPES-COTE D'AZUR;0
94;FR;CORSE;0
99;II;INCONNU;1
1;FR;GUADELOUPE;0
2;FR;MARTINIQUE;0
3;FR;GUYANE;0
4;FR;REUNION;0
6;FR;CSS MAYOTTE;0
27;FR;BOURGOGNE-FRANCHE-COMTE;0
28;FR;NORMANDIE;0
32;FR;HAUTS-DE-FRANCE;0
44;FR;GRAND-EST;0
75;FR;NOUVELLE-AQUITAINE;0
76;FR;OCCITANIE;0
84;FR;AUVERGNE-RHONE-ALPES;0
