RGM_GRG_COD;RGM_COD;RGM_LIB;RGM_COM;TOP_CPI;TEC_COL
2;22;A.S.A.;A.S.A.;0;0
2;23;ASSURES PERSONNELS;assures personnels;0;0
2;30;EXPLOITANT AGRICOLES INVALIDES DOM;exploitant agricoles invalides dom;0;0
2;40;PROTECTION FAMILIALE DES DETENUS EXPLOITANTS AGRICOLES;protection familiale des detenus exploitants agricoles;0;0
2;97;ASSURE EN MAINTIEN DE DROIT SUITE FIN DE DROIT D'UN REGIME SEMI-PERMANENT, DROIT AU PN SEUL;Assuré en maintien de droit suite fin de droit d'un régime semi-permanent, droit au PN seul;0;0
2;115;MAINTIEN DE DROITS AU TITRE DE LA RESERVE MILITAIRE;MAINTIEN DE DROITS AU TITRE DE LA RESERVE MILITAIRE des prestations des Assurances Maladie, Maternite, Invalidite et deces pour l'assure et ses ayants-droit;0;0
2;999;PETIT REGIME INCONNU;Petit régime inconnu;0;0
3;1;REGIME OBLIGATOIRE;regime obligatoire;1;0
3;2;REGIME GRATUIT;regime gratuit;1;0
3;3;REGIME BIOLOGISTE;regime biologiste;0;0
3;4;REGIME VOLONTAIRE;regime volontaire;0;0
3;5;REGIME CEE;regime cee;0;0
3;6;REGIME DROITS MAINTENUS;regime droits maintenus;1;0
3;97;ASSURE EN MAINTIEN DE DROIT SUITE FIN DE DROIT D'UN REGIME SEMI-PERMANENT, DROIT AU PN SEUL;Assuré en maintien de droit suite fin de droit d'un régime semi-permanent, droit au PN seul;0;0
3;115;MAINTIEN DE DROITS AU TITRE DE LA RESERVE MILITAIRE;MAINTIEN DE DROITS AU TITRE DE LA RESERVE MILITAIRE des prestations des Assurances Maladie, Maternite, Invalidite et deces pour l'assure et ses ayants-droit;0;0
3;999;PETIT REGIME INCONNU;Petit régime inconnu;0;0
4;97;ASSURE EN MAINTIEN DE DROIT SUITE FIN DE DROIT D'UN REGIME SEMI-PERMANENT, DROIT AU PN SEUL;Assuré en maintien de droit suite fin de droit d'un régime semi-permanent, droit au PN seul;0;0
4;100;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 100;regime special de securite sociale de la s.n.c.f . 100;0;0
4;101;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 101;regime special de securite sociale de la s.n.c.f . 101;0;0
4;102;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 102;regime special de securite sociale de la s.n.c.f . 102;0;0
4;103;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 103;regime special de securite sociale de la s.n.c.f . 103;0;0
4;104;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 104;regime special de securite sociale de la s.n.c.f . 104;0;0
4;105;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 105;regime special de securite sociale de la s.n.c.f . 105;0;0
4;106;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 106;regime special de securite sociale de la s.n.c.f . 106;0;0
4;107;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 107;regime special de securite sociale de la s.n.c.f . 107;0;0
4;108;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 108;regime special de securite sociale de la s.n.c.f . 108;0;0
4;109;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 109;regime special de securite sociale de la s.n.c.f . 109;0;0
4;110;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 110;regime special de securite sociale de la s.n.c.f . 110;0;0
4;111;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 111;regime special de securite sociale de la s.n.c.f . 111;0;0
4;112;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 112;regime special de securite sociale de la s.n.c.f . 112;0;0
4;113;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 113;regime special de securite sociale de la s.n.c.f . 113;0;0
4;114;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 114;regime special de securite sociale de la s.n.c.f . 114;0;0
4;115;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 115;regime special de securite sociale de la s.n.c.f . 115;0;0
4;116;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 116;regime special de securite sociale de la s.n.c.f . 116;0;0
4;117;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 117;regime special de securite sociale de la s.n.c.f . 117;0;0
4;118;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 118;regime special de securite sociale de la s.n.c.f . 118;0;0
4;119;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 119;regime special de securite sociale de la s.n.c.f . 119;0;0
4;120;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 120;regime special de securite sociale de la s.n.c.f . 120;0;0
4;121;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 121;regime special de securite sociale de la s.n.c.f . 121;0;0
4;122;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 122;regime special de securite sociale de la s.n.c.f . 122;0;0
4;123;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 123;regime special de securite sociale de la s.n.c.f . 123;0;0
4;124;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 124;regime special de securite sociale de la s.n.c.f . 124;0;0
4;125;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 125;regime special de securite sociale de la s.n.c.f . 125;0;0
4;126;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 126;regime special de securite sociale de la s.n.c.f . 126;0;0
4;127;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 127;regime special de securite sociale de la s.n.c.f . 127;0;0
4;128;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 128;regime special de securite sociale de la s.n.c.f . 128;0;0
4;129;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 129;regime special de securite sociale de la s.n.c.f . 129;0;0
4;130;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 130;regime special de securite sociale de la s.n.c.f . 130;0;0
4;131;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 131;regime special de securite sociale de la s.n.c.f . 131;0;0
4;132;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 132;regime special de securite sociale de la s.n.c.f . 132;0;0
4;133;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 133;regime special de securite sociale de la s.n.c.f . 133;0;0
4;134;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 134;regime special de securite sociale de la s.n.c.f . 134;0;0
4;135;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 135;regime special de securite sociale de la s.n.c.f . 135;0;0
4;136;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 136;regime special de securite sociale de la s.n.c.f . 136;0;0
4;137;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 137;regime special de securite sociale de la s.n.c.f . 137;0;0
4;138;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 138;regime special de securite sociale de la s.n.c.f . 138;0;0
4;139;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 139;regime special de securite sociale de la s.n.c.f . 139;0;0
4;140;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 140;regime special de securite sociale de la s.n.c.f . 140;0;0
4;141;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 141;regime special de securite sociale de la s.n.c.f . 141;0;0
4;142;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 142;regime special de securite sociale de la s.n.c.f . 142;0;0
4;143;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 143;regime special de securite sociale de la s.n.c.f . 143;0;0
4;144;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 144;regime special de securite sociale de la s.n.c.f . 144;0;0
4;145;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 145;regime special de securite sociale de la s.n.c.f . 145;0;0
4;146;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 146;regime special de securite sociale de la s.n.c.f . 146;0;0
4;147;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 147;regime special de securite sociale de la s.n.c.f . 147;0;0
4;148;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 148;regime special de securite sociale de la s.n.c.f . 148;0;0
4;149;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 149;regime special de securite sociale de la s.n.c.f . 149;0;0
4;150;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 150;regime special de securite sociale de la s.n.c.f . 150;0;0
4;151;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 151;regime special de securite sociale de la s.n.c.f . 151;0;0
4;152;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 152;regime special de securite sociale de la s.n.c.f . 152;0;0
4;153;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 153;regime special de securite sociale de la s.n.c.f . 153;0;0
4;154;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 154;regime special de securite sociale de la s.n.c.f . 154;0;0
4;155;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 155;regime special de securite sociale de la s.n.c.f . 155;0;0
4;156;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 156;regime special de securite sociale de la s.n.c.f . 156;0;0
4;157;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 157;regime special de securite sociale de la s.n.c.f . 157;0;0
4;158;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 158;regime special de securite sociale de la s.n.c.f . 158;0;0
4;159;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 159;regime special de securite sociale de la s.n.c.f . 159;0;0
4;160;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 160;regime special de securite sociale de la s.n.c.f . 160;0;0
4;161;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 161;regime special de securite sociale de la s.n.c.f . 161;0;0
4;162;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 162;regime special de securite sociale de la s.n.c.f . 162;0;0
4;163;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 163;regime special de securite sociale de la s.n.c.f . 163;0;0
4;164;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 164;regime special de securite sociale de la s.n.c.f . 164;0;0
4;165;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 165;regime special de securite sociale de la s.n.c.f . 165;0;0
4;166;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 166;regime special de securite sociale de la s.n.c.f . 166;0;0
4;167;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 167;regime special de securite sociale de la s.n.c.f . 167;0;0
4;168;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 168;regime special de securite sociale de la s.n.c.f . 168;0;0
4;169;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 169;regime special de securite sociale de la s.n.c.f . 169;0;0
4;170;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 170;regime special de securite sociale de la s.n.c.f . 170;0;0
4;171;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 171;regime special de securite sociale de la s.n.c.f . 171;0;0
4;172;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 172;regime special de securite sociale de la s.n.c.f . 172;0;0
4;173;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 173;regime special de securite sociale de la s.n.c.f . 173;0;0
4;174;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 174;regime special de securite sociale de la s.n.c.f . 174;0;0
4;175;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 175;regime special de securite sociale de la s.n.c.f . 175;0;0
4;176;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 176;regime special de securite sociale de la s.n.c.f . 176;0;0
4;177;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 177;regime special de securite sociale de la s.n.c.f . 177;0;0
4;178;REGIME SPECIAL DE SECURITE SOCIALE DE LA S.N.C.F . 178;regime special de securite sociale de la s.n.c.f . 178;0;0
