PRS_RP1_COD;PRS_RP2_COD;PRS_RP1_LIB;PRS_NAT_TDM;PFS_SPE_POS;PFS_SPE_COD;PFS_ACT_NAT;DDP_GDE_COD;MFT_COD;ETE_STJ_COD;ETE_CAT_RG1;TEC_COL
3031;2030;GENERALISTES;1;1;1;;;;;;0
3032;2040;ANESTHESIOLOGIE - REANIMATION CHIRURGICALE;1;2;2;;;;;;0
3033;2040;PATHOLOGIE CARDIO-VASCULAIRE;1;2;3;;;;;;0
3034;2040;CHIRURGIE GENERALE;1;2;4;;;;;;0
3035;2040;DERMATOLOGIE ET VENEROLOGIE;1;2;5;;;;;;0
3036;2040;RADIODIAGNOSTIC ET IMAGERIE MEDICALE;1;2;6;;;;;;0
3037;2040;GYNECOLOGIE OBSTETRIQUE;1;2;7;;;;;;0
3038;2040;GASTRO-ENTEROLOGIE ET HEPATOLOGIE;1;2;8;;;;;;0
3039;2040;MEDECINE INTERNE;1;2;9;;;;;;0
3040;2040;NEUROCHIRURGIE;1;2;10;;;;;;0
3041;2040;OTO RHINO-LARYNGOLOGIE;1;2;11;;;;;;0
3042;2040;PEDIATRIE;1;2;12;;;;;;0
3043;2040;PNEUMOLOGIE;1;2;13;;;;;;0
3044;2040;RHUMATOLOGIE;1;2;14;;;;;;0
3045;2040;OPHTALMOLOGIE;1;2;15;;;;;;0
3046;2040;CHIRURGIE UROLOGIQUE;1;2;16;;;;;;0
3047;2040;NEUROPSYCHIATRIE;1;2;17;;;;;;0
3048;2040;STOMATOLOGIE;1;2;18;;;;;;0
3061;2040;MEDECINE PHYSIQUE ET DE READAPTATION;1;2;31;;;;;;0
3062;2040;NEUROLOGIE;1;2;32;;;;;;0
3063;2040;PSYCHIATRIE GENERALE;1;2;33;;;;;;0
3065;2040;NEPHROLOGIE;1;2;35;;;;;;0
3066;2040;CHIRURGIE DENTAIRE (SPECIALISTE O.D.F.);1;5;36;;;;;;0
3067;2040;ANATOMIE-CYTOLOGIE-PATHOLOGIQUE;1;2;37;;;;;;0
3068;2040;DIRECTEUR LABORATOIRE MEDECIN;1;2;38;;;;;;0
3071;2040;CHIRURGIE ORTHOPEDIQUE ET TRAUMATOLOGIE;1;2;41;;;;;;0
3072;2040;ENDOCRINOLOGIE ET METABOLISMES;1;2;42;;;;;;0
3073;2040;CHIRURGIE INFANTILE;1;2;43;;;;;;0
3074;2040;CHIRURGIE MAXILLO-FACIALE;1;2;44;;;;;;0
3075;2040;CHIRURGIE MAXILLO-FACIALE ET STOMATOLOGIE;1;2;45;;;;;;0
3076;2040;CHIRURGIE PLASTIQUE RECONSTRUCTRICE  ET ESTHETIQUE;1;2;46;;;;;;0
3077;2040;CHIRURGIE THORACIQUE ET CARDIO-VASCULAIRE;1;2;47;;;;;;0
3078;2040;CHIRURGIE VASCULAIRE;1;2;48;;;;;;0
3079;2040;CHIRURGIE VISCERALE ET DIGESTIVE;1;2;49;;;;;;0
3100;2040;GYNECOLOGIE MEDICALE;1;2;70;;;;;;0
3101;2040;HEMATOLOGIE;1;2;71;;;;;;0
3102;2040;MEDECINE NUCLEAIRE;1;2;72;;;;;;0
3103;2040;ONCOLOGIE MEDICALE;1;2;73;;;;;;0
3104;2040;ONCOLOGIE RADIOTHERAPIQUE;1;2;74;;;;;;0
3105;2040;PSYCHIATRIE DE L ENFANT ET DE L ADOLESCENT;1;2;75;;;;;;0
3106;2040;RADIOTHERAPIE;1;2;76;;;;;;0
3107;2040;OBSTETRIQUE;1;2;77;;;;;;0
3108;2040;GENETIQUE MEDICALE;1;2;78;;;;;;0
3129;2040;AUTRES;1;2;99;;;;;;0
3200;2099;AUTRES;1;9;99;99;;;;;0
3301;2130;GENERALISTES;2;1;1;;;;;;0
3302;2140;ANESTHESIOLOGIE - REANIMATION CHIRURGICALE;2;2;2;;;;;;0
3303;2140;PATHOLOGIE CARDIO-VASCULAIRE;2;2;3;;;;;;0
3304;2140;CHIRURGIE GENERALE;2;2;4;;;;;;0
3305;2140;DERMATOLOGIE ET VENEROLOGIE;2;2;5;;;;;;0
3306;2140;RADIODIAGNOSTIC ET IMAGERIE MEDICALE;2;2;6;;;;;;0
3307;2140;GYNECOLOGIE OBSTETRIQUE;2;2;7;;;;;;0
3308;2140;GASTRO-ENTEROLOGIE ET HEPATOLOGIE;2;2;8;;;;;;0
3309;2140;MEDECINE INTERNE;2;2;9;;;;;;0
3310;2140;NEUROCHIRURGIE;2;2;10;;;;;;0
3311;2140;OTO RHINO-LARYNGOLOGIE;2;2;11;;;;;;0
3312;2140;PEDIATRIE;2;2;12;;;;;;0
3313;2140;PNEUMOLOGIE;2;2;13;;;;;;0
3314;2140;RHUMATOLOGIE;2;2;14;;;;;;0
3315;2140;OPHTALMOLOGIE;2;2;15;;;;;;0
3316;2140;CHIRURGIE UROLOGIQUE;2;2;16;;;;;;0
3317;2140;NEUROPSYCHIATRIE;2;2;17;;;;;;0
3318;2140;STOMATOLOGIE;2;2;18;;;;;;0
3331;2140;MEDECINE PHYSIQUE ET DE READAPTATION;2;2;31;;;;;;0
3332;2140;NEUROLOGIE;2;2;32;;;;;;0
3333;2140;PSYCHIATRIE GENERALE;2;2;33;;;;;;0
3335;2140;NEPHROLOGIE;2;2;35;;;;;;0
