PRS_RP2_COD;PRS_RP3_COD;PRS_RP2_LIB;TEC_COL
2130;1020;HONORAIRES GENERALISTES;0
2140;1020;HONORAIRES SPECIALISTES;0
2490;1490;HONORAIRES AUXILIAIRES MEDICAUX;0
2790;1780;PHARMACIE;0
2800;1780;BIOLOGIE;0
2810;1780;LPP;0
2820;1780;TRANSPORT;0
2840;1830;CLINIQUES;0
2850;1830;ETABLISSEMENTS MEDICAUX-SOCIAUX;0
2860;1830;AUTRES;0
2870;1870;PRESTATIONS EN ESPECES;0
2989;1880;AUTRES PRESTATIONS;0
2890;1880;CURES THERMALES;0
2900;1880;PRESTATIONS NON INDIVIDUALISEES;0
2910;1880;DECES;0
2920;1880;INVALIDITE;0
2930;1880;CHARGES TECHNIQUES;0
2940;1880;RENTES;0
2950;1880;IVG;0
2960;1880;ACTION SANITAIRE ET SOCIALE;0
2970;1880;PREVENTION;0
2030;1010;HONORAIRES GENERALISTES;0
2040;1010;HONORAIRES SPECIALISTES;0
2980;1880;BUDGET GLOBAL;0
2990;1880;SANS OBJET;1
2830;1780;AUTRES;0
2099;1010;AUTRES;0
2150;1020;AUTRES;0
