SAF_GRG_COD;DCT_ENT_SUP;DCT_ENT_CB2;DCT_ENT_LIB;DCT_GRG_LIB;TEC_COL
1;14;;FLUX DE SEJOUR (FLSJ);SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
1;10;;SAISIE INTERNE SANS SPECIFICATION;SAISIE INTERNE REGIME GENERAL;0
1;11;;PPNA1;SAISIE INTERNE REGIME GENERAL;0
1;12;;PROGRES PN;SAISIE INTERNE REGIME GENERAL;0
1;13;;Progrès PE PAPIER -hors réforme IJ/AS;SAISIE INTERNE REGIME GENERAL;0
1;15;;WINB2;SAISIE INTERNE REGIME GENERAL;0
1;17;;SCANNER;SAISIE INTERNE REGIME GENERAL;0
1;19;;LASER;SAISIE INTERNE REGIME GENERAL;0
1;1;;INVALIDITE;SAISIE INTERNE REGIME GENERAL;0
1;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
1;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
1;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
1;24;;SAISIE INTERNE SLM (SECTIONS LOCALES MUTUALISTES);SAISIE INTERNE REGIME GENERAL;0
1;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
1;26;CP;FACTURATION DIRECTE ETABLISSEMENTS PUBLICS;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
1;2;;RENTES AT;SAISIE INTERNE REGIME GENERAL;0
1;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
1;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
