PHA_SEQ_RNV;PHA_SEQ_LIB;TEC_COL
0;ABSENCE DE RENOUVELLEMENT;1
1;SEQUENCE N°1;0
2;SEQUENCE N°2;0
3;SEQUENCE N°3;0
4;SEQUENCE N°4;0
5;SEQUENCE N°5;0
6;SEQUENCE N°6;0
7;SEQUENCE N°7;0
8;SEQUENCE N°8;0
9;SEQUENCE N°9;0
10;SEQUENCE N°10;0
11;SEQUENCE N°11;0
12;SEQUENCE N°12;0
13;SEQUENCE N°13;0
14;SEQUENCE N°14;0
15;SEQUENCE N°15;0
16;SEQUENCE N°16;0
17;SEQUENCE N°17;0
18;SEQUENCE N°18;0
19;SEQUENCE N°19;0
20;SEQUENCE N°20;0
21;SEQUENCE N°21;0
22;SEQUENCE N°22;0
23;SEQUENCE N°23;0
24;SEQUENCE N°24;0
25;SEQUENCE N°25;0
26;SEQUENCE N°26;0
27;SEQUENCE N°27;0
28;SEQUENCE N°28;0
29;SEQUENCE N°29;0
30;SEQUENCE N°30;0
31;SEQUENCE N°31;0
32;SEQUENCE N°32;0
33;SEQUENCE N°33;0
34;SEQUENCE N°34;0
35;SEQUENCE N°35;0
36;SEQUENCE N°36;0
37;SEQUENCE N°37;0
38;SEQUENCE N°38;0
39;SEQUENCE N°39;0
40;SEQUENCE N°40;0
41;SEQUENCE N°41;0
42;SEQUENCE N°42;0
43;SEQUENCE N°43;0
44;SEQUENCE N°44;0
45;SEQUENCE N°45;0
46;SEQUENCE N°46;0
47;SEQUENCE N°47;0
48;SEQUENCE N°48;0
49;SEQUENCE N°49;0
50;SEQUENCE N°50;0
51;SEQUENCE N°51;0
52;SEQUENCE N°52;0
53;SEQUENCE N°53;0
54;SEQUENCE N°54;0
55;SEQUENCE N°55;0
56;SEQUENCE N°56;0
57;SEQUENCE N°57;0
58;SEQUENCE N°58;0
59;SEQUENCE N°59;0
60;SEQUENCE N°60;0
61;SEQUENCE N°61;0
62;SEQUENCE N°62;0
63;SEQUENCE N°63;0
64;SEQUENCE N°64;0
65;SEQUENCE N°65;0
66;SEQUENCE N°66;0
67;SEQUENCE N°67;0
68;SEQUENCE N°68;0
69;SEQUENCE N°69;0
70;SEQUENCE N°70;0
71;SEQUENCE N°71;0
72;SEQUENCE N°72;0
73;SEQUENCE N°73;0
74;SEQUENCE N°74;0
75;SEQUENCE N°75;0
76;SEQUENCE N°76;0
77;SEQUENCE N°77;0
78;SEQUENCE N°78;0
79;SEQUENCE N°79;0
80;SEQUENCE N°80;0
81;SEQUENCE N°81;0
82;SEQUENCE N°82;0
83;SEQUENCE N°83;0
84;SEQUENCE N°84;0
85;SEQUENCE N°85;0
86;SEQUENCE N°86;0
87;SEQUENCE N°87;0
88;SEQUENCE N°88;0
89;SEQUENCE N°89;0
90;SEQUENCE N°90;0
91;SEQUENCE N°91;0
92;SEQUENCE N°92;0
93;SEQUENCE N°93;0
94;SEQUENCE N°94;0
95;SEQUENCE N°95;0
96;SEQUENCE N°96;0
97;SEQUENCE N°97;0
98;SEQUENCE N°98;0
99;DELIVRANCE PAR PROCEDURE EXCEPTIONNELLE D UNE BOITE SUPPLEMENTAIRE;0
