ETB_STJ_COD;ETB_STJ_LIB;TEC_COL
1;ETAT;0
2;DEPARTEMENT;0
3;COMMUNE;0
4;REGION;0
5;TERRITOIRE D OUTRE MER;0
6;AUTRE COLLECTIVITE TERRITORIALE;0
10;ETABLISSEMENT D HOSPITALISATION NATIONAL;0
11;ETABLISSEMENT D HOSPITALISATION DEPARTEMENTAL;0
12;ETABLISSEMENT D HOSPITALISATION INTER-DEPARTEMENTAL;0
13;ETABLISSEMENT D HOSPITALISATION COMMUNAL;0
14;ETABLISSEMENT D HOSPITALISATION INTER-COMMUNAL;0
15;ETABLISSEMENT D HOSPITALISATION REGIONAL;0
16;SYNDICAT INTERHOSPITALIER;0
17;CENTRE COMMUNAL OU INTERCOMMUNAL D ACTIONSOCIALE;0
18;ETABLISSEMENTSOCIALET MEDICO-SOCIAL NATIONAL;0
19;ETABLISSEMENTSOCIALET MEDICO-SOCIAL DEPARTEMENTAL;0
20;ETABLISSEMENTSOCIALET MEDICO-SOCIAL INTERDEPARTEMENTAL;0
21;ETABLISSEMENTSOCIALET MEDICO-SOCIAL COMMUNAL;0
22;ETABLISSEMENTSOCIALET MEDICO-SOCIAL INTERCOMMUNAL;0
23;ETABLISSEMENTSOCIALET MEDICO-SOCIAL REGIONAL;0
26;AUTRE ETABLISSEMENT PUBLIC A CARACTERE ADMINISTRATIF;0
27;ETABLISSEMENT PUBLIC A CARACTERE INDUSTRIELET COMMERCIAL NATIONAL;0
28;GROUPEMENT D INTERET PUBLIC (G.I.P.);0
29;GROUPEMENT DE COOPERATIONSANITAIRE (GCS) A GESTION  PUBLIQUE;0
40;REGIME GENERALSECURITESOCIALE;0
41;REGIMESPECIALSECURITESOCIALE;0
42;INSTITUTION DE PREVOYANCE;0
43;MUTUALITESOCIALE AGRICOLE;0
44;REGIME MALADIE DES PROFESSIONS INDEPENDANTES;0
45;REGIME VIEILLESSE DIFFERENT DU REGIME GENERAL;0
46;AUTRE REGIME DE PREVOYANCESOCIALE;0
47;SOCIETE MUTUALISTE;0
48;ASSURANCE MUTUELLE AGRICOLE;0
49;AUTRE ORGANISME MUTUALISTE;0
50;COMITE D ENTREPRISE ET D ETABLISSEMENT;0
51;SYNDICAT;0
52;SYNDICAT DE PROPRIETAIRES;0
60;ASSOCIATION 1901 NON RECONNUE D UTILITE PUBLIQUE;0
61;ASSOCIATION 1901 RECONNUE D UTILITE PUBLIQUE;0
62;ASSOCIATION DROIT LOCAL (BAS-RHIN, HAUT-RHIN, MOSELLE);0
63;FONDATION;0
64;CONGREGATION;0
65;AUTRE ORGANISME PRIVE A BUT NON LUCRATIF;0
70;PERSONNE PHYSIQUE;0
71;SOCIETE EN NOM COLLECTIF (S.N.C.);0
72;SOCIETE A RESPONSABILITE LIMITEE (S.A.R.L.);0
73;SOCIETE ANONYME (S.A.);0
74;SOCIETE CIVILE;0
75;AUTRE SOCIETE  (COMMANDITE, COOPERATIVE COMMERCIALE PARTICULIERE, INDIVISION,SOCIETE DE FAIT,SOCIETE EN PARTICIPATION,SOCIETE COMMERCIALE PARTICULIERE);0
76;GROUPEMENT  D INTERET  ECONOMIQUE (G.I.E.);0
77;AUTRE ORGANISME PRIVE A CARACTERE COMMERCIAL;0
78;ENTREPRISE UNIPERSONNELLE A RESPONSABILITE LIMITEE (E.U.R.L.);0
79;SOCIETE CIVILE DE MOYENS (S.C.M.);0
80;Soc. Interprof. de soins ambulatoires (SISA);0
85;SOCIETE D EXERCICE LIBERAL A RESPONSABILITE LIMITEE (S.E.L.A.R.L.);0
86;SOCIETE D EXERCICE LIBERAL A FORME ANONYME (S.E.L.A.F.A.);0
87;SOCIETE D EXCERCICE LIBERAL EN COMMANDITE PAR ACTIONS (S.E.L.C.A.);0
88;SOCIETE CIVILE PROFESSIONNELLE;0
89;GROUPEMENT DE COOPERATIONSANITAIRE (GCS) A GESTION  PRIVEE;0
90;PERSONNE MORALE DE DROIT ETRANGER;0
95;SOCIETE PAR ACTIONS SIMPLIFIEES ( SAS);0
99;VALEUR INCONNUE;1
