PFS_STJ_COD;PFS_STJ_LIB;PFS_EXC_TYP;PFS_EXC_LIB;SJP_RGT;TEC_COL
51;PRATICIENS EXERCANT A TITRE LIBERAL;1;PROFESSIONS LIBERALES;1;0
55;PRATICIENS A TEMPS PLEIN HOSPITALIER POUR L ACTIVITE LIBERALE;1;PROFESSIONS LIBERALES;1;0
61;PRATICIENS EXERCANT A TITRE SALARIE DANS UN ETABLISSEMENT A TARIFICATION PUBLIQUE;2;PRATICIENS EXERCANT A TITRE SALARIE;3;0
62;PRATICIENS EXERCANT A TITRE SALARIE DANS UN ETABLISSEMENT A TARIFICATION PRIVEE;2;PRATICIENS EXERCANT A TITRE SALARIE;2;0
63;AUXILIAIRES MEDICAUX SALARIES DE PRATICIENS LIBERAUX;2;PRATICIENS EXERCANT A TITRE SALARIE;4;0
64;PROFESSIONNELS DE SANTE SALARIES D UNE SOCIETE D EXERCICE LIBERALE;2;PRATICIENS EXERCANT A TITRE SALARIE;4;0
69;PRATICIEN EXERCANT A TITRE SALARIE DANS LE CADRE DU SERVICE MEDICAL DES REGIMES DE LA SNCF, DE LA RATP;2;PRATICIENS EXERCANT A TITRE SALARIE;4;0
99;PROFESSIONNELS FICTIFS;8;PRATICIENS FICTIFS;9;0
90;VALEUR INCONNUE;9;VALEUR INCONNUE;0;1
98;SANS OBJET;9;VALEUR INCONNUE;0;2
