SLM_NUM;SLM_LIB;SLM_RGT;SLM_RGT2;TEC_COL
0;SANS OBJET;9;9;2
500;MUTUELLE GENERALE DES AFFAIRES SOCIALES (M.G.A.S.);3;1;0
501;MUTUELLE GENERALE DE L EDUCATION NATIONALE - SECTION EXTRA-METROPOLITAINE (SEM.) (JO DU 08/05/00);1;1;0
503;MUTUELLE GENERALE DE LA POLICE - SECTION PARIS (M.G.P.);4;1;0
504;MUTUELLE DES AGENTS DES IMPOTS (M.A.I.);3;1;0
505;MAGE (CPAM75);9;9;0
506;MUTUELLE GENERALE DE L EDUCATION NATIONALE  (MGEN.);1;1;0
507;MUTUELLE DU MINISTERE DE L AGRICULTURE (S.M.A.R.);3;1;0
508;MUTUELLE GENERALE DE L EQUIPEMENT ET DES TRANSPORTS (M.G.E.T.);3;1;0
509;MUTUELLE DU MINISTERE DE L INDUSTRIE (. MPIR);3;1;0
511;MUTUELLE DU TRESOR;3;1;0
512;MUTUELLE GENERALE  MG (PTT);2;1;0
513;MUTUELLE DES DOUANES;3;1;0
514;MUTUELLE DU PERSONNEL DE LA CAISSE DES MINES;3;1;0
515;SOCIETE MUTUALISTE DE L I.N.S.E.E.;3;1;0
516;MUTUELLE NATIONALE AVIATION MARINE (MNAM);9;1;0
518;MUTUELLE DE LA CAISSE DES DEPOTS ET CONSIGNATIONS (MPCDC);3;1;0
519;MUTUELLE DES PERSONNELS CIVILS DE L AVIATION;3;1;0
520;UNION DES SOCIETES MUTUALISTES DE FONCTIONNAIRES DE LA REGION PARISIENNE ( MGPAT);4;1;0
523;MUTUELLE CENTRALE DES FINANCES MCF;3;1;0
526;MUTUELLE DU MINISTERE DES ANCIENS COMBATTANTS ET VICTIMES DE GUERRE;3;1;0
527;MUTUELLE DU MINISTERE DE LA JUSTICE (.M.M.J.);3;1;0
529;MUTUELLE FAMILIALE DE FRANCE ET D OUTRE-MER (MFFOM);3;1;0
