PFS_SPA_COD;PFS_SPA_LIB
0;NON RENSEIGNE
1;MEDECINE GENERALE
2;ANESTHESIOLOGIE - REANIMATION CHIRURGICALE
3;PATHOLOGIE CARDIO-VASCULAIRE
4;CHIRURGIE GENERALE
5;DERMATOLOGIE ET VENEROLOGIE
6;RADIODIAGNOSTIC ET IMAGERIE MEDICALE
7;GYNECOLOGIE OBSTETRIQUE
8;GASTRO-ENTEROLOGIE ET HEPATOLOGIE
9;MEDECINE INTERNE
10;NEUROCHIRURGIE
11;OTO RHINO-LARYNGOLOGIE
12;PEDIATRIE
13;PNEUMOLOGIE
14;RHUMATOLOGIE
15;OPHTALMOLOGIE
16;CHIRURGIE UROLOGIQUE
17;NEUROPSYCHIATRIE
18;STOMATOLOGIE
19;CHIRURGIE DENTAIRE
20;REANIMATION INTENSIVE MEDICALE
21;SAGE-FEMME
22;SPECIALISTE EN MEDECINE GENERALE AVEC DIPLÔME
23;SPECIALITE EN MED. GENERALE RECONNUE PAR L'ORDRE
24;INFIRMIER
25;PSYCHOLOGUE CLINICIEN / PSYCHOTHERAPEUTE
26;MASSEUR - KINESITHERAPEUTE
27;PEDICURE-PODOLOGUE
28;ORTHOPHONISTE
29;ORTHOPTISTE
30;LABORATOIRE
31;MEDECINE PHYSIQUE ET DE READAPTATION
32;NEUROLOGIE
33;PSYCHIATRIE GENERALE
34;GERIATRIE
35;NEPHROLOGIE
36;CHIRURGIE DENTAIRE (SPECIALISTE O.D.F.)
37;ANATOMIE-CYTOLOGIE-PATHOLOGIQUE
38;DIRECTEUR LABORATOIRE MEDECIN
39;LABORATOIRE POLYVALENT
40;LABORATOIRE ANATOMO-PATHOLOGISTE
41;CHIRURGIE ORTHOPEDIQUE ET TRAUMATOLOGIE
42;ENDOCRINOLOGIE ET METABOLISMES
43;CHIRURGIE INFANTILE
44;CHIRURGIE MAXILLO-FACIALE
45;CHIRURGIE MAXILLO-FACIALE ET STOMATOLOGIE
46;CHIRURGIE PLASTIQUE RECONSTRUCTRICE  ET ESTHETIQUE
47;CHIRURGIE THORACIQUE ET CARDIO-VASCULAIRE
48;CHIRURGIE VASCULAIRE
49;CHIRURGIE VISCERALE ET DIGESTIVE
50;PHARMACIE D OFFICINE
51;PHARMACIE MUTUALISTE
52;PHARMACIE HOSPITALIERE
53;CHIRURGIE DENTAIRE
54;CHIRURGIE DENTAIRE
55;AMBULANCIER
56;TAXI
57;AUTRE TRANSPORTEUR
60;FOURNISSEUR (SOCIETE)
61;FOURNISSEUR (ARTISAN)
62;FOURNISSEUR (ASSOCIATION)
63;FOURNISSEUR (ORTHESES)
64;FOURNISSEUR (OPTIQUE MEDICALE)
65;FOURNISSEUR (AUDIOPROTHESES)
66;FOURNISSEUR (PROTHESES OCULAIRES ET FACIALES)
67;FOURNISSEUR (PODO-ORTHESES)
68;FOURNISSEUR (ORTHO-PROTHESES)
69;CHIRURGIE ORALE
70;GYNECOLOGIE MEDICALE
71;HEMATOLOGIE
72;MEDECINE NUCLEAIRE
73;ONCOLOGIE MEDICALE
74;ONCOLOGIE RADIOTHERAPIQUE
75;PSYCHIATRIE DE L ENFANT ET DE L ADOLESCENT
76;RADIOTHERAPIE
77;OBSTETRIQUE
78;GENETIQUE MEDICALE
79;GYNECOLOGIE OBSTETRIQUE ET GYNECOLOGIE MEDICALE
80;SANTE PUBLIQUE ET MEDECINE SOCIALE
81;MEDECINE DES MALADIES INFECTIEUSES ET TROPICALES
82;MEDECINE LEGALE ET EXPERTISES MEDICALES
83;MEDECINE D'URGENCE
84;MEDECINE VASCULAIRE
85;ALLERGOLOGIE
86;INFIRMIER EN PRATIQUE AVANCEE
99;VALEUR INCONNUE
