DDP_SPE_COD;DDP_SPE_LIB;TEC_COL
0;SANS OBJET;2
11;MEDECINE GENERALE - PEDIATRIE - URGENCE MEDICALE;0
12;SPECIALITES MEDICALES;0
13;REANIMATION ET SURVEILLANCE CONTINUE;0
14;DIALYSE;0
15;INSUFFISANCE RESPIRATOIRE;0
16;SCANNER ET IRMN;0
21;CHIRURGIE GENERALE INFANTILE ET URGENCE CHIRURGICALE;0
22;SPECIALITES CHIRURGICALES;0
23;REANIMATION ET SURVEILLANCE CONTINUE CHIRURGICALE;0
30;GYNECOLOGIE OBSTETRIQUE IVG STERILITE;0
41;MALADIE A EVOLUTION PROLONGEE;0
42;CONVALESCENCE-REPOS-REGIME CURE MEDICALE (POUR PERSONNES AGEES NOTAMMENT);0
43;REEDUCATION FONCTIONNELLE READAPTATION;0
44;CURES THERMALES;0
45;POST-CURES (POUR ALCOOLIQUES);0
46;LUTTE CONTRE LA TUBERCULOSE ET LES MALADIES RESPIRATOIRES;0
47;CURES MEDICALES POUR ENFANTS;0
48;CURES MEDICALES SPECIALISEES;0
50;LONG SEJOUR;0
60;LUTTE CONTRE LES MALADIES MENTALES - TOXICOMANIES;0
71;DISCIPLINE POUR AUTORISATION DE SUPPLEMENT;0
72;DISCIPLINE POUR AUTORISATION DE SUPPLEMENT;0
81;EDUCATION SPECIALE ET PROFESSIONNELLE POUR DEFICIENTS MENTAUX, CARACTERIELS, POLYHANDICAPES ET AUTRES;0
82;EDUCATION SPECIALE POUR DEFICIENTS MOTEURS;0
83;EDUCATION SPECIALE POUR DEFICIENTS SENSORIELS;0
84;ACTION MEDICO-SOCIALE PRECOCE;0
85;PRESTATIONS MEDICO-PEDAGOGIQUES;0
86;AUTRES PRESTATIONS MEDICO-SOCIALES POUR L ENFANCE HANDICAPEE;0
91;REINSERTION, REEDUCATION PROFESSIONNELLE ET PREORIENTATION;0
92;ACCUEIL SPECIALISE;0
93;AUTRES PRESTATIONS MEDICO-SOCIALES POUR ADULTES HANDICAPES;0
101;PRESTATIONS SANITAIRES AUX PERSONNES AGEES EN ETABLISSEMENT D HEBERGEMENT;0
102;AUTRES PRESTATIONS PERSONNES AGEES;0
110;PRESTATIONS MEDICO-SOCIALES;0
121;INDIFFERENCIEES;1
