PFS_SPE_COD;PFS_SPE_LIB;PFS_SPE_STA;SPE_STA_LIB;PFS_SPE_POS;SPE_POS_LIB;PFS_SPE_OMS;SPE_OMS_LIB;PFS_SPE_TDM;SPE_TDM_LIB;PFS_CAT_COD;PFS_CAT_LIB
10;NEUROCHIRURGIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
11;OTO RHINO-LARYNGOLOGIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
12;PEDIATRIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
13;PNEUMOLOGIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
14;RHUMATOLOGIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
15;OPHTALMOLOGIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
16;CHIRURGIE UROLOGIQUE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
17;NEUROPSYCHIATRIE;1;MEDECINS OMNIPRATICIENS;3;PSYCHIATRES, NEUROPSYCHIATRES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
18;STOMATOLOGIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
20;REANIMATION INTENSIVE MEDICALE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
22;SPECIALISTE EN MEDECINE GENERALE AVEC DIPLÔME;1;MEDECINS OMNIPRATICIENS;1;MEDECINS OMNIPRATICIENS;1;MEDECINS OMNIPRATICIENS;1;MEDECIN;1;MEDECIN
23;SPECIALITE EN MED. GENERALE RECONNUE PAR L'ORDRE;1;MEDECINS OMNIPRATICIENS;1;MEDECINS OMNIPRATICIENS;1;MEDECINS OMNIPRATICIENS;1;MEDECIN;1;MEDECIN
31;MEDECINE PHYSIQUE ET DE READAPTATION;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
32;NEUROLOGIE;1;MEDECINS OMNIPRATICIENS;3;PSYCHIATRES, NEUROPSYCHIATRES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
33;PSYCHIATRIE GENERALE;1;MEDECINS OMNIPRATICIENS;3;PSYCHIATRES, NEUROPSYCHIATRES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
34;GERIATRIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
35;NEPHROLOGIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
36;CHIRURGIE DENTAIRE (SPECIALISTE O.D.F.);4;DENTISTES;5;DENTISTES;5;DENTISTES;4;DENTISTE;4;DENTISTE (EX : SPECIALISTE O.D.F.)
37;ANATOMIE-CYTOLOGIE-PATHOLOGIQUE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
38;DIRECTEUR LABORATOIRE MEDECIN;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
41;CHIRURGIE ORTHOPEDIQUE ET TRAUMATOLOGIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
42;ENDOCRINOLOGIE ET METABOLISMES;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
43;CHIRURGIE INFANTILE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
44;CHIRURGIE MAXILLO-FACIALE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
45;CHIRURGIE MAXILLO-FACIALE ET STOMATOLOGIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
46;CHIRURGIE PLASTIQUE RECONSTRUCTRICE  ET ESTHETIQUE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
47;CHIRURGIE THORACIQUE ET CARDIO-VASCULAIRE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
48;CHIRURGIE VASCULAIRE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
49;CHIRURGIE VISCERALE ET DIGESTIVE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
69;CHIRURGIE ORALE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
70;GYNECOLOGIE MEDICALE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
71;HEMATOLOGIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
