PFS_SPE_COD;PFS_SPE_STA;PFS_SPE_LIB;SPE_LIB_SNI;PFS_SPE_POS;SPE_POS_LIB;PFS_SPE_OMS;SPE_OMS_LIB;TEC_COL
10;1;NEUROCHIRURGIE;NEURO-CHIRURGIE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
11;1;OTO RHINO-LARYNGOLOGIE;OTO-RHINO-LARYNGOLOGIE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
12;1;PEDIATRIE;PEDIATRIE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
13;1;PNEUMOLOGIE;PNEUMOLOGIE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
14;1;RHUMATOLOGIE;RHUMATOLOGIE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
15;1;OPHTALMOLOGIE;OPHTALMOLOGIE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
16;1;CHIRURGIE UROLOGIQUE;CHIRURGIE UROLOGIQUE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
17;1;NEUROPSYCHIATRIE;NEUROPSYCHIATRIE;3;PSYCHIATRES, NEUROPSYCHIATRES;2;MEDECINS SPECIALISTES;0
18;1;STOMATOLOGIE;STOMATOLOGIE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
20;1;REANIMATION INTENSIVE MEDICALE;REANIMATION INTENSIVE MED;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
22;1;SPECIALISTE EN MEDECINE GENERALE AVEC DIPLÔME;SPEC.MEDECINE GENERALE DIP;1;MEDECINS OMNIPRATICIENS;1;MEDECINS OMNIPRATICIENS;0
23;1;SPECIALITE EN MED. GENERALE RECONNUE PAR L'ORDRE;SPEC.MEDECINE GENERALE REC;1;MEDECINS OMNIPRATICIENS;1;MEDECINS OMNIPRATICIENS;0
31;1;MEDECINE PHYSIQUE ET DE READAPTATION;MED. PHYSIQUE READAPTATION;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
32;1;NEUROLOGIE;NEUROLOGIE;3;PSYCHIATRES, NEUROPSYCHIATRES;2;MEDECINS SPECIALISTES;0
33;1;PSYCHIATRIE GENERALE;PSYCHIATRIE GENERALE;3;PSYCHIATRES, NEUROPSYCHIATRES;2;MEDECINS SPECIALISTES;0
34;1;GERIATRIE;GERIATRIE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
35;1;NEPHROLOGIE;NEPHROLOGIE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
36;4;CHIRURGIE DENTAIRE (SPECIALISTE O.D.F.);CHIR. DENTAIRE SPEC.O.D.F.;5;DENTISTES;5;DENTISTES;0
37;1;ANATOMIE-CYTOLOGIE-PATHOLOGIQUE;ANATOM.CYTOL.PATHOLOGIQUES;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
38;1;DIRECTEUR LABORATOIRE MEDECIN;DIRECT.LABORATOIRE MEDECIN;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
41;1;CHIRURGIE ORTHOPEDIQUE ET TRAUMATOLOGIE;CHIRURGIE ORTHOPEDIQUE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
42;1;ENDOCRINOLOGIE ET METABOLISMES;ENDOCRINOLOGIE METABOLISME;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
43;1;CHIRURGIE INFANTILE;CHIRURGIE INFANTILE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
44;1;CHIRURGIE MAXILLO-FACIALE;CHIRURGIE MAXILLO-FACIALE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
45;1;CHIRURGIE MAXILLO-FACIALE ET STOMATOLOGIE;CHIR.MAXILLOFACIALE STOMAT;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
46;1;CHIRURGIE PLASTIQUE RECONSTRUCTRICE  ET ESTHETIQUE;CHIR.PLASTIQUE ESTHETIQUE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
47;1;CHIRURGIE THORACIQUE ET CARDIO-VASCULAIRE;CHIR.THORAC. CARDIOVASCUL.;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
48;1;CHIRURGIE VASCULAIRE;CHIRURGIE VASCULAIRE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
49;1;CHIRURGIE VISCERALE ET DIGESTIVE;CHIR. VISCERALE DIGESTIVE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
69;1;CHIRURGIE ORALE;CHIRURGIE ORALE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
70;1;GYNECOLOGIE MEDICALE;GYNECOLOGIE MEDICALE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
71;1;HEMATOLOGIE;HEMATOLOGIE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
72;1;MEDECINE NUCLEAIRE;MEDECINE NUCLEAIRE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
73;1;ONCOLOGIE MEDICALE;ONCOLOGIE MEDICALE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
74;1;ONCOLOGIE RADIOTHERAPIQUE;ONCOLOGIE RADIOTHERAPIQUE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
