MFT_COD;ETB_STJ_COD;ETB_TYP_COD;ETB_PPU_SEC;ETB_CEX_PUB
40;77;4;2;
40;78;4;2;
40;79;4;2;
40;85;4;2;
40;86;4;2;
40;87;4;2;
40;88;4;2;
40;89;4;2;
40;90;4;2;
40;95;4;2;
40;99;4;2;
41;1;1;1;
41;2;1;1;
41;3;1;1;
41;4;1;1;
41;5;1;1;
41;6;1;1;
41;10;1;1;
41;11;1;1;
41;12;1;1;
41;13;1;1;
41;14;1;1;
41;15;1;1;
41;16;1;1;
41;17;1;1;
41;18;1;1;
41;19;1;1;
41;20;1;1;
41;21;1;1;
41;22;1;1;
41;23;1;1;
41;26;1;1;
41;27;1;1;
41;28;1;1;
41;29;1;1;
41;40;6;2;
41;41;6;2;
41;42;6;2;
41;43;6;2;
41;44;6;2;
41;45;6;2;
41;46;6;2;
41;47;6;2;
41;48;6;2;
41;49;6;2;
41;50;6;2;
41;51;6;2;
41;52;6;2;
41;60;6;2;
41;61;6;2;
41;62;6;2;
41;63;6;2;
41;64;6;2;
41;65;6;2;
41;70;4;2;
41;71;4;2;
41;72;4;2;
41;73;4;2;
41;74;4;2;
41;75;4;2;
41;76;4;2;
41;77;4;2;
41;78;4;2;
41;79;4;2;
41;85;4;2;
41;86;4;2;
41;87;4;2;
41;88;4;2;
41;89;4;2;
41;90;4;2;
41;95;4;2;
41;99;4;2;
42;1;1;1;
42;2;1;1;
42;3;1;1;
42;4;1;1;
42;5;1;1;
42;6;1;1;
42;10;1;1;
42;11;1;1;
42;12;1;1;
42;13;1;1;
42;14;1;1;
42;15;1;1;
42;16;1;1;
42;17;1;1;
42;18;1;1;
42;19;1;1;
42;20;1;1;
42;21;1;1;
42;22;1;1;
42;23;1;1;
42;26;1;1;
42;27;1;1;
42;28;1;1;
42;29;1;1;
42;40;6;2;
42;41;6;2;
42;42;6;2;
42;43;6;2;
42;44;6;2;
42;45;6;2;
42;46;6;2;
42;47;6;2;
42;48;6;2;
42;49;6;2;
42;50;6;2;
42;51;6;2;
42;52;6;2;
42;60;6;2;
42;61;6;2;
42;62;6;2;
42;63;6;2;
42;64;6;2;
42;65;6;2;
42;70;4;2;
42;71;4;2;
42;72;4;2;
42;73;4;2;
42;74;4;2;
42;75;4;2;
42;76;4;2;
42;77;4;2;
42;78;4;2;
42;79;4;2;
42;85;4;2;
42;86;4;2;
42;87;4;2;
42;88;4;2;
42;89;4;2;
42;90;4;2;
42;95;4;2;
42;99;4;2;
43;1;1;1;
43;2;1;1;
43;3;1;1;
43;4;1;1;
43;5;1;1;
43;6;1;1;
43;10;1;1;
43;11;1;1;
43;12;1;1;
43;13;1;1;
43;14;1;1;
43;15;1;1;
43;16;1;1;
43;17;1;1;
43;18;1;1;
43;19;1;1;
43;20;1;1;
43;21;1;1;
43;22;1;1;
43;23;1;1;
43;26;1;1;
43;27;1;1;
43;28;1;1;
43;29;1;1;
43;40;6;2;
43;41;6;2;
43;42;6;2;
43;43;6;2;
43;44;6;2;
43;45;6;2;
43;46;6;2;
43;47;6;2;
43;48;6;2;
43;49;6;2;
43;50;6;2;
43;51;6;2;
43;52;6;2;
43;60;6;2;
43;61;6;2;
43;62;6;2;
43;63;6;2;
43;64;6;2;
43;65;6;2;
43;70;4;2;
43;71;4;2;
43;72;4;2;
43;73;4;2;
43;74;4;2;
43;75;4;2;
43;76;4;2;
43;77;4;2;
43;78;4;2;
43;79;4;2;
43;85;4;2;
43;86;4;2;
43;87;4;2;
43;88;4;2;
43;89;4;2;
43;90;4;2;
43;95;4;2;
43;99;4;2;
44;1;1;1;
44;2;1;1;
44;3;1;1;
44;4;1;1;
44;5;1;1;
44;6;1;1;
44;10;1;1;
44;11;1;1;
44;12;1;1;
44;13;1;1;
44;14;1;1;
44;15;1;1;
44;16;1;1;
44;17;1;1;
44;18;1;1;
44;19;1;1;
44;20;1;1;
44;21;1;1;
44;22;1;1;
44;23;1;1;
44;26;1;1;
44;27;1;1;
44;28;1;1;
44;29;1;1;
44;40;6;2;
44;41;6;2;
44;42;6;2;
44;43;6;2;
44;44;6;2;
44;45;6;2;
44;46;6;2;
44;47;6;2;
44;48;6;2;
44;49;6;2;
44;50;6;2;
44;51;6;2;
44;52;6;2;
44;60;6;2;
44;61;6;2;
44;62;6;2;
44;63;6;2;
44;64;6;2;
44;65;6;2;
44;70;4;2;
44;71;4;2;
44;72;4;2;
44;73;4;2;
44;74;4;2;
44;75;4;2;
44;76;4;2;
44;77;4;2;
44;78;4;2;
44;79;4;2;
44;85;4;2;
44;86;4;2;
44;87;4;2;
44;88;4;2;
44;89;4;2;
44;90;4;2;
44;95;4;2;
44;99;4;2;
45;1;1;1;
45;2;1;1;
45;3;1;1;
45;4;1;1;
45;5;1;1;
45;6;1;1;
45;10;1;1;
45;11;1;1;
45;12;1;1;
45;13;1;1;
45;14;1;1;
45;15;1;1;
45;16;1;1;
45;17;1;1;
45;18;1;1;
45;19;1;1;
45;20;1;1;
45;21;1;1;
45;22;1;1;
45;23;1;1;
45;26;1;1;
45;27;1;1;
45;28;1;1;
45;29;1;1;
45;40;6;2;
45;41;6;2;
45;42;6;2;
45;43;6;2;
45;44;6;2;
45;45;6;2;
45;46;6;2;
45;47;6;2;
45;48;6;2;
45;49;6;2;
45;50;6;2;
45;51;6;2;
45;52;6;2;
45;60;6;2;
45;61;6;2;
45;62;6;2;
45;63;6;2;
45;64;6;2;
45;65;6;2;
45;70;4;2;
45;71;4;2;
45;72;4;2;
45;73;4;2;
45;74;4;2;
45;75;4;2;
45;76;4;2;
45;77;4;2;
45;78;4;2;
45;79;4;2;
45;85;4;2;
45;86;4;2;
45;87;4;2;
45;88;4;2;
45;89;4;2;
45;90;4;2;
45;95;4;2;
45;99;4;2;
46;1;1;1;
46;2;1;1;
46;3;1;1;
46;4;1;1;
46;5;1;1;
46;6;1;1;
46;10;1;1;
46;11;1;1;
46;12;1;1;
46;13;1;1;
46;14;1;1;
46;15;1;1;
46;16;1;1;
46;17;1;1;
46;18;1;1;
46;19;1;1;
46;20;1;1;
46;21;1;1;
46;22;1;1;
46;23;1;1;
46;26;1;1;
46;27;1;1;
46;28;1;1;
46;29;1;1;
46;40;6;2;
46;41;6;2;
46;42;6;2;
46;43;6;2;
46;44;6;2;
46;45;6;2;
46;46;6;2;
46;47;6;2;
46;48;6;2;
46;49;6;2;
46;50;6;2;
46;51;6;2;
46;52;6;2;
46;60;6;2;
46;61;6;2;
46;62;6;2;
46;63;6;2;
46;64;6;2;
46;65;6;2;
46;70;4;2;
46;71;4;2;
46;72;4;2;
46;73;4;2;
46;74;4;2;
46;75;4;2;
46;76;4;2;
46;77;4;2;
46;78;4;2;
46;79;4;2;
46;85;4;2;
46;86;4;2;
46;87;4;2;
46;88;4;2;
46;89;4;2;
46;90;4;2;
46;95;4;2;
46;99;4;2;
47;1;1;1;
47;2;1;1;
47;3;1;1;
47;4;1;1;
47;5;1;1;
47;6;1;1;
47;10;1;1;
47;11;1;1;
47;12;1;1;
47;13;1;1;
47;14;1;1;
47;15;1;1;
47;16;1;1;
47;17;1;1;
47;18;1;1;
47;19;1;1;
47;20;1;1;
47;21;1;1;
47;22;1;1;
47;23;1;1;
47;26;1;1;
47;27;1;1;
47;28;1;1;
47;29;1;1;
47;40;6;2;
47;41;6;2;
47;42;6;2;
47;43;6;2;
47;44;6;2;
47;45;6;2;
47;46;6;2;
47;47;6;2;
47;48;6;2;
47;49;6;2;
47;50;6;2;
47;51;6;2;
47;52;6;2;
47;60;6;2;
47;61;6;2;
47;62;6;2;
47;63;6;2;
47;64;6;2;
47;65;6;2;
47;70;4;2;
47;71;4;2;
47;72;4;2;
47;73;4;2;
47;74;4;2;
47;75;4;2;
47;76;4;2;
47;77;4;2;
47;78;4;2;
47;79;4;2;
47;85;4;2;
47;86;4;2;
47;87;4;2;
47;88;4;2;
47;89;4;2;
47;90;4;2;
47;95;4;2;
47;99;4;2;
48;1;1;1;
48;2;1;1;
48;3;1;1;
48;4;1;1;
48;5;1;1;
48;6;1;1;
48;10;1;1;
48;11;1;1;
48;12;1;1;
48;13;1;1;
48;14;1;1;
48;15;1;1;
48;16;1;1;
48;17;1;1;
48;18;1;1;
48;19;1;1;
48;20;1;1;
48;21;1;1;
48;22;1;1;
48;23;1;1;
48;26;1;1;
48;27;1;1;
48;28;1;1;
48;29;1;1;
48;40;6;2;
48;41;6;2;
48;42;6;2;
48;43;6;2;
48;44;6;2;
48;45;6;2;
48;46;6;2;
48;47;6;2;
48;48;6;2;
48;49;6;2;
48;50;6;2;
48;51;6;2;
48;52;6;2;
48;60;6;2;
48;61;6;2;
48;62;6;2;
48;63;6;2;
48;64;6;2;
48;65;6;2;
48;70;4;2;
48;71;4;2;
48;72;4;2;
48;73;4;2;
48;74;4;2;
48;75;4;2;
48;76;4;2;
48;77;4;2;
48;78;4;2;
48;79;4;2;
48;85;4;2;
48;86;4;2;
48;87;4;2;
48;88;4;2;
48;89;4;2;
48;90;4;2;
48;95;4;2;
48;99;4;2;
49;1;1;1;
49;2;1;1;
49;3;1;1;
49;4;1;1;
49;5;1;1;
49;6;1;1;
49;10;1;1;
49;11;1;1;
49;12;1;1;
49;13;1;1;
49;14;1;1;
49;15;1;1;
49;16;1;1;
49;17;1;1;
49;18;1;1;
49;19;1;1;
49;20;1;1;
49;21;1;1;
49;22;1;1;
49;23;1;1;
49;26;1;1;
49;27;1;1;
49;28;1;1;
49;29;1;1;
49;40;6;2;
49;41;6;2;
49;42;6;2;
49;43;6;2;
49;44;6;2;
49;45;6;2;
49;46;6;2;
49;47;6;2;
49;48;6;2;
49;49;6;2;
49;50;6;2;
49;51;6;2;
49;52;6;2;
49;60;6;2;
49;61;6;2;
49;62;6;2;
49;63;6;2;
49;64;6;2;
49;65;6;2;
49;70;4;2;
49;71;4;2;
49;72;4;2;
49;73;4;2;
49;74;4;2;
49;75;4;2;
49;76;4;2;
49;77;4;2;
49;78;4;2;
49;79;4;2;
49;85;4;2;
49;86;4;2;
49;87;4;2;
49;88;4;2;
49;89;4;2;
49;90;4;2;
49;95;4;2;
49;99;4;2;
50;1;1;1;
50;2;1;1;
50;3;1;1;
50;4;1;1;
50;5;1;1;
50;6;1;1;
50;10;1;1;
50;11;1;1;
50;12;1;1;
50;13;1;1;
50;14;1;1;
50;15;1;1;
50;16;1;1;
50;17;1;1;
50;18;1;1;
50;19;1;1;
50;20;1;1;
50;21;1;1;
50;22;1;1;
50;23;1;1;
50;26;1;1;
50;27;1;1;
50;28;1;1;
50;29;1;1;
50;40;6;2;
50;41;6;2;
50;42;6;2;
50;43;6;2;
50;44;6;2;
50;45;6;2;
50;46;6;2;
50;47;6;2;
50;48;6;2;
50;49;6;2;
50;50;6;2;
50;51;6;2;
50;52;6;2;
50;60;6;2;
50;61;6;2;
50;62;6;2;
50;63;6;2;
50;64;6;2;
50;65;6;2;
50;70;4;2;
50;71;4;2;
50;72;4;2;
50;73;4;2;
50;74;4;2;
50;75;4;2;
50;76;4;2;
50;77;4;2;
50;78;4;2;
50;79;4;2;
50;85;4;2;
50;86;4;2;
50;87;4;2;
50;88;4;2;
50;89;4;2;
50;90;4;2;
50;95;4;2;
50;99;4;2;
51;1;1;1;
51;2;1;1;
51;3;1;1;
51;4;1;1;
51;5;1;1;
51;6;1;1;
51;10;1;1;
51;11;1;1;
51;12;1;1;
51;13;1;1;
51;14;1;1;
51;15;1;1;
51;16;1;1;
51;17;1;1;
51;18;1;1;
51;19;1;1;
51;20;1;1;
51;21;1;1;
51;22;1;1;
51;23;1;1;
51;26;1;1;
51;27;1;1;
51;28;1;1;
51;29;1;1;
51;40;6;2;
51;41;6;2;
51;42;6;2;
51;43;6;2;
51;44;6;2;
51;45;6;2;
51;46;6;2;
51;47;6;2;
51;48;6;2;
51;49;6;2;
51;50;6;2;
51;51;6;2;
51;52;6;2;
51;60;6;2;
51;61;6;2;
51;62;6;2;
51;63;6;2;
51;64;6;2;
51;65;6;2;
51;70;4;2;
51;71;4;2;
51;72;4;2;
51;73;4;2;
51;74;4;2;
51;75;4;2;
51;76;4;2;
51;77;4;2;
51;78;4;2;
51;79;4;2;
51;85;4;2;
51;86;4;2;
51;87;4;2;
51;88;4;2;
51;89;4;2;
51;90;4;2;
51;95;4;2;
51;99;4;2;
1;1;1;1;
1;2;1;1;
1;3;1;1;
1;4;1;1;
1;5;1;1;
1;6;1;1;
1;10;1;1;
1;11;1;1;
1;12;1;1;
1;13;1;1;
1;14;1;1;
1;15;1;1;
1;16;1;1;
1;17;1;1;
1;18;1;1;
1;19;1;1;
1;20;1;1;
1;21;1;1;
1;22;1;1;
1;23;1;1;
1;26;1;1;
1;27;1;1;
1;28;1;1;
1;29;1;1;
1;40;6;2;
1;41;6;2;
1;42;6;2;
1;43;6;2;
1;44;6;2;
1;45;6;2;
1;46;6;2;
1;47;6;2;
1;48;6;2;
1;49;6;2;
1;50;6;2;
1;51;6;2;
1;52;6;2;
1;60;6;2;
1;61;6;2;
1;62;6;2;
1;63;6;2;
1;64;6;2;
1;65;6;2;
1;70;4;2;
1;71;4;2;
1;72;4;2;
1;73;4;2;
1;74;4;2;
1;75;4;2;
1;76;4;2;
1;77;4;2;
1;78;4;2;
1;79;4;2;
1;80;4;2;
1;85;4;2;
