SVI_COD;SVI_LIB;TEC_COL
0;INDICATEUR NON CALCULE (sans objet);2
11;N° RPPS NON TRANSMIS (HORS SCANNERISATION);0
12;N° RPPS NON TRANSMIS (SCANNERISATION);0
13;N° RPPS NON TRANSMIS (BULLETIN D'HOSPITALISATION);0
14;N° RPPS NON TRANSMIS (NORME ANTERIEURE B2, NX);0
15;N° RPPS NON TRANSMIS (NORME ANTERIEURE SCAN);0
16;N° RPPS NON TRANSMIS QF;0
21;N° RPPS NON NUMERIQUE;0
22;CLE N° RPPS ERRONEE OU N° RPPS NON NUMERIQUE POUR LA SCAN;0
23;CLE OK MAIS EXISTENCE NON VERIFIEE AU REFERENTIEL;0
99;VALEUR INCONNUE;1
