PRS_ANO_COD;RAN_COD;PRS_ANO_LIB;TEC_COL
R0562;R;Code lieu d'exécution erroné;0
R0563;R;Taux TAA erroné;0
R0564;R;Type de renouvellement erroné;0
R0565;R;Donnée non numérique;0
R0566;R;Code UCD erroné;0
R0567;R;Top UCD erroné;0
R0568;R;Coefficient de fractionnement erroné;0
R0569;R;Indicateur de suivi du Numéro RPPS incorrect;0
R0570;R;Donnée non numérique;0
R0571;R;Indicateur Prescription en Ligne incorrect;0
R0601;R;Categorie etablissement incorrecte;0
R0602;R;Statut juridique etablissement incorrect;0
R0610;R;Heure de départ du transport erronée;0
R0611;R;Code postal du lieu de départ du transport erroné;0
R0612;R;Numéro de véhicule erroné;0
R0613;R;Nom du conducteur erroné;0
R0614;R;Heure d'arrivée du transport erronée;0
R0615;R;Code postal du lieu d'arrivée du transport erroné;0
R0616;R;Code Utilisation du Distancier incorrect;0
R0617;R;Niveau de Certification incorrect;0
R0801;R;Gestions comptables incorrectes;0
R0802;R;Sens du mouvement incorrect;0
R0803;R;Signe du mouvement incorrect;0
R0804;R;Numero de compte Mircoss;0
R0805;R;Branche incorrecte;0
R0806;R;Nature de la dette incorrecte;0
R0807;R;Nature des operations de recuperation incorrecte;0
R0808;R;Sens de la regularisation incorrect;0
R0809;R;Type de ventilation;0
R1010;R;Code nature prestation / code acte complementaire incompatibles;0
R1030;R;Code nature prestation / assurance incompatibles;0
R1040;R;Code nature prestation / beneficiaire incompatibles;0
R1050;R;Code nature prestation / qualificatif de la depense incompatibles;0
R1060;R;Code nature prestation / taux de remboursement 100% incompatibles;0
R1070;R;Code nature prestation / quantite maxi / presence incompatibles;0
R1080;R;Code nature prestation / coefficient maxi incompatibles;0
R1090;R;Code nature prestation / specialite ou nature  activite executant incompatibles;0
R1100;R;Code nature prestation / categorie executant incompatibles;0
R1110;R;Code nature prestation / specialite ou nature  activite prescripteur incompatibles;0
R1120;R;Code nature prestation / categorie prescripteur incompatibles;0
R1130;R;Code nature prestation / presence prescripteur incompatibles;0
R1140;R;Code nature prestation / categorie etablissement < centre de sante > incompatibles;0
R1150;R;Code nature prestation / discipline de prestation incompatibles;0
R1160;R;Code nature prestation / mode de traitement incompatibles;0
R1170;R;Code nature prestation / prive-public / categorie incompatibles;0
R1181;R;Code nature prestation transport / type de forfait ou supplement incompatibles;0
R1190;R;Code nature prestation transport / type forfait / nbre de kilometres incompatibles;0
R1210;R;Code nature prestation / soins de ville incompatibles;0
R1220;R;Nature de prestation / Indicateur Référentiel Kiné incompatibles;0
R1221;R;Nature de prestation / Top Entente Préalable Kiné incompatibles;0
R1222;R;Nature de prestation / Type de Prestation Kiné incompatibles;0
R2010;R;Statut juridique / mode de fixation des tarifs incompatibles;0
R2020;R;Nbre de jours factures / date debut facturation / date fin facturation incompatibles;0
R2030;R;Discipline de prestation / mode de traitement incompatibles;0
R2040;R;Top medecin referent / specialite incompatibles;0
R2050;R;Categorie executant / Qualificatif de la depense incompatibles;0
R2060;R;Specialite ou nature activite executant / nature  assurance incompatibles;0
R3010;R;Grand regime / regime / qualite beneficiaire /assurance incompatibles;0
R3011;R;Grand régime / régime / qualité bénéficiaire incompatibles;0
R3012;R;Grand régime / régime / assurance incompatibles;0
R3020;R;Grand regime / qualite beneficiaire / assurance/ taux incompatibles;0
R3030;R;Discipline de prestation / nature assurance incompatibles;0
R4010;R;Montant paye / montant rembourse incompatibles;0
R4031;R;Nature de prestation / base de remboursement incompatibles;0
R4033;R;Nature de prestation IJ/ quantite / dates debut et fin de soins /carence incompatibles;0
R5020;R;Nature de prestation / code affine incompatibles;0
R5032;R;Date acte affine / date debut validite dans base medicament incompatibles;0
R5033;R;Date acte affine / periode validite dans base biologie incompatibles;0
R5035;R;Date acte affiné / date début validité incohérente avec base UCD;0
R5036;R;Incohérence des CIP transmis et délivré;0
R5037;R;CIP transmis ou CIP délivré obligatoire;0
R5050;R;Acte affine / specialite ou nature activite executant incompatibles;0
R5060;R;Coefficient acte affine / coefficient acte / quantite acte affine incompatibles;0
R5080;R;Codes affines  une meme facture incompatibles;0
R5090;R;Coefficient de fractionnement / Nbre unités délivrées (UCD) incohérents;0
R5100;R;Montant total calculé / montant transmis (UCD) incohérents;0
R5200;R;Nom de l'accompagnateur obligatoire pour transport en ambulance;0
R6010;R;Ccam : Incompatibilité entre codes modificateurs;0
R6030;R;Ccam : Obligation du codage;0
R6060;R;Ccam : Incompatibilité code activité / code de l'acte;0
R6070;R;Ccam : Incompatibilité code phase traitement / code de l'acte - activité;0
R6080;R;Ccam : Incompatibilité code modificateur / code de l'acte - activité;0
R6110;R;Ccam : Incompatibilité spécialité prescripteur / code de l'acte;0
R6120;R;Ccam : Incompatibilité spécialité exécutant / code de l'acte - activité;0
R6150;R;Ccam : Prix unitaire erroné;0
R6160;R;Ccam : Incompatibilité code de l'acte / nature d'assurance;0
R6170;R;Ccam : Incompatibilité code de l'acte / Discipline de prestation;0
R6180;R;Ccam : Incompatibilité Nombre de dents;0
R7020;R;Incompatibilité numéro de GHS  / assurance;0
R7030;R;Incompatibilité prestation Ivg ou urgence / prestation GHS ou EXH;0
R7040;R;Prestation TJC présente à tort en T2A publique;0
R7050;R;Absence coefficient MCO en T2A publique;0
R7060;R;Ecart montant du total GHS en T2A publique;0
R7070;R;Incompatibilité type de remboursement/ acte TJC;0
R7092;R;Incompatibilité numéro de GHS/ secteur privé;0
R8010;R;Top Entente Préalable Kiné / Indicateur Référentiel Kiné incompatibles;0
R8020;R;Type de Prestation / Top Entente Préalable Kiné incompatibles;0
R8030;R;Incompatibilité Nature d'assurance / Dispositif de prévention;0
R8040;R;Incompatibilité Nature de Prestation / Dispositif de Prévention;0
R8050;R;Incompatibilité type de remboursement / type de contrat complémentaire;0
R9010;R;Date non numerique;0
R9020;R;Date erronee;0
REM03;R;Date de mandatement 2003;0
S0297;S;Numéro de dent imparfait (Signalement);0
S0901;S;Controles pour la duplication de lignes;0
S5031;S;Date acte affine / date fin validite dans base medicament incompatibles;0
S5034;S;Date acte affiné / date fin validité incohérente avec base UCD;0
XXXXX;X;VALEUR INCONNUE;1
R8060;R;Incompatibilité type de contrat 89 avec des droits spécifiques différents de «P» ou blanc ou «ZZZ»;0
M0008006;M;FACTURE AT/MP HORS TIERS PAYANT;0
M0009009;M;ABSENCE  TP AMO POUR SOINS ALD;0
M0009143;M;LPP : PU AIDE AUDITIVE > PLV;0
M0008590;M;QTE DELIVREE  > AU SEUIL ALERTE;0
M0009193;M;LPP : PU OPTIQUE > PRIX LIMITE VENTE;0
I0602;I;double paiement sur une periode;0
I0603;I;chevauch. periodes sur paiement;0
I0604;I;date soins > date exam. +6 mois;0
I0605;I;valeur denomb. > maxi. autorise;0
I0606;I;prix unit. absent historique bdo;0
I0607;I;pu demande # pu en cours;0
I0608;I;etab. en dot. global, pu fourni;0
I0609;I;etab. hors region, pu fourni;0
I0610;I;majo prest. hospit. absente fic.;0
I0611;I;caisse pivot paiement pu fourni;0
I0701;I;tarification au taux transmis;0
I0702;I;mt part obligatoire invalide;0
I0703;I;ecart mt demande / mt calcule;0
I0704;I;tp sans part comple / benef C2S;0
I0705;I;type paiement incomp. / benef C2S;0
I0706;I;etablissement d'exercice inconnu;0
I0707;I;pas de contrat prof./benef. (ref);0
I0708;I;zone tarif salarie non disp bdo;0
I0709;I;type comptabilite impossible;0
I0710;I;"limitation du remboursement au solde ""patch""";0
I0801;I;calcul effectue avec p.u fourni;0
I0802;I;distance impossible a calculer;0
I0901;I;informations dest regl non prises;0
I1001;I;justif. qualite benef. absent;0
I1002;I;droits non ouverts;0
I1101;I;limitation au mt de la depense;0
I1102;I;non conforme a option convent.;0
I1103;I;non respect du tarif convent.;0
I1104;I;montant depense eleve;0
I1105;I;spec. prescripteur imposs a det.;0
I1106;I;spec. presc. trans. inconnue bdo.;0
I1107;I;specialite transmise inconnue bdo;0
I1108;I;Non conforme a option convent.;0
I1201;I;ecart forf. trans./forf. calcule;0
I1202;I;sejour inferieur a 24 heures;0
I1801;I;lot atypique;0
I2201;I;chevauchement prix de journee;0
I2202;I;chevauchement pj / forfait htp;0
I2203;I;chevauchement pj / forf accueil;0
I2204;I;chevauchement pj/fse;0
I2205;I;chevauchement pj / sns;0
I2206;I;chevauch pharm.medic.couteux;0
I2207;I;destinataire reglt different;0
I2208;I;chevauchement pj / anp;0
I2209;I;chevauchement anp / anp;0
I2210;I;chevauchement anp / ent;0
I2501;I;changement d'infos sur periode;0
I2502;I;limitation pu public / tarif tips;0
I2503;I;pu transmis > seuil caisse;0
I2504;I;numero fabricant absent;0
I2505;I;numero de fabricant absent;0
I2506;I;montant facture > pu reglemen. *qte;0
I2601;I;Contexte professionnel de santé non déterminé;0
I2602;I;Contexte bénéficiaire non déterminé;0
I3001;I;proc entente prea a surveiller;0
I3002;I;exam sang.: minima trop eleve;0
I3003;I;exam.sang : minima present a tort;0
I3004;I;code affine supl.p/jour=samedi;0
I3005;I;taux reg. gen. a 0 et code a 100;0
I4001;I;cip supprime fichier date facture;0
I4002;I;taux errone / fichier medicament;0
I4003;I;pu saisi > pu fichier medicament;0
I4004;I;pu saisi < pu fichier medicament;0
I4005;I;qte delivree pour 1 cip > seuil;0
I4006;I;medic. soumis a prescr. restreint;0
I4007;I;medicament d exception;0
I4008;I;risque interaction medicamenteuse;0
I4009;I;incompatibilite medicament / age;0
I4010;I;incompatibilite medicament / sexe;0
I4011;I;nb boites delivrees>seuil facture;0
I4012;I;pu saisi = ancien pu connu;0
I4013;I;base facturee differente calculee;0
I4014;I;tarif posterieur a date des soins;0
I4015;I;vaccin ror sans exo prev;0
I4016;I;incomp. taux prescrit / delivre;0
I4017;I;Vaccin grippe incom. avec Bénéf;0
I4018;I;P.U. transmis  > P.U. OPPOSABLE;0
I4019;I;P.U.U transmis  > P.U.U OPPOSABLE;0
I4020;I;non stupéfiant ou expérimentation antibiotique déconditionné;0
I4021;I;Date d'opposabilité absente à tort;0
I4022;I;PU TRANSMIS>PU OPPOSABLE 4000-090;0
I9001;I;total part. assure errone;0
I9002;I;tot. remb. org. compl. errone;0
I9003;I;tot. remb. org. compl. errone;0
I9004;I;carte vitale inutilisable;0
I9005;I;carte abusive t. payant;0
I9006;I;carte presumee abusive t. payant;0
I9007;I;carte frauduleuse t. payant;0
I9201;I;longueur borne debut non numeriq.;0
I9202;I;centre different de zero;0
I9203;I;nom du fichier absent;0
P0201;P;Numéro FINESS géographique incorrect;0
P0202;P;Code Pmsi incorrect;0
P0203;P;CMD et GHM V7 obtenu par GENRSA incorrects;0
P0204;P;Code retour obtenu par GENRSA Vs incorrects;0
P0205;P;CMD et GHM V9 obtenu par GENRSA incorrects;0
P0206;P;Code retour obtenu par GENRSA V9 incorrects;0
P0207;P;CMD et GHM V7 lu sur le RSS incorrects;0
P0208;P;Code retour lu sur le RSS V7 incorrects',0);0
P0209;P;CMD et GHM V9 lu sur le RSS incorrects',0);0
P0210;P;Code retour lu sur le RSS V9 incorrects;0
P0211;P;Sexe du patient incorrect;0
P0212;P;Mode d''entrée dans le champ PMSI_MCO incorrect;0
P0213;P;Provenance incorrecte;0
P0214;P;Mode de sortie dans le champ PMSI_MCO incorrect;0
P0215;P;Destination incorrecte;0
P0216;P;Type de séjour incorrect;0
P0217;P;Code géographique de résidence incorrect;0
P0218;P;Code de prise en charge incorrect;0
P0219;P;Diagnostic principal (DP) incorrect;0
P0220;P;Diagnostic relié (DR) incorrect;0
P0221;P;Numéro de GHS incorrect;0
P0301;P;Résultat contrôle « N° sécurité sociale » incorrect;0
P0302;P;Résultat contrôle « date de naissance » incorrect;0
P0303;P;Résultat contrôle « sexe » incorrect;0
P0304;P;Résultat contrôle « N° ident admin de séjour » incorrect;0
P0305;P;Résultat contrôle fusion ANO_HOSP/HOSP_PMSI incorrect;0
P0306;P;Résultat contrôle fusion ANO_PMSI/Fichier PMSI incorrect;0
P0312;P;Code Diagnostic significatif (CIM10) incorrect;0
P0313;P;Code de l''acte CDAM incorrect;0
P0314;P;Code de l''acte CCAM incorrect;0
P0315;P;Phase de l''acte CCAM incorrecte;0
P0401;P;Type d''enregistrement incorrect;0
P0402;P;Code de prise en charge incorrect;0
P0403;P;Justification Exonération TM incorrecte;0
P0501;P;Type de séjour incorrect;0
P0502;P;Code de prise en charge incorrect;0
P0503;P;Code Grand Régime incorrect;0
P0504;P;Code géographique de résidence incorrect;0
P0505;P;Type d''enregistrement incorrect;0
P0506;P;Mode de traitement incorrect;0
P0507;P;Discipline médico-tarifaire incorrecte;0
P0508;P;Code acte incorrect;0
P0509;P;Taux de participation de la caisse incorrect;0
P0510;P;Nature opération de récupération Noémie retour incorrecte;0
P0511;P;Justification Exonération TM incorrecte;0
P0512;P;Code Diagnostic significatif (CIM10) incorrect;0
P0513;P;Code de l''acte CDAM incorrect;0
P0514;P;Code de l''acte CCAM incorrect;0
P0515;P;Phase de l''acte CCAM incorrect;0
P1010;P;Mode d''entrée dans le champ du PMSI_MCO/ Provenance incompatible;0
P1020;P;Mode de sortie dans le champ du PMSI_MCO/ Destination incompatible;0
P1030;P;Type d''entité / type d''enregistrement (Entité 400);0
P1040;P;Type d''entité / type d''enregistrement (Entité 502);0
P9010;P;Date non numérique;0
P9020;P;Date invalide;0
R0101;R;Grand regime incorrect;0
R0102;R;Organisme affiliation  incorrect;0
