TAU_COD;TAU_LIB;TAU_RGT;TEC_COL
0.00;SANS OBJET;1;2
5.00;COMPLEMENT DE 5 %;2;0
10.00;COMPLEMENT DE 10 %;2;0
15.00;COMPLEMENT DE 15 %;2;0
20.00;COMPLEMENT DE 20 %;2;0
25.00;COMPLEMENT DE 25 %;2;0
30.00;COMPLEMENT DE 30 %;2;0
35.00;35 % ET COMPLEMENT DE 35 %;2;0
37.50;37.5 %;2;0
40.00;40 % ET COMPLEMENT DE 40 %;2;0
45.00;45 % ET COMPLEMENT DE 45 %;2;0
47.50;47.5 %;2;0
50.00;50 % ET COMPLEMENT DE 50 %;2;0
52.50;COMPLEMENT DE 52.5 %;2;0
55.00;55 % ET COMPLEMENT DE 55 %;2;0
60.00;60 % ET COMPLEMENT DE 60 %;2;0
62.50;COMPLEMENT DE 62.5 %;2;0
65.00;65 % ET COMPLEMENT DE 65 %;2;0
70.00;70%;2;0
75.00;75%;2;0
80.00;80%;2;0
85.00;85%;2;0
90.00;90%;2;0
100.00;100%;1;0
145.00;145%;1;0
999.00;VALEUR INCONNUE;9;1
95.00;95%;2;0
