UCD_COD;APP_DTE;UCD_TTC_MNT
9223109;01JAN2010:00:00:00;
9223730;01JAN2010:00:00:00;1.20
9224497;01JAN2010:00:00:00;3.73
9224505;01JAN2010:00:00:00;1.18
9224511;01JAN2010:00:00:00;2.13
9224698;01JAN2010:00:00:00;6.13
9224758;01MAR2012:00:00:00;735.12
9224764;01MAR2012:00:00:00;183.78
9224770;01MAR2012:00:00:00;367.56
9224971;01MAR2012:00:00:00;735.12
9224988;01MAR2012:00:00:00;183.78
9224994;01MAR2012:00:00:00;367.56
9225901;06APR2010:00:00:00;9.22
9225918;01MAR2012:00:00:00;735.12
9225924;01MAR2012:00:00:00;183.78
9225930;01MAR2012:00:00:00;367.56
9226303;15OCT2013:00:00:00;31.50
9226326;15OCT2013:00:00:00;37.80
9226332;31DEC2010:00:00:00;52.67
9226349;15OCT2013:00:00:00;50.39
9226355;31DEC2010:00:00:00;67.72
9226473;01JAN2010:00:00:00;
9226496;01JAN2010:00:00:00;
9226562;01JAN2010:00:00:00;1.33
9226585;01JAN2010:00:00:00;2.35
9226616;01JAN2010:00:00:00;3.37
9226763;01JAN2010:00:00:00;
9226786;01JAN2010:00:00:00;
9226792;01JAN2010:00:00:00;
9226852;01JAN2010:00:00:00;
9226929;01JAN2010:00:00:00;
9226935;01JAN2010:00:00:00;
9226941;01JAN2010:00:00:00;33.69
9226970;01JAN2010:00:00:00;1.53
9226987;01JAN2010:00:00:00;2.04
9227573;29DEC2007:00:00:00;510.50
9227679;01JAN2010:00:00:00;
9227685;01JAN2010:00:00:00;2.13
9227691;01JAN2010:00:00:00;9.27
9227716;01JAN2010:00:00:00;3.73
9227722;01JAN2010:00:00:00;1.18
9227900;15OCT2013:00:00:00;24.79
9227917;15OCT2013:00:00:00;37.19
9227923;15OCT2013:00:00:00;371.88
9228555;01JAN2010:00:00:00;229.73
9228561;01JAN2010:00:00:00;45.95
9229141;01OCT2010:00:00:00;2.30
9229158;01OCT2010:00:00:00;82.73
9229483;01JUN2010:00:00:00;944.43
9231592;01JAN2010:00:00:00;0.21
9231669;01JAN2011:00:00:00;42.58
9231735;01JAN2010:00:00:00;
9231818;01JAN2010:00:00:00;1852.09
9231824;01JAN2010:00:00:00;926.05
9232120;01MAR2012:00:00:00;367.56
9232137;01MAR2012:00:00:00;735.12
9232143;01MAR2012:00:00:00;183.78
9232309;01JAN2010:00:00:00;3.06
9232315;01JAN2010:00:00:00;1363.35
9233208;01JAN2010:00:00:00;1121.06
9233214;01JAN2010:00:00:00;250.15
9233220;11AUG2006:00:00:00;250.15
9233237;15OCT2013:00:00:00;12.40
9233243;15OCT2013:00:00:00;123.95
9233266;15OCT2013:00:00:00;18.59
9233272;15OCT2013:00:00:00;18.59
9233289;15OCT2013:00:00:00;185.93
9233295;15OCT2013:00:00:00;24.78
9233303;15OCT2013:00:00:00;30.99
9233326;15OCT2013:00:00:00;37.19
9233332;15OCT2013:00:00:00;371.85
9233349;15OCT2013:00:00:00;49.58
9233355;15OCT2013:00:00:00;49.58
9233361;15OCT2013:00:00:00;61.97
9233378;15OCT2013:00:00:00;74.37
9233384;15OCT2013:00:00:00;74.37
9233390;15OCT2013:00:00:00;99.17
9233473;01JAN2010:00:00:00;
9233527;01JAN2010:00:00:00;60.87
9233533;01JAN2010:00:00:00;60.87
9233622;01JAN2010:00:00:00;
9233680;09JUL2005:00:00:00;2424.88
9233697;01JAN2010:00:00:00;627.92
9233728;01JAN2010:00:00:00;8.17
9234047;01JAN2010:00:00:00;926.05
9234053;01JAN2010:00:00:00;74.84
9234225;01JAN2011:00:00:00;212.88
9234248;01JAN2011:00:00:00;425.76
9234254;01JAN2011:00:00:00;106.44
9235058;01APR2013:00:00:00;3269.16
9235176;01JAN2010:00:00:00;
9236247;01APR2013:00:00:00;10.51
9236388;01JAN2010:00:00:00;444.14
9236891;01JAN2010:00:00:00;0.40
9238281;01JAN2010:00:00:00;
9238861;01DEC2013:00:00:00;1634.58
9239116;01JAN2010:00:00:00;61.26
9239145;01JAN2010:00:00:00;9.19
9239151;01JAN2010:00:00:00;19.40
9239168;01JAN2010:00:00:00;5.11
9239228;01DEC2013:00:00:00;4.04
9239381;01JAN2010:00:00:00;306.30
9239429;01JAN2010:00:00:00;
9239501;16APR2013:00:00:00;424.74
9239671;01JAN2010:00:00:00;2.35
9239754;01JAN2010:00:00:00;1354.15
9240013;01SEP2012:00:00:00;36.02
9240036;01SEP2012:00:00:00;36.02
9240125;01JAN2010:00:00:00;136.12
9240131;01JAN2010:00:00:00;38.59
9240148;01JAN2010:00:00:00;10.52
9240562;17JAN2014:00:00:00;7.22
9240740;01JAN2010:00:00:00;6.13
9241024;01JAN2010:00:00:00;9.27
9241047;01JAN2013:00:00:00;130.67
9241076;01JAN2013:00:00:00;150.52
9241082;01APR2014:00:00:00;71.01
9241159;01DEC2012:00:00:00;25.85
9241604;11MAY2005:00:00:00;242.49
9241863;01JAN2010:00:00:00;156.21
9241886;01JAN2010:00:00:00;187.46
9241892;01JAN2010:00:00:00;234.32
9241900;01JAN2010:00:00:00;78.11
9241917;01JAN2010:00:00:00;124.97
9242348;11MAY2005:00:00:00;969.95
9242615;01MAR2014:00:00:00;107.89
9242650;01JAN2010:00:00:00;13.67
9242911;11MAY2005:00:00:00;401.78
9246524;01JAN2010:00:00:00;9.19
9246530;01JAN2010:00:00:00;19.40
9246547;01JAN2010:00:00:00;5.11
9246553;01DEC2012:00:00:00;25.85
9246642;01JAN2010:00:00:00;15.32
9246725;01MAR2014:00:00:00;79.94
9247191;01JAN2010:00:00:00;2.13
9247216;01JAN2010:00:00:00;9.27
9247222;01JAN2010:00:00:00;3.73
9247239;01JAN2010:00:00:00;1.18
9247357;01JAN2010:00:00:00;25.83
9247682;01JAN2010:00:00:00;
9248144;01MAR2012:00:00:00;735.12
9248150;01MAR2012:00:00:00;367.56
9249089;01JAN2010:00:00:00;448.99
9249095;01JAN2010:00:00:00;448.99
9249103;01JAN2010:00:00:00;571.11
9249907;11MAY2005:00:00:00;714.70
9250187;01JAN2013:00:00:00;3.04
9250572;01JAN2010:00:00:00;45.95
9250767;01JAN2009:00:00:00;2664.81
9250922;15OCT2013:00:00:00;619.75
9250980;01JAN2010:00:00:00;796.38
9250997;01JAN2010:00:00:00;199.10
9251005;01JAN2010:00:00:00;398.19
9251092;01AUG2013:00:00:00;425.76
9251235;11MAY2005:00:00:00;2042.00
9251270;01JAN2010:00:00:00;4.08
9251287;01JAN2010:00:00:00;14.29
9251399;01JAN2010:00:00:00;316.51
9253381;11MAY2005:00:00:00;293.54
9255463;01JAN2010:00:00:00;1092.47
9255486;01JAN2010:00:00:00;1266.04
9255718;15OCT2013:00:00:00;185.93
9255724;01JAN2010:00:00:00;3.02
9256221;01APR2013:00:00:00;31.67
9256238;01APR2013:00:00:00;4.53
9256818;01JAN2010:00:00:00;9.19
9256824;01JAN2010:00:00:00;19.40
9256830;01JAN2010:00:00:00;5.11
9256965;01JAN2012:00:00:00;17.79
9257031;01JAN2010:00:00:00;
9257315;01JAN2010:00:00:00;16.07
9257806;01JAN2010:00:00:00;114.67
9258088;01MAR2012:00:00:00;735.12
9258094;01MAR2012:00:00:00;1102.68
9258102;01MAR2012:00:00:00;183.78
9258119;01MAR2012:00:00:00;367.56
9258504;11MAY2005:00:00:00;11128.90
9258697;01JAN2011:00:00:00;6.58
9258705;01JAN2011:00:00:00;6.58
9259001;01JAN2010:00:00:00;153.15
9259018;01JAN2010:00:00:00;459.45
9259082;01MAR2012:00:00:00;921.45
9259099;01MAR2012:00:00:00;460.73
9259113;01JAN2010:00:00:00;88.83
9259509;01JAN2010:00:00:00;6.13
9259691;01DEC2012:00:00:00;25.85
9260010;01JUN2013:00:00:00;1065.77
9260599;11MAY2005:00:00:00;213.39
9261050;01JAN2012:00:00:00;1612.54
9261073;13JAN2006:00:00:00;408.40
9261104;01OCT2013:00:00:00;283.97
9261110;01OCT2013:00:00:00;1044.96
9261771;01JUL2014:00:00:00;1047.55
9261788;01JAN2010:00:00:00;539.87
9261908;01JAN2010:00:00:00;22.53
9261920;11MAY2005:00:00:00;257.29
9261937;11MAY2005:00:00:00;1310.96
9261966;06APR2010:00:00:00;5.42
9262919;01JAN2010:00:00:00;229.73
9264433;01JAN2010:00:00:00;4.08
9264456;01JAN2010:00:00:00;2.55
9264663;01MAR2012:00:00:00;735.12
9264686;01MAR2012:00:00:00;183.78
9264692;01MAR2012:00:00:00;367.56
9264930;06APR2010:00:00:00;86.74
9266550;01JAN2010:00:00:00;156.21
9266567;01JAN2010:00:00:00;312.43
9267911;25DEC2013:00:00:00;42.88
9267928;01DEC2012:00:00:00;25.85
9267934;01DEC2012:00:00:00;25.85
9267957;01JAN2010:00:00:00;19.40
9268000;01JAN2010:00:00:00;104.75
9268052;01JAN2011:00:00:00;263.16
9268069;01JAN2010:00:00:00;0.78
9268075;01JAN2010:00:00:00;1.42
9268081;01MAR2013:00:00:00;514.58
9268158;01JAN2010:00:00:00;99.19
9268218;01JAN2010:00:00:00;4.08
9268276;01JAN2010:00:00:00;1.18
9268282;01JAN2010:00:00:00;2.13
9268388;01JAN2012:00:00:00;126.81
9268394;01JAN2012:00:00:00;234.32
9268402;01JAN2012:00:00:00;264.64
9268508;16FEB2012:00:00:00;111.35
9268514;16FEB2012:00:00:00;111.35
9268520;16FEB2012:00:00:00;211.57
9268537;16FEB2012:00:00:00;211.57
9268543;16FEB2012:00:00:00;60.41
9268566;01JAN2012:00:00:00;60.41
9269034;01DEC2013:00:00:00;467.02
9269229;01JAN2010:00:00:00;73.51
9269235;01JAN2010:00:00:00;36.76
9270617;01JAN2010:00:00:00;1.53
9270623;01JAN2010:00:00:00;2.04
9270646;01JAN2010:00:00:00;2.55
9270787;01MAR2014:00:00:00;215.78
9271456;24MAY2006:00:00:00;306.30
9271539;01APR2012:00:00:00;2690.34
9271545;01APR2012:00:00:00;16139.41
9271551;01APR2012:00:00:00;5577.67
9271568;01APR2012:00:00:00;9042.13
9271781;01JAN2010:00:00:00;75.81
9271798;01AUG2010:00:00:00;255.25
9272645;15OCT2013:00:00:00;18.89
