PSP_ZTP_COD;PFS_ZTP_LIB;TEC_COL
0;SANS OBJET;2
10;ZONE A-PARIS ET RP _ID /IK (C;0
11;ZONE A-PARIS ET RP _ID  (C);0
20;ZONE B .AUTRES DEPARTEMENTS ET LOCALITES (C);0
22;ZONE B  LYON-MARSEILLE (C);0
23;ZONE B .AGGLOMERATION +300.000 HAB. (C);0
24;ZONE B .AGGLOMERATION+100.000 HAB. (C);0
25;ZONE B .AGGLOMERATION 50.000  HAB. (C);0
30;ZONE B .AUTRES DEPARTEMENTS ET LOCALITES (CHL);0
31;ZONE A  PARIS (CHL);0
32;ZONE B LYON-MARSEILLE (CHL);0
33;ZONE B .AGGLOMERATION +300.000 HAB (CHL);0
34;ZONE B .AGGLOMERATION+100.000 HAB) (CHL);0
35;ZONE B .AGGLOMERATION+50.000  HAB) (CHL);0
40;ZONE A-PARIS ET RP (NC);0
50;ZONE B  LYON-MARSEILLE (NC);0
60;ZONE C .AGGLOMERATION+100.000 HAB. (NC);0
70;ZONE D .AUTRES DEPARTEMENTS ET LOCALITES (NC);0
80;ZONE B.AUTRES DEPARTEMENTS ET LOCALITES (CDP);0
81;ZONE A PARIS (CDP);0
82;ZONE B  LYON-MARSEILLE (CDP);0
83;ZONE B .AGGLOMERATION +300.000 HAB. (CDP);0
84;ZONE B  AGGLOMERATION+100.000 HAB. (CDP);0
85;ZONE B .AGGLOMERATION+50.000  HAB. (CDP);0
99;VALEUR INCONNUE;1
